Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A11,Plate 4,,,,16S_bact,995.532592773438,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,19910.65234375,,,1018.23663330078,973.258483886719,13994,7990,6004,0,0,0,0,,,,,,,,,10000,,,1.71765956140598,1.49441274360588,,,,,,,,,,,,10938.2420080765,5097.93759092246,8432.51185796982,,,,,1007.06158447266,984.115600585938,,,,,,,,,,,,,No
A12,Plate 4,,,,16S_bact,2647.10546875,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,52942.109375,,,2704.53637695313,2592.34790039063,14365,12851,1514,0,0,0,0,,,,,,,,,10000,,,1.85445586419767,0.812911153559784,,,,,,,,,,,,10841.0288172187,8927.45632301643,10639.3477342934,,,,,2676.05639648438,2618.84936523438,,,,,,,,,,,,,No
B01,Plate 4,,,,16S_bact,2752.45703125,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,55049.140625,,,2813.98486328125,2693.98706054688,13874,12537,1337,0,0,0,0,,,,,,,,,10000,,,2.888434512444,1.68706251013553,,,,,,,,,,,,11788.0438995885,5316.29996629143,11164.3793732213,,,,,2783.44653320313,2722.26245117188,,,,,,,,,,,,,No
B02,Plate 4,,,,16S_bact,7983.62548828125,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,159672.515625,,,8614.8857421875,7447.99462890625,14167,14151,16,0,0,0,0,,,,,,,,,10000,,,4.22829018462882,1.03522183045293,,,,,,,,,,,,12208.93292028,7528.26039123535,12203.6466380421,,,,,8290.4453125,7701.32958984375,,,,,,,,,,,,,No
B03,Plate 4,,,,16S_bact,396.288940429688,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,7925.77880859375,,,408.485168457031,384.217834472656,14466,4137,10329,0,0,0,0,,,,,,,,,10000,,,2.30302839652277,5.07903395016477,,,,,,,,,,,,11832.7539624313,2536.73396312497,5195.21832211364,,,,,402.495727539063,390.11474609375,,,,,,,,,,,,,No
B04,Plate 4,,,,16S_bact,0.0862483456730843,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.72496688365936,,,0.411979138851166,0.00362230348400772,13641,1,13640,0,0,0,0,,,,,,,,,10000,,,,61.1216654231029,,,,,,,,,,,,11107.6669921875,2121.29426630194,2121.95304298443,,,,,0.21468386054039,0.0233726780861616,,,,,,,,,,,,,No
B05,Plate 4,,,,16S_bact,5.29123306274414,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,105.824661254883,,,6.70163869857788,4.09498691558838,14262,64,14198,0,0,0,0,,,,,,,,,10000,,,1.39943664625739,19.6171565029301,,,,,,,,,,,,10503.9479980469,1798.20426602813,1837.27084847443,,,,,5.97918605804443,4.65842247009277,,,,,,,,,,,,,No
B06,Plate 4,,,,16S_bact,161.862014770508,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,3237.240234375,,,169.489440917969,154.283721923828,13568,1744,11824,0,0,0,0,,,,,,,,,10000,,,0.975721745567824,0.748244291444609,,,,,,,,,,,,10303.3641805386,8059.1333091901,8347.6016641158,,,,,165.747375488281,157.989456176758,,,,,,,,,,,,,No
B07,Plate 4,,,,16S_bact,347.4091796875,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,6948.18359375,,,359.009490966797,335.922119140625,13708,3505,10203,0,0,0,0,,,,,,,,,10000,,,2.34651410391546,6.27147303869912,,,,,,,,,,,,11704.9819685605,2382.21974332429,4765.9578232377,,,,,353.313415527344,341.534423828125,,,,,,,,,,,,,No
B08,Plate 4,,,,16S_bact,45.968864440918,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,919.377319335938,,,49.6408958435059,42.3082580566406,15762,604,15158,0,0,0,0,,,,,,,,,10000,,,2.31660596782135,13.7405170767494,,,,,,,,,,,,11531.2817948701,2302.0779970267,2655.74118024567,,,,,47.8409194946289,44.0997848510742,,,,,,,,,,,,,No
B09,Plate 4,,,,16S_bact,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.240405514836311,0,14663,0,14663,0,0,0,0,,,,,,,,,10000,,,,229.294769526695,,,,,,,,,,,,,591.897122663373,591.897122663373,,,,,0.109845414757729,0,,,,,,,,,,,,,No
B10,Plate 4,,,,16S_bact,0.156341597437859,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,3.12683200836182,,,0.500835478305817,0.0236844196915627,15051,2,15049,0,0,0,0,,,,,,,,,10000,,,1.2872761847927,2.26988539629835,,,,,,,,,,,,11693.6494140625,4507.20533686637,4508.16028259452,,,,,0.300585180521011,0.0678497031331062,,,,,,,,,,,,,No
B11,Plate 4,,,,16S_bact,4229.01123046875,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,84580.2265625,,,4344.97802734375,4123.45654296875,15435,15011,424,0,0,0,0,,,,,,,,,10000,,,2.77219767556097,1.04538238532433,,,,,,,,,,,,11197.8636318393,9454.26687334169,11149.9669667532,,,,,4286.7490234375,4173.974609375,,,,,,,,,,,,,No
B12,Plate 4,,,,16S_bact,476.465423583984,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,9529.30859375,,,489.88720703125,463.195007324219,14906,4964,9942,0,0,0,0,,,,,,,,,10000,,,2.07916362929503,2.99210442491915,,,,,,,,,,,,11530.2490102567,3211.21398726874,5981.62119605124,,,,,483.294128417969,469.676116943359,,,,,,,,,,,,,No
C01,Plate 4,,,,16S_bact,3.35002446174622,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,67.00048828125,,,4.48735952377319,2.42381024360657,14419,41,14378,0,0,0,0,,,,,,,,,10000,,,2.08606654284638,34.4680863174945,,,,,,,,,,,,11308.4359994284,2692.15652927256,2716.65666508478,,,,,3.89968514442444,2.85476398468018,,,,,,,,,,,,,No
C02,Plate 4,,,,16S_bact,2508.47778320313,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,50169.5546875,,,2558.40942382813,2460.57958984375,16538,14577,1961,0,0,0,0,,,,,,,,,10000,,,2.86227497682718,1.98313127658989,,,,,,,,,,,,11888.2320395438,4384.41397858833,10998.4637956489,,,,,2533.68823242188,2483.79638671875,,,,,,,,,,,,,No
C03,Plate 4,,,,16S_bact,8646.0693359375,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,172921.390625,,,9517.212890625,7947.02734375,13994,13985,9,0,0,0,0,,,,,,,,,10000,,,4.54687098296059,1.09866251434565,,,,,,,,,,,,12346.5879087108,9036.7747938368,12344.4592594301,,,,,9062.8896484375,8273.2265625,,,,,,,,,,,,,No
C04,Plate 4,,,,16S_bact,34.3596267700195,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,687.192504882813,,,37.7661018371582,30.9629821777344,13619,392,13227,0,0,0,0,,,,,,,,,10000,,,1.87731366568885,13.0587039344708,,,,,,,,,,,,11102.8715023119,2059.62171492703,2319.91644410354,,,,,36.0963897705078,32.6254196166992,,,,,,,,,,,,,No
C05,Plate 4,,,,16S_bact,58.6856346130371,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1173.71264648438,,,62.8065147399902,54.5791397094727,16071,782,15289,0,0,0,0,,,,,,,,,10000,,,1.7092825372753,9.52762015604701,,,,,,,,,,,,10873.8282074209,1896.67119226176,2333.49135191918,,,,,60.786319732666,56.5886917114258,,,,,,,,,,,,,No
C06,Plate 4,,,,16S_bact,694.714782714844,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,13894.2958984375,,,712.725952148438,676.975219726563,13396,5974,7422,0,0,0,0,,,,,,,,,10000,,,1.60763780148262,1.7728966910364,,,,,,,,,,,,10601.4956679138,3939.86302117214,6910.64485393079,,,,,703.869689941406,685.630615234375,,,,,,,,,,,,,No
C07,Plate 4,,,,16S_bact,25.6362361907959,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,512.724731445313,,,28.5264568328857,22.7530994415283,14057,303,13754,0,0,0,0,,,,,,,,,10000,,,2.28185025876339,21.6098760895014,,,,,,,,,,,,11783.3158744585,2134.68933034467,2342.6664124295,,,,,27.1099510192871,24.1643657684326,,,,,,,,,,,,,No
C08,Plate 4,,,,16S_bact,10.5941009521484,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,211.882019042969,,,12.2964267730713,8.89423561096191,16621,149,16472,0,0,0,0,,,,,,,,,10000,,,2.40901258950017,31.9269156127212,,,,,,,,,,,,11784.6757615877,1955.93441454539,2044.0447846019,,,,,11.462327003479,9.7265157699585,,,,,,,,,,,,,No
C09,Plate 4,,,,16S_bact,98.2981491088867,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1965.96301269531,,,104.030014038086,92.5940704345703,14172,1136,13036,0,0,0,0,,,,,,,,,10000,,,1.10535418923878,1.46769689445061,,,,,,,,,,,,10310.5329486686,4961.60752454291,5390.36699969157,,,,,101.219085693359,95.3844528198242,,,,,,,,,,,,,No
C10,Plate 4,,,,16S_bact,6.05638885498047,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,121.127777099609,,,7.51812601089478,4.79857921600342,14996,77,14919,0,0,0,0,,,,,,,,,10000,,,0.525645660976487,1.78550257458504,,,,,,,,,,,,10343.3145292208,8808.76527859818,8816.64473260578,,,,,6.77184104919434,5.39346551895142,,,,,,,,,,,,,No
C11,Plate 4,,,,16S_bact,39.3342323303223,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,786.684631347656,,,42.5344276428223,36.1427230834961,17700,582,17118,0,0,0,0,,,,,,,,,10000,,,2.25511671950443,13.934010457053,,,,,,,,,,,,11751.7322926734,2067.41787161004,2385.8512610484,,,,,40.9658966064453,37.7048301696777,,,,,,,,,,,,,No
C12,Plate 4,,,,16S_bact,3010.11206054688,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,60202.2421875,,,3079.08813476563,2944.95654296875,14119,13026,1093,0,0,0,0,,,,,,,,,10000,,,2.38910515104889,0.767410767711399,,,,,,,,,,,,11159.0634568453,8514.70667788269,10954.3547693033,,,,,3044.79858398438,2976.4189453125,,,,,,,,,,,,,No
D01,Plate 4,,,,16S_bact,3836.13745117188,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,76722.75,,,3932.19140625,3747.33764648438,15667,15066,601,0,0,0,0,,,,,,,,,10000,,,3.66239083452146,2.08917865073096,,,,,,,,,,,,12248.9534500023,5687.9201773899,11997.2664009923,,,,,3884.16430664063,3789.99462890625,,,,,,,,,,,,,No
D02,Plate 4,,,,16S_bact,11386.7265625,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,227734.53125,,,15116.2392578125,9547.193359375,15974,15973,1,0,0,0,0,,,,,,,,,10000,,,4.39887146123511,,,,,,,,,,,,,12187.4277570573,9329.361328125,12187.2488371607,,,,,12922.76953125,10313.9248046875,,,,,,,,,,,,,No
D03,Plate 4,,,,16S_bact,74.214973449707,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1484.29943847656,,,79.042366027832,69.4073104858398,14918,912,14006,0,0,0,0,,,,,,,,,10000,,,2.23462259914401,12.0185547288197,,,,,,,,,,,,11499.0843570107,2088.37573466178,2663.69188049783,,,,,76.6754608154297,71.7596282958984,,,,,,,,,,,,,No
D04,Plate 4,,,,16S_bact,0.489923924207687,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,9.79847812652588,,,1.00162220001221,0.191862553358078,14411,6,14405,0,0,0,0,,,,,,,,,10000,,,3.62240365033073,89.3965854725815,,,,,,,,,,,,12028.3802083333,1999.85778789527,2004.03314939153,,,,,0.720258593559265,0.314916014671326,,,,,,,,,,,,,No
D05,Plate 4,,,,16S_bact,29.9265384674072,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,598.53076171875,,,32.8704566955566,26.9899673461914,15846,398,15448,0,0,0,0,,,,,,,,,10000,,,0.814189626959321,0.977859499446086,,,,,,,,,,,,10293.2017484885,8091.47156977839,8146.77187339612,,,,,31.4276180267334,28.4273719787598,,,,,,,,,,,,,No
D06,Plate 4,,,,16S_bact,27.8595123291016,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,557.190246582031,,,30.7861366271973,24.940149307251,14913,349,14564,0,0,0,0,,,,,,,,,10000,,,1.75293151088963,11.4314563688637,,,,,,,,,,,,11025.6863583453,1926.88111598752,2139.81500116038,,,,,29.3517799377441,26.3691368103027,,,,,,,,,,,,,No
D07,Plate 4,,,,16S_bact,66.5143890380859,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1330.28784179688,,,71.0137023925781,62.0322227478027,15336,843,14493,0,0,0,0,,,,,,,,,10000,,,1.91774162105734,10.8581963389706,,,,,,,,,,,,11262.6828766774,2254.00419839164,2749.19956392339,,,,,68.8078079223633,64.2254409790039,,,,,,,,,,,,,No
D08,Plate 4,,,,16S_bact,55.8382301330566,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1116.7646484375,,,59.9329528808594,51.7577095031738,15468,717,14751,0,0,0,0,,,,,,,,,10000,,,2.27310377419106,15.4652889801429,,,,,,,,,,,,11708.699447568,2026.44563086262,2475.25452577972,,,,,57.925594329834,53.7545623779297,,,,,,,,,,,,,No
D09,Plate 4,,,,16S_bact,0.260348290205002,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,5.20696592330933,,,0.690135836601257,0.0617841184139252,13558,3,13555,0,0,0,0,,,,,,,,,10000,,,1.32657208795339,4.02602914619377,,,,,,,,,,,,11219.8694661458,2144.95611593879,2146.96413629951,,,,,0.445751428604126,0.135287150740623,,,,,,,,,,,,,No
D10,Plate 4,,,,16S_bact,0.0830459594726563,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.66091918945313,,,0.396680384874344,0.00348781235516071,14167,1,14166,0,0,0,0,,,,,,,,,10000,,,,5.52237259108841,,,,,,,,,,,,11889.7099609375,3213.09504608581,3213.70749861033,,,,,0.206712260842323,0.0225048754364252,,,,,,,,,,,,,No
D11,Plate 4,,,,16S_bact,2032.59155273438,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,40651.83203125,,,2072.36987304688,1994.11462402344,16084,13226,2858,0,0,0,0,,,,,,,,,10000,,,1.28282186241122,0.744609363310712,,,,,,,,,,,,10555.6002431143,9520.23376584437,10371.62378253,,,,,2052.71850585938,2012.80322265625,,,,,,,,,,,,,No
D12,Plate 4,,,,16S_bact,458.175018310547,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,9163.5,,,471.298614501953,445.196136474609,14865,4795,10070,0,0,0,0,,,,,,,,,10000,,,2.09144594196384,3.42375394220784,,,,,,,,,,,,11589.232473198,3199.47995583649,5905.76070395276,,,,,464.852447509766,451.535217285156,,,,,,,,,,,,,No
E01,Plate 4,,,,16S_bact,1419.76135253906,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,28395.2265625,,,1449.04443359375,1391.18933105469,14892,10437,4455,0,0,0,0,,,,,,,,,10000,,,1.52319812003599,1.10105219834493,,,,,,,,,,,,10801.8875965989,6582.46261360348,9539.63012283821,,,,,1434.61059570313,1405.09704589844,,,,,,,,,,,,,No
E02,Plate 4,,,,16S_bact,5542.5302734375,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,110850.609375,,,5746.6884765625,5368.6162109375,16677,16527,150,0,0,0,0,,,,,,,,,10000,,,3.49849933598068,1.04226415834582,,,,,,,,,,,,11963.7999076204,7297.87685058594,11921.8326198255,,,,,5642.26611328125,5450.5927734375,,,,,,,,,,,,,No
E03,Plate 4,,,,16S_bact,6309.11279296875,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,126182.2578125,,,6594.15625,6045.35888671875,15145,15074,71,0,0,0,0,,,,,,,,,10000,,,3.615175412048,0.80462260567536,,,,,,,,,,,,11757.1988417686,8552.84635473977,11742.1767865307,,,,,6450.93115234375,6172.77099609375,,,,,,,,,,,,,No
E04,Plate 4,,,,16S_bact,0.44406846165657,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,8.88136959075928,,,0.965174496173859,0.156115382909775,13249,5,13244,0,0,0,0,,,,,,,,,10000,,,1.71777958379313,3.27741131503426,,,,,,,,,,,,11698.726171875,4063.10918582051,4065.99076819882,,,,,0.676383018493652,0.272282898426056,,,,,,,,,,,,,No
E05,Plate 4,,,,16S_bact,148.94499206543,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,2978.89990234375,,,155.775039672852,142.154373168945,15473,1840,13633,0,0,0,0,,,,,,,,,10000,,,2.43232604501611,8.4368963701651,,,,,,,,,,,,11573.436692213,2413.97066757749,3503.1852662545,,,,,152.424743652344,145.475494384766,,,,,,,,,,,,,No
E06,Plate 4,,,,16S_bact,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.226676449179649,0,15551,0,15551,0,0,0,0,,,,,,,,,10000,,,,6.0266633769242,,,,,,,,,,,,,1742.14319953283,1742.14319953283,,,,,0.103572696447372,0,,,,,,,,,,,,,No
E07,Plate 4,,,,16S_bact,25.1290054321289,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,502.580108642578,,,27.86008644104,22.4042472839355,15426,326,15100,0,0,0,0,,,,,,,,,10000,,,2.56725678274613,24.0933969005318,,,,,,,,,,,,11808.6485603192,2073.2194994713,2278.95979986261,,,,,26.5216217041016,23.7380332946777,,,,,,,,,,,,,No
E08,Plate 4,,,,16S_bact,91.6158981323242,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1832.31799316406,,,96.8719100952148,86.3832473754883,15657,1173,14484,0,0,0,0,,,,,,,,,10000,,,2.47714938834933,13.3021573501439,,,,,,,,,,,,11744.7368834252,2147.60492325145,2866.60829486056,,,,,94.2946014404297,88.9432678222656,,,,,,,,,,,,,No
E09,Plate 4,,,,16S_bact,391.278076171875,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,7825.5615234375,,,402.831268310547,379.837280273438,15873,4491,11382,0,0,0,0,,,,,,,,,10000,,,1.3704622815022,1.83285602329294,,,,,,,,,,,,10542.0345858818,3729.88870696673,5657.27150430861,,,,,397.158416748047,385.427062988281,,,,,,,,,,,,,No
E10,Plate 4,,,,16S_bact,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.233741536736488,0,15081,0,15081,0,0,0,0,,,,,,,,,10000,,,,59.65240786994,,,,,,,,,,,,,2234.50064705117,2234.50064705117,,,,,0.106800690293312,0,,,,,,,,,,,,,No
