tree,height,chamber,temp_air,starttime,endtime,fluxid,ch4_ppm,co2_ppm,area,vol,tmin
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86726,693.341,1.5,0.75,1.866666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86765,704.559,1.5,0.75,1.95
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86612,712.939,1.5,0.75,2.033333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86824,722.317,1.5,0.75,2.116666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86942,731.72,1.5,0.75,2.2
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86795,742.363,1.5,0.75,2.283333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.8695,751.863,1.5,0.75,2.366666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86654,761.133,1.5,0.75,2.45
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86841,770.461,1.5,0.75,2.533333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86733,781.469,1.5,0.75,2.616666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.8692,790.75,1.5,0.75,2.7
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86866,799.65,1.5,0.75,2.783333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86897,809.446,1.5,0.75,2.866666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86773,819.758,1.5,0.75,2.95
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86876,829.494,1.5,0.75,3.033333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.8689,838.768,1.5,0.75,3.116666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86863,847.594,1.5,0.75,3.2
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87036,858.061,1.5,0.75,3.283333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86969,867.124,1.5,0.75,3.366666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86991,879.311,1.5,0.75,3.45
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.8711,888.716,1.5,0.75,3.533333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87058,898.357,1.5,0.75,3.616666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87121,907.259,1.5,0.75,3.7
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87037,916.827,1.5,0.75,3.783333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87015,927.12,1.5,0.75,3.866666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87059,936.626,1.5,0.75,3.95
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87089,946.733,1.5,0.75,4.033333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87082,956.687,1.5,0.75,4.116666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87094,966.363,1.5,0.75,4.183333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87232,974.21,1.5,0.75,4.266666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87086,984.618,1.5,0.75,4.35
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87096,994.741,1.5,0.75,4.433333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86934,1003.87,1.5,0.75,4.516666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87243,1014.28,1.5,0.75,4.6
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87213,1024.68,1.5,0.75,4.683333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87176,1033.4,1.5,0.75,4.766666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86976,1042.74,1.5,0.75,4.85
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87083,1052.32,1.5,0.75,4.933333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87299,1063.44,1.5,0.75,5.016666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.8718,1072.16,1.5,0.75,5.1
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87289,1082.2,1.5,0.75,5.183333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.8707,1091.96,1.5,0.75,5.266666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87146,1100.23,1.5,0.75,5.35
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87325,1110.9,1.5,0.75,5.433333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87139,1120.16,1.5,0.75,5.516666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87286,1130.68,1.5,0.75,5.6
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87257,1139.74,1.5,0.75,5.683333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87248,1149.84,1.5,0.75,5.766666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87316,1159.92,1.5,0.75,5.85
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87311,1169.61,1.5,0.75,5.933333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87343,1179.09,1.5,0.75,6.016666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87343,1188.79,1.5,0.75,6.1
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87215,1198.09,1.5,0.75,6.183333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87322,1207.93,1.5,0.75,6.266666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87377,1218.41,1.5,0.75,6.35
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87398,1227.11,1.5,0.75,6.433333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87294,1236.22,1.5,0.75,6.516666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87291,1246.24,1.5,0.75,6.6
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87485,1254.67,1.5,0.75,6.683333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87391,1265.16,1.5,0.75,6.766666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87255,1274.25,1.5,0.75,6.85
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.875,1283.94,1.5,0.75,6.933333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87596,1293,1.5,0.75,7.016666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87331,1302.38,1.5,0.75,7.1
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.874,1310.57,1.5,0.75,7.183333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87414,1320.16,1.5,0.75,7.266666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87486,1330.26,1.5,0.75,7.333333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87552,1339.92,1.5,0.75,7.416666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87591,1349.68,1.5,0.75,7.5
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87451,1359.13,1.5,0.75,7.583333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87399,1368.27,1.5,0.75,7.666666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.8746,1379.42,1.5,0.75,7.75
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87523,1387.42,1.5,0.75,7.833333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87536,1396.68,1.5,0.75,7.916666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87528,1405.47,1.5,0.75,8
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87556,1415.13,1.5,0.75,8.083333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87603,1424.47,1.5,0.75,8.166666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.8758,1434.32,1.5,0.75,8.25
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87692,1444.47,1.5,0.75,8.333333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87518,1452.05,1.5,0.75,8.416666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87521,1463.06,1.5,0.75,8.5
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87641,1473,1.5,0.75,8.583333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87665,1482.83,1.5,0.75,8.666666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87817,1491.97,1.5,0.75,8.75
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87624,1500.38,1.5,0.75,8.833333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87776,1510.95,1.5,0.75,8.916666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87414,1518.98,1.5,0.75,9
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87676,1528.67,1.5,0.75,9.083333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.8763,1537.56,1.5,0.75,9.166666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87766,1546.74,1.5,0.75,9.25
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.8765,1557.61,1.5,0.75,9.333333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.8763,1566.82,1.5,0.75,9.416666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87746,1576.46,1.5,0.75,9.5
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87733,1583.15,1.5,0.75,9.583333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87782,1593.74,1.5,0.75,9.666666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87578,1602.55,1.5,0.75,9.75
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87748,1612.06,1.5,0.75,9.833333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.87814,1620.72,1.5,0.75,9.916666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.8767,1629.2,1.5,0.75,10
