"Autosampler.Position","Species.ID","Tree.ID","Lab.No","Lab.ID","FID.File","FID.Date","FID.Time","FID.Channel.CH4","Certified.Value.CO2...10","CH4.Area","CH4.ppm","CH4.Unit","FID.Channel.CO2","Certified.Value.CO2...15","CO2.Area","CO2.ppm","CO2.Unit","ECD.File","ECD.Date","ECD.Time","ECD.Channel.O2","Certified.Value.O2","O2.Area","O2.ppm","ECD.Channel.N2O","Certified.Value.N2O","N2O.Area","N2O.ppm","N2O.Unit","CO2_concentration","CH4_concentration","N2O_concentration","O2_concentration"
30,"Lab Air Blank","NA",30,"Std30","F220930s30.CHR",2022-09-30,1899-12-31 10:20:12,"CH4",1.42,0.3614,1.8811,"ppm","CO2",1.95,134.756,288.4635,"ppm","E220930s30.CHR",2022-09-30,1899-12-31 10:20:12,"O2",1.17,3245.4552,138424.4591,"N2O",2.256,62.2797,0.0565,"ppm",372.785243250113,0,0.212389422105125,161722.199733911
31,"Outdoor Air 3","NA",31,"Std31","F220930s31.CHR",2022-09-30,1899-12-31 10:25:36,"CH4",1.406,0.1988,1.1778,"ppm","CO2",1.94,54.9004,0,"ppm","E220930s31.CHR",2022-09-30,1899-12-31 10:25:36,"O2",1.16,2264.008,64358.638,"N2O",2.246,33.4742,0,"ppm",78.2880194880235,0,0.100659648939924,70746.1191620331
32,"Lab Air Blank","NA",32,"Std32","F220930s32.CHR",2022-09-30,1899-12-31 10:31:00,"CH4",1.41,0.283,1.542,"ppm","CO2",1.943,149.3214,342.2935,"ppm","E220930s32.CHR",2022-09-30,1899-12-31 10:31:00,"O2",1.16,3056.5935,120118.9938,"N2O",2.25,56.5629,0.0331,"ppm",426.563613226343,0,0.190209370351977,141828.763648131
33,"Outdoor Air 4","NA",33,"Std33","F220930s33.CHR",2022-09-30,1899-12-31 10:36:23,"CH4",1.406,0.2935,1.5874,"ppm","CO2",1.936,93.246,135.053,"ppm","E220930s33.CHR",2022-09-30,1899-12-31 10:36:23,"O2",1.156,2677.8558,90646.0305,"N2O",2.246,48.0352,0,"ppm",219.628718387433,0,0.157129037365724,105362.695579615
34,"Lab Air Blank","NA",34,"Std34","F220930s34.CHR",2022-09-30,1899-12-31 10:41:47,"CH4",1.416,0.3902,2.0056,"ppm","CO2",1.953,143.1845,319.6131,"ppm","E220930s34.CHR",2022-09-30,1899-12-31 10:41:47,"O2",1.17,3355.9062,151102.0582,"N2O",2.26,68.5746,0.0823,"ppm",403.902580024612,0,0.236815782312159,173883.494509847
35,"Outdoor Air 5","NA",35,"Std35","F220930s35.CHR",2022-09-30,1899-12-31 10:47:10,"CH4",1.4,0.4035,2.0631,"ppm","CO2",1.93,101.3862,165.1372,"ppm","E220930s35.CHR",2022-09-30,1899-12-31 10:47:10,"O2",1.156,2961.9964,112070.413,"N2O",2.233,62.1276,0.0559,"ppm",249.650589911132,0,0.211799266227049,132292.080061528
36,"Lab Air Blank","NA",36,"Std36","F220930s36.CHR",2022-09-30,1899-12-31 10:52:34,"CH4",1.406,0.3338,1.7617,"ppm","CO2",1.94,117.2763,223.8629,"ppm","E220930s36.CHR",2022-09-30,1899-12-31 10:52:34,"O2",1.16,2936.8862,110037.288,"N2O",2.246,53.919,0.0222,"ppm",308.272370617798,0,0.179952554486052,129808.555548212
37,"Outdoor Air 6","NA",37,"Std37","F220930s37.CHR",2022-09-30,1899-12-31 10:57:58,"CH4",1.403,0.4554,2.2876,"ppm","CO2",1.936,113.7486,210.8255,"ppm","E220930s37.CHR",2022-09-30,1899-12-31 10:57:58,"O2",1.156,3321.0814,146841.161,"N2O",2.246,72.8684,0.0999,"ppm",295.255975449083,0,0.253479233004006,170007.089418078
38,"Lab Air Blank","NA",38,"Std38","F220930s38.CHR",2022-09-30,1899-12-31 11:03:22,"CH4",1.413,0.348,1.8231,"ppm","CO2",1.946,98.2,153.3618,"ppm","E220930s38.CHR",2022-09-30,1899-12-31 11:03:22,"O2",1.166,3115.0796,125456.2578,"N2O",2.256,58.1062,0.0394,"ppm",237.898842196722,0,0.196196779497017,147867.72008163
39,"Outdoor Air 7","NA",39,"Std39","F220930s39.CHR",2022-09-30,1899-12-31 11:08:45,"CH4",1.403,0.5378,2.644,"ppm","CO2",1.936,138.1706,301.083,"ppm","E220930s39.CHR",2022-09-30,1899-12-31 11:08:45,"O2",1.16,3632.2025,190707.1336,"N2O",2.246,90.6894,0.173,"ppm",385.390884074412,0,0.322656962375512,206009.113205797
40,"Lab Air Blank","NA",40,"Std40","F220930s40.CHR",2022-09-30,1899-12-31 11:14:09,"CH4",1.406,0.3398,1.7876,"ppm","CO2",1.94,99.265,157.2977,"ppm","E220930s40.CHR",2022-09-30,1899-12-31 11:14:09,"O2",1.16,3120.2362,125926.8335,"N2O",2.246,64.3755,0.0651,"ppm",241.826806975242,0,0.220521446185405,148405.395254977
41,"Lab Air Blank","NA",41,"Std41","F220930s41.CHR",2022-09-30,1899-12-31 11:19:34,"CH4",1.416,0.3589,1.8702,"ppm","CO2",1.95,110.7074,199.586,"ppm","E220930s41.CHR",2022-09-30,1899-12-31 11:19:34,"O2",1.166,3284.6673,142721.856,"N2O",2.26,66.5046,0.0738,"ppm",284.035568222247,0,0.228783083231627,165995.138804274
42,"Lab Air Blank","NA",42,"Std42","F220930s42.CHR",2022-09-30,1899-12-31 11:24:57,"CH4",1.406,0.329,1.7409,"ppm","CO2",1.936,99.6548,158.7383,"ppm","E220930s42.CHR",2022-09-30,1899-12-31 11:24:57,"O2",1.156,3004.518,115643.5379,"N2O",2.243,56.7624,0.0339,"ppm",243.264504960526,0,0.190983341419016,136543.533062654
43,"Oxygen Standard 1","NA",43,"Std43","F220930s43.CHR",2022-09-30,1899-12-31 11:30:22,"CH4",0,0,0,"ppm","CO2",1.936,8.9723,0,"ppm","E220930s43.CHR",2022-09-30,1899-12-31 11:30:22,"O2",1.153,781.4982,0,"N2O",0,0,0,"ppm",0,0,0,0
44,"Lab Air Blank","NA",44,"Std44","F220930s44.CHR",2022-09-30,1899-12-31 11:35:46,"CH4",1.406,0.3688,1.9131,"ppm","CO2",1.936,109.414,194.8059,"ppm","E220930s44.CHR",2022-09-30,1899-12-31 11:35:46,"O2",1.16,3130.1728,126844.9429,"N2O",2.246,63.5158,0.0616,"ppm",279.263868511861,0,0.217185631174613,149443.869077456
45,"Oxygen Standard 2","NA",45,"Std45","F220930s45.CHR",2022-09-30,1899-12-31 11:41:10,"CH4",0,0,0,"ppm","CO2",1.936,16.662,0,"ppm","E220930s45.CHR",2022-09-30,1899-12-31 11:41:10,"O2",1.156,1655.343,31987.6631,"N2O",2.243,6.0114,0,"ppm",0,0,0,29757.3685547863
46,"Lab Air Blank","NA",46,"Std46","F220930s46.CHR",2022-09-30,1899-12-31 11:46:34,"CH4",1.41,0.3258,1.7271,"ppm","CO2",1.95,97.7295,151.6229,"ppm","E220930s46.CHR",2022-09-30,1899-12-31 11:46:34,"O2",1.163,3085.0012,122711.3943,"N2O",2.256,57.8558,0.0384,"ppm",236.163563173505,0,0.195225309476257,144748.364126234
47,"Oxygen Standard 3","NA",47,"Std47","F220930s47.CHR",2022-09-30,1899-12-31 11:51:58,"CH4",0,0,0,"ppm","CO2",1.936,13.3037,0,"ppm","E220930s47.CHR",2022-09-30,1899-12-31 11:51:58,"O2",1.156,2049.4194,52256.6216,"N2O",2.246,7.3668,0,"ppm",0,0,0,54946.9334252795
48,"Lab Air Blank","NA",48,"Std48","F220930s48.CHR",2022-09-30,1899-12-31 11:57:21,"CH4",1.416,0.3418,1.7963,"ppm","CO2",1.953,106.7157,184.8336,"ppm","E220930s48.CHR",2022-09-30,1899-12-31 11:57:21,"O2",1.166,3192.3066,132899.7893,"N2O",2.263,65.989,0.0717,"ppm",269.309609383433,0,0.226782341327227,156008.871295991
49,"Oxygen Standard 4","NA",49,"Std49","F220930s49.CHR",2022-09-30,1899-12-31 12:02:45,"CH4",0,0,0,"ppm","CO2",1.943,11.8392,0,"ppm","E220930s49.CHR",2022-09-30,1899-12-31 12:02:45,"O2",1.16,2794.3532,98986.7284,"N2O",2.24,6.8631,0,"ppm",0,0,0,116092.320780504
50,"Lab Air Blank","NA",50,"Std50","F220930s50.CHR",2022-09-30,1899-12-31 12:08:09,"CH4",1.406,0.3664,1.9027,"ppm","CO2",1.94,109.1571,193.8564,"ppm","E220930s50.CHR",2022-09-30,1899-12-31 12:08:09,"O2",1.156,3137.298,127539.283,"N2O",2.253,65.1554,0.0683,"ppm",278.316113723608,0,0.223547677993746,150190.461926778
51,"Oxygen Standard 5","NA",51,"Std51","F220930s51.CHR",2022-09-30,1899-12-31 12:13:32,"CH4",0,0,0,"ppm","CO2",1.943,11.961,0,"ppm","E220930s51.CHR",2022-09-30,1899-12-31 12:13:32,"O2",1.16,3357.1442,151253.5305,"N2O",2.253,6.7808,0,"ppm",0,0,0,174022.010163234
52,"Lab Air Blank","NA",52,"Std52","F220930s52.CHR",2022-09-30,1899-12-31 12:18:56,"CH4",1.416,0.3806,1.9641,"ppm","CO2",1.956,103.5333,173.0723,"ppm","E220930s52.CHR",2022-09-30,1899-12-31 12:18:56,"O2",1.166,3193.8876,133053.8554,"N2O",2.266,60.8582,0.0507,"ppm",257.570321866392,0,0.206874009496732,156177.524509046
53,"Lab Air Blank","NA",53,"Std53","F220930s53.CHR",2022-09-30,1899-12-31 12:24:20,"CH4",1.406,0.34,1.7885,"ppm","CO2",1.946,115.2686,216.443,"ppm","E220930s53.CHR",2022-09-30,1899-12-31 12:24:20,"O2",1.16,3040.564,118736.472,"N2O",2.256,61.607,0.0537,"ppm",300.864283180495,0,0.209779326986472,140192.689764614
54,"Lab Air Blank","NA",54,"Std54","F220930s54.CHR",2022-09-30,1899-12-31 12:30:17,"CH4",1.41,0.3578,1.8655,"ppm","CO2",1.946,99.1488,156.8683,"ppm","E220930s54.CHR",2022-09-30,1899-12-31 12:30:17,"O2",1.166,3073.4656,121658.6904,"N2O",2.256,62.1319,0.0559,"ppm",241.39822961425,0,0.211815950421233,143559.689891845
55,"ACRU","RM1",55,"55g","F220930s55.CHR",2022-09-30,1899-12-31 12:35:41,"CH4",1.41,6.239,27.303,"ppm","CO2",1.94,17693.3688,65180.6444,"ppm","E220930s55.CHR",2022-09-30,1899-12-31 12:35:41,"O2",1.16,2745.5214,95433.5212,"N2O",2.25,350.1718,1.2365,"ppm",79323.1529143697,9.50563099344968,1.33314898959152,111542.137155937
56,"BLANK","BLANK",56,"BLANK","F220930s56.CHR",2022-09-30,1899-12-31 12:41:05,"CH4",0,0,0,"ppm","CO2",1.956,154.6102,361.8396,"ppm","E220930s56.CHR",2022-09-30,1899-12-31 12:41:05,"O2",1.166,3198.6341,133529.7171,"N2O",2.263,66.5488,0.074,"ppm",446.095733870036,0,0.228954598679612,156684.336384343
57,"ACRU","RM10",57,"57g","F220930s57.CHR",2022-09-30,1899-12-31 12:46:29,"CH4",1.42,14.824,64.435,"ppm","CO2",1.966,7544.7502,27673.9232,"ppm","E220930s57.CHR",2022-09-30,1899-12-31 12:46:29,"O2",1.17,3445.2342,163133.2819,"N2O",2.26,238.073,0.7771,"ppm",30243.9101389503,47.1792046107889,0.895865269379751,184003.570763115
58,"BLANK","BLANK",58,"BLANK","F220930s58.CHR",2022-09-30,1899-12-31 12:51:53,"CH4",1.4,0.2757,1.5104,"ppm","CO2",1.94,146.9986,333.709,"ppm","E220930s58.CHR",2022-09-30,1899-12-31 12:51:53,"O2",1.16,3168.6772,130597.1394,"N2O",2.246,66.7244,0.0747,"ppm",417.986067541356,0,0.229636005676529,153497.702820651
59,"ACRU","RM14",59,"59g","F220930s59.CHR",2022-09-30,1899-12-31 12:57:17,"CH4",1.406,0.5796,2.8248,"ppm","CO2",1.94,812.0508,2791.5733,"ppm","E220930s59.CHR",2022-09-30,1899-12-31 12:57:17,"O2",1.16,3542.5475,177484.926,"N2O",2.243,112.7424,0.2633,"ppm",2894.06824590034,0,0.408301991946892,195317.90896468
60,"BLANK","BLANK",60,"BLANK","F220930s60.CHR",2022-09-30,1899-12-31 13:02:41,"CH4",1.416,0.2706,1.4883,"ppm","CO2",1.95,85.9286,108.0098,"ppm","E220930s60.CHR",2022-09-30,1899-12-31 13:02:41,"O2",1.17,3020.281,116996.0852,"N2O",2.26,52.3992,0.016,"ppm",192.646600281739,0,0.174056886132109,138134.219971628
61,"ACRU","RM2",61,"61g","F220930s61.CHR",2022-09-30,1899-12-31 13:08:04,"CH4",1.406,0.6522,3.1388,"ppm","CO2",1.94,418.3445,1336.5347,"ppm","E220930s61.CHR",2022-09-30,1899-12-31 13:08:04,"O2",1.16,3567.1041,181106.5027,"N2O",2.243,96.932,0.1985,"ppm",1423.34779602493,0,0.346896291911254,198220.75213806
62,"BLANK","BLANK",62,"BLANK","F220930s62.CHR",2022-09-30,1899-12-31 13:13:28,"CH4",1.403,0.3002,1.6163,"ppm","CO2",1.936,93.5298,136.1019,"ppm","E220930s62.CHR",2022-09-30,1899-12-31 13:13:28,"O2",1.16,2985.6592,114025.3549,"N2O",2.243,60.1067,0.0476,"ppm",220.675298960815,0,0.203958266725499,134650.851288745
63,"ACRU","RM3",63,"63g","F220930s63.CHR",2022-09-30,1899-12-31 13:18:51,"CH4",1.406,5.5582,24.3584,"ppm","CO2",1.943,12837.6264,47235.0517,"ppm","E220930s63.CHR",2022-09-30,1899-12-31 13:18:51,"O2",1.156,3030.5881,117880.488,"N2O",2.24,290.5474,0.9921,"ppm",54662.4486285956,6.51911384564181,1.10042101229669,139178.621717397
64,"BLANK","BLANK",64,"BLANK","F220930s64.CHR",2022-09-30,1899-12-31 13:24:15,"CH4",0,0,0,"ppm","CO2",1.94,89.08,119.6566,"ppm","E220930s64.CHR",2022-09-30,1899-12-31 13:24:15,"O2",1.16,2872.0868,104890.721,"N2O",2.25,51.8336,0.0137,"ppm",204.266443859132,0,0.171862841169565,123492.465403602
65,"ACRU","RM301A",65,"65g","F220930s65.CHR",2022-09-30,1899-12-31 13:29:39,"CH4",1.42,69.3912,300.4502,"ppm","CO2",1.966,4780.4642,17457.8231,"ppm","E220930s65.CHR",2022-09-30,1899-12-31 13:29:39,"O2",1.166,3423.3818,159918.8527,"N2O",2.26,195.1246,0.601,"ppm",18511.8778837982,287.204112730998,0.728627795418666,181504.375700135
66,"BLANK","BLANK",66,"BLANK","F220930s66.CHR",2022-09-30,1899-12-31 13:35:02,"CH4",1.403,0.3121,1.6678,"ppm","CO2",1.943,100.2808,161.0519,"ppm","E220930s66.CHR",2022-09-30,1899-12-31 13:35:02,"O2",1.16,2928.1402,109329.1411,"N2O",2.256,57.9934,0.0389,"ppm",245.573407733087,0,0.195759151730067,128948.253668802
67,"BLANK","BLANK",67,"BLANK","F220930s67.CHR",2022-09-30,1899-12-31 13:40:26,"CH4",1.413,0.367,1.9053,"ppm","CO2",1.95,103.307,172.236,"ppm","E220930s67.CHR",2022-09-30,1899-12-31 13:40:26,"O2",1.166,3120.945,125991.5164,"N2O",2.263,65.2266,0.0686,"ppm",256.735578201839,0,0.2238239567817,148479.367636945
68,"BLANK","BLANK",68,"BLANK","F220930s68.CHR",2022-09-30,1899-12-31 13:45:49,"CH4",1.406,0.392,2.0134,"ppm","CO2",1.946,130.0416,271.0403,"ppm","E220930s68.CHR",2022-09-30,1899-12-31 13:45:49,"O2",1.16,3398.0848,156535.4878,"N2O",2.26,78.2518,0.122,"ppm",355.382901907885,0,0.27437356064571,178630.249617117
69,"ACRU","RM302",69,"69g","F220930s69.CHR",2022-09-30,1899-12-31 13:51:13,"CH4",1.416,111.1246,480.9563,"ppm","CO2",1.953,15504.6347,57091.6381,"ppm","E220930s69.CHR",2022-09-30,1899-12-31 13:51:13,"O2",1.163,2930.4281,109514.388,"N2O",2.26,270.1277,0.9084,"ppm",67939.7233711372,471.438851579426,1.0207915346693,129173.067777995
