no,plate_identifier,Inner.Core.Sample.ID,Sample.Mass.Added.to.Tube..mg.,Date.Weighed,Name.of.Weigher,Notes,Sample.Archived,Sample.Notes,Extraction.Plate.ID,Plate.Well.No.,Plate.Position,Blank.Well.,Sample.Added.to.Extraction.Plate,Name.of.Person.Adding.to.Plate,Date.Plate.Extracted,species,core_type,material,lab_id,�..Well,Sample.description.1,Sample.description.2,Sample.description.3,Sample.description.4,Target,Conc.copies.µL.,Molecular.Weight.pg.µL.,Status,Status.Reason,Experiment,SampleType,TargetType,Supermix,DyeName.s.,Copies.20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted.Droplets,Positives,Negatives
11,3A10,"FAGR_AB1
Wood_Outer
Lab ID: 73a",104.6,7/20/22,Qespi,,x,,Plate 3,73,A10,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,73a,A10,Plate 3,,NA,strict,mcra,0.1304508,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,2.609015942,NA,NA,0.417884976,0.019762367,18038,2,18036
12,3A10,"FAGR_AB1
Wood_Outer
Lab ID: 73a",104.6,7/20/22,Qespi,,x,,Plate 3,73,A10,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,73a,A10,Plate 3,NA,NA,strict,mcra_probe,0,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,NA,NA,0.186823502,0,18868,0,18868
13,3A10,"FAGR_AB1
Wood_Outer
Lab ID: 73a",104.6,7/20/22,Qespi,,x,,Plate 3,73,A10,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,73a,A10,Plate 3,NA,NA,loose,pmoa,0.600546539,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,12.01093102,NA,NA,1.124698758,0.271859467,15676,8,15668
14,3A10,"FAGR_AB1
Wood_Outer
Lab ID: 73a",104.6,7/20/22,Qespi,,x,,Plate 3,73,A10,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,73a,A10,Plate 3,,NA,loose,mmox,0.690214515,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,13.80429077,NA,NA,1.292671204,0.312444448,13640,8,13632
15,3A10,"FAGR_AB1
Wood_Outer
Lab ID: 73a",104.6,7/20/22,Qespi,,x,,Plate 3,73,A10,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,73a,A10,Plate 3,NA,NA,strict,pmoa,0.15010789,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,3.002157688,NA,NA,0.480863184,0.022740114,15676,2,15674
16,3A10,"FAGR_AB1
Wood_Outer
Lab ID: 73a",104.6,7/20/22,Qespi,,x,,Plate 3,73,A10,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,73a,A10,Plate 3,,NA,strict,mmox,0.086254671,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.725093365,NA,NA,0.412009329,0.003622569,13640,1,13639
17,3A11,"FAGR_AB5
Wood_Outer
Lab ID: 81a",105.2,7/20/22,Qespi,,x,,Plate 3,81,A11,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,81a,A11,Plate 3,NA,NA,loose,pmoa,0.300560892,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,6.011218071,NA,NA,0.708770454,0.090686172,15659,4,15655
18,3A11,"FAGR_AB5
Wood_Outer
Lab ID: 81a",105.2,7/20/22,Qespi,,x,,Plate 3,81,A11,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,81a,A11,Plate 3,,NA,loose,mmox,2.476871014,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,49.53742218,NA,NA,3.495779753,1.678663731,13789,29,13760
19,3A11,"FAGR_AB5
Wood_Outer
Lab ID: 81a",105.2,7/20/22,Qespi,,x,,Plate 3,81,A11,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,81a,A11,Plate 3,NA,NA,strict,mcra_probe,0,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,NA,NA,0.196182087,0,17968,0,17968
20,3A11,"FAGR_AB5
Wood_Outer
Lab ID: 81a",105.2,7/20/22,Qespi,,x,,Plate 3,81,A11,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,81a,A11,Plate 3,,NA,loose,mcra,0.28946808,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,5.789361477,NA,NA,0.682607353,0.087339491,16259,4,16255
21,3A11,"FAGR_AB5
Wood_Outer
Lab ID: 81a",105.2,7/20/22,Qespi,,x,,Plate 3,81,A11,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,81a,A11,Plate 3,NA,NA,loose,mcra_probe,0.065477699,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.309553981,NA,NA,0.312754363,0.00274999,17968,1,17967
22,3A11,"FAGR_AB5
Wood_Outer
Lab ID: 81a",105.2,7/20/22,Qespi,,x,,Plate 3,81,A11,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,81a,A11,Plate 3,,NA,strict,mmox,0,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,NA,NA,0.255645007,0,13789,0,13789
23,3A11,"FAGR_AB5
Wood_Outer
Lab ID: 81a",105.2,7/20/22,Qespi,,x,,Plate 3,81,A11,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,81a,A11,Plate 3,,NA,strict,mcra,0,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,NA,NA,0.216804892,0,16259,0,16259
24,3A11,"FAGR_AB5
Wood_Outer
Lab ID: 81a",105.2,7/20/22,Qespi,,x,,Plate 3,81,A11,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,81a,A11,Plate 3,NA,NA,strict,pmoa,0,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,NA,NA,0.22511293,0,15659,0,15659
25,3A12,"FRAM_WA101
Wood_Outer
Lab ID: 89a",100.3,7/21/22,cade,,x,,Plate 3,89,A12,,8/8/22,Cade,8/8/22,FRAM,Outer,Wood,89a,A12,Plate 3,NA,NA,loose,mcra_probe,0.330260545,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,6.605210781,NA,NA,0.778820217,0.099646352,14251,4,14247
26,3A12,"FRAM_WA101
Wood_Outer
Lab ID: 89a",100.3,7/21/22,cade,,x,,Plate 3,89,A12,,8/8/22,Cade,8/8/22,FRAM,Outer,Wood,89a,A12,Plate 3,NA,NA,strict,pmoa,2.103846312,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,42.07692719,NA,NA,2.952761173,1.435958505,16791,30,16761
27,3A12,"FRAM_WA101
Wood_Outer
Lab ID: 89a",100.3,7/21/22,cade,,x,,Plate 3,89,A12,,8/8/22,Cade,8/8/22,FRAM,Outer,Wood,89a,A12,Plate 3,NA,NA,strict,mcra_probe,0.082556441,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.651128769,NA,NA,0.394341826,0.003467254,14251,1,14250
28,3A12,"FRAM_WA101
Wood_Outer
Lab ID: 89a",100.3,7/21/22,cade,,x,,Plate 3,89,A12,,8/8/22,Cade,8/8/22,FRAM,Outer,Wood,89a,A12,Plate 3,,NA,strict,mmox,0.094226949,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.884539008,NA,NA,0.450095981,0.00395738,12486,1,12485
29,3A12,"FRAM_WA101
Wood_Outer
Lab ID: 89a",100.3,7/21/22,cade,,x,,Plate 3,89,A12,,8/8/22,Cade,8/8/22,FRAM,Outer,Wood,89a,A12,Plate 3,,NA,loose,mmox,0.94260931,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,18.8521862,NA,NA,1.660818815,0.469230771,12486,10,12476
30,3A12,"FRAM_WA101
Wood_Outer
Lab ID: 89a",100.3,7/21/22,cade,,x,,Plate 3,89,A12,,8/8/22,Cade,8/8/22,FRAM,Outer,Wood,89a,A12,Plate 3,,NA,loose,mcra,0.182346717,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,3.646934271,NA,NA,0.483341426,0.043274395,19357,3,19354
31,3A12,"FRAM_WA101
Wood_Outer
Lab ID: 89a",100.3,7/21/22,cade,,x,,Plate 3,89,A12,,8/8/22,Cade,8/8/22,FRAM,Outer,Wood,89a,A12,Plate 3,,NA,strict,mcra,0.060779095,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.215581894,NA,NA,0.29030928,0.002552659,19357,1,19356
32,3A12,"FRAM_WA101
Wood_Outer
Lab ID: 89a",100.3,7/21/22,cade,,x,,Plate 3,89,A12,,8/8/22,Cade,8/8/22,FRAM,Outer,Wood,89a,A12,Plate 3,NA,NA,loose,pmoa,13.60096836,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,272.0193787,NA,NA,15.52142239,11.68364239,16791,193,16598
33,3A2,"ACRU_RM303
Wood_Outer
Lab ID: 9a",100.2,7/25/22,Qespi,,x,,Plate 3,9,A2,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,9a,A2,Plate 3,NA,NA,strict,pmoa,0.090668611,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.813372254,NA,NA,0.433096319,0.003807941,12976,1,12975
34,3A2,"ACRU_RM303
Wood_Outer
Lab ID: 9a",100.2,7/25/22,Qespi,,x,,Plate 3,9,A2,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,9a,A2,Plate 3,,NA,loose,mcra,0.584763288,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,11.69526577,NA,NA,1.095133662,0.264715552,16099,8,16091
35,3A2,"ACRU_RM303
Wood_Outer
Lab ID: 9a",100.2,7/25/22,Qespi,,x,,Plate 3,9,A2,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,9a,A2,Plate 3,NA,NA,loose,pmoa,2.632230997,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,52.64461899,NA,NA,3.715151072,1.783918619,12976,29,12947
36,3A2,"ACRU_RM303
Wood_Outer
Lab ID: 9a",100.2,7/25/22,Qespi,,x,,Plate 3,9,A2,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,9a,A2,Plate 3,,NA,strict,mmox,0,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,NA,NA,0.237698048,0,14830,0,14830
37,3A2,"ACRU_RM303
Wood_Outer
Lab ID: 9a",100.2,7/25/22,Qespi,,x,,Plate 3,9,A2,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,9a,A2,Plate 3,,NA,strict,mcra,0.146163583,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,2.923271656,NA,NA,0.468226016,0.022142613,16099,2,16097
38,3A2,"ACRU_RM303
Wood_Outer
Lab ID: 9a",100.2,7/25/22,Qespi,,x,,Plate 3,9,A2,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,9a,A2,Plate 3,NA,NA,loose,mcra_probe,0.068369642,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.367392778,NA,NA,0.326569259,0.002871445,17208,1,17207
39,3A2,"ACRU_RM303
Wood_Outer
Lab ID: 9a",100.2,7/25/22,Qespi,,x,,Plate 3,9,A2,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,9a,A2,Plate 3,NA,NA,strict,mcra_probe,0,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,NA,NA,0.204847321,0,17208,0,17208
40,3A2,"ACRU_RM303
Wood_Outer
Lab ID: 9a",100.2,7/25/22,Qespi,,x,,Plate 3,9,A2,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,9a,A2,Plate 3,,NA,loose,mmox,0.952350736,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,19.04701424,NA,NA,1.603011489,0.507427633,14830,12,14818
41,3A3,"ACSA_SM1
Wood_Outer
Lab ID: 17a",100.9,7/22/22,Qespi,,x,,Plate 3,17,A3,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,17a,A3,Plate 3,,NA,strict,mmox,0,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,NA,NA,0.312765002,0,11271,0,11271
42,3A3,"ACSA_SM1
Wood_Outer
Lab ID: 17a",100.9,7/22/22,Qespi,,x,,Plate 3,17,A3,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,17a,A3,Plate 3,NA,NA,strict,mcra_probe,0,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,NA,NA,0.188350946,0,18715,0,18715
43,3A3,"ACSA_SM1
Wood_Outer
Lab ID: 17a",100.9,7/22/22,Qespi,,x,,Plate 3,17,A3,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,17a,A3,Plate 3,NA,NA,loose,pmoa,3.087960482,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,61.75920868,NA,NA,4.197347641,2.194205999,14115,37,14078
44,3A3,"ACSA_SM1
Wood_Outer
Lab ID: 17a",100.9,7/22/22,Qespi,,x,,Plate 3,17,A3,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,17a,A3,Plate 3,NA,NA,loose,mcra_probe,0,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,NA,NA,0.188350946,0,18715,0,18715
45,3A3,"ACSA_SM1
Wood_Outer
Lab ID: 17a",100.9,7/22/22,Qespi,,x,,Plate 3,17,A3,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,17a,A3,Plate 3,,NA,strict,mcra,0.127082974,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,2.541659355,NA,NA,0.407095194,0.019252189,18516,2,18514
46,3A3,"ACSA_SM1
Wood_Outer
Lab ID: 17a",100.9,7/22/22,Qespi,,x,,Plate 3,17,A3,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,17a,A3,Plate 3,,NA,loose,mcra,0.635552168,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,12.71104336,NA,NA,1.119691968,0.316398531,18516,10,18506
47,3A3,"ACSA_SM1
Wood_Outer
Lab ID: 17a",100.9,7/22/22,Qespi,,x,,Plate 3,17,A3,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,17a,A3,Plate 3,,NA,loose,mmox,0.83533901,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,16.70677948,NA,NA,1.564552665,0.378126264,11271,8,11263
48,3A3,"ACSA_SM1
Wood_Outer
Lab ID: 17a",100.9,7/22/22,Qespi,,x,,Plate 3,17,A3,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,17a,A3,Plate 3,NA,NA,strict,pmoa,0.250073463,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,5.001469135,NA,NA,0.662894309,0.059345957,14115,3,14112
49,3A4,"ACSA_SM3
Wood_Outer
Lab ID: 25a",101.1,7/22/22,Qespi,,x,,Plate 3,25,A4,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,25a,A4,Plate 3,,NA,strict,mmox,0.24950774,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,4.990154743,NA,NA,0.661394477,0.059211716,14147,3,14144
50,3A4,"ACSA_SM3
Wood_Outer
Lab ID: 25a",101.1,7/22/22,Qespi,,x,,Plate 3,25,A4,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,25a,A4,Plate 3,NA,NA,strict,mcra_probe,0,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,NA,NA,0.199558705,0,17664,0,17664
51,3A4,"ACSA_SM3
Wood_Outer
Lab ID: 25a",101.1,7/22/22,Qespi,,x,,Plate 3,25,A4,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,25a,A4,Plate 3,NA,NA,loose,mcra_probe,0.066604614,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.332092285,NA,NA,0.318137646,0.002797318,17664,1,17663
52,3A4,"ACSA_SM3
Wood_Outer
Lab ID: 25a",101.1,7/22/22,Qespi,,x,,Plate 3,25,A4,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,25a,A4,Plate 3,NA,NA,loose,pmoa,1.499744654,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,29.99489212,NA,NA,2.283450603,0.920064032,14914,19,14895
53,3A4,"ACSA_SM3
Wood_Outer
Lab ID: 25a",101.1,7/22/22,Qespi,,x,,Plate 3,25,A4,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,25a,A4,Plate 3,NA,NA,strict,pmoa,0.631238461,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,12.62476921,NA,NA,1.182191849,0.285751224,14914,8,14906
54,3A4,"ACSA_SM3
Wood_Outer
Lab ID: 25a",101.1,7/22/22,Qespi,,x,,Plate 3,25,A4,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,25a,A4,Plate 3,,NA,loose,mcra,0.191571191,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,3.831423759,NA,NA,0.507795751,0.045463406,18425,3,18422
55,3A4,"ACSA_SM3
Wood_Outer
Lab ID: 25a",101.1,7/22/22,Qespi,,x,,Plate 3,25,A4,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,25a,A4,Plate 3,,NA,strict,mcra,0.063853599,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.277071953,NA,NA,0.304996014,0.002681781,18425,1,18424
56,3A4,"ACSA_SM3
Wood_Outer
Lab ID: 25a",101.1,7/22/22,Qespi,,x,,Plate 3,25,A4,,8/8/22,Cade,8/8/22,ACSA,Outer,Wood,25a,A4,Plate 3,,NA,loose,mmox,1.081582546,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,21.63165092,NA,NA,1.786394238,0.592334509,14147,13,14134
57,3A5,"BEAL_YB10
Wood_Outer
Lab ID: 33a",108,7/21/22,Qespi,,x,,Plate 3,33,A5,,8/8/22,Cade,8/8/22,BEAL,Outer,Wood,33a,A5,Plate 3,NA,NA,strict,mcra_probe,0.133515358,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.670307159,NA,NA,0.427703172,0.020226603,17624,2,17622
58,3A5,"BEAL_YB10
Wood_Outer
Lab ID: 33a",108,7/21/22,Qespi,,x,,Plate 3,33,A5,,8/8/22,Cade,8/8/22,BEAL,Outer,Wood,33a,A5,Plate 3,NA,NA,strict,pmoa,0.166768819,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,3.335376263,NA,NA,0.534243941,0.025263956,14110,2,14108
59,3A5,"BEAL_YB10
Wood_Outer
Lab ID: 33a",108,7/21/22,Qespi,,x,,Plate 3,33,A5,,8/8/22,Cade,8/8/22,BEAL,Outer,Wood,33a,A5,Plate 3,NA,NA,loose,pmoa,0.500377357,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,10.00754738,NA,NA,1.022998571,0.195955783,14110,6,14104
60,3A5,"BEAL_YB10
Wood_Outer
Lab ID: 33a",108,7/21/22,Qespi,,x,,Plate 3,33,A5,,8/8/22,Cade,8/8/22,BEAL,Outer,Wood,33a,A5,Plate 3,,NA,strict,mcra,0.064547256,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.290945053,NA,NA,0.308309644,0.002710914,18227,1,18226
61,3A5,"BEAL_YB10
Wood_Outer
Lab ID: 33a",108,7/21/22,Qespi,,x,,Plate 3,33,A5,,8/8/22,Cade,8/8/22,BEAL,Outer,Wood,33a,A5,Plate 3,,NA,strict,mmox,0.086463869,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.729277372,NA,NA,0.41300872,0.003631355,13607,1,13606
62,3A5,"BEAL_YB10
Wood_Outer
Lab ID: 33a",108,7/21/22,Qespi,,x,,Plate 3,33,A5,,8/8/22,Cade,8/8/22,BEAL,Outer,Wood,33a,A5,Plate 3,NA,NA,loose,mcra_probe,0.868120849,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,17.36241722,NA,NA,1.433745623,0.475450516,17624,13,17611
63,3A5,"BEAL_YB10
Wood_Outer
Lab ID: 33a",108,7/21/22,Qespi,,x,,Plate 3,33,A5,,8/8/22,Cade,8/8/22,BEAL,Outer,Wood,33a,A5,Plate 3,,NA,loose,mcra,0.258210272,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,5.164205551,NA,NA,0.608886003,0.077908985,18227,4,18223
