Date,Personnel,Plot,Tree_ID,Tree_sp,Measurement height,Chamber ID,Temp_stem,Temp_air,DBH,Perimeter,Flux Start Time,Flux End Time,Corrected Start Time,Corrected End Time,HMS_Start,HMS_End,Gas_analyser
210804,JG/LL/WA,Lowland,AB4,FAGR,125,6,20.1,20,37,,170800,171800,170800,171800,17:08:00,17:18:00,LGR3
210804,JG/LL/WA,Lowland,AB4,FAGR,200,6,19.9,20,36,,172300,172800,172300,172800,17:23:00,17:28:00,LGR3
210804,JG/LL/BG,Lowland,WO1,QUAL,50,6,18,18.1,40,,85700,90700,85700,90700,8:57:00,9:07:00,LGR3
210804,JG/LL/BG,Lowland,WO1,QUAL,125,6,18.7,18.1,38,,91300,92300,91300,92300,9:13:00,9:23:00,LGR3
210804,JG/LL/BG,Lowland,WO1,QUAL,200,6,18.2,18.1,36.5,,92600,93600,92600,93600,9:26:00,9:36:00,LGR3
210804,JG/LL/BG,Lowland,BC1,PRSE,50,6,19.4,19.4,,,95400,95400,95400,95400,9:54:00,9:54:00,LGR3
210804,JG/LL/BG,Lowland,BC1,PRSE,125,6,19.7,19.4,,,100700,100700,100700,100700,10:07:00,10:07:00,LGR3
210804,JG/LL/BG,Lowland,BC1,PRSE,200,6,19.8,19.4,,,102200,102200,102200,102200,10:22:00,10:22:00,LGR3
210804,JG/LL/BG,Lowland,RM4,ACRU,50,6,19,19.7,43,,104000,104000,104000,104000,10:40:00,10:40:00,LGR3
210804,JG/LL/BG,Lowland,RM4,ACRU,125,5,19.2,19.7,39,,110800,110800,110800,110800,11:08:00,11:08:00,LGR3
210804,JG/LL/BG,Lowland,RM4,ACRU,200,6,19.3,19.7,38,,112500,112500,112500,112500,11:25:00,11:25:00,LGR3
210804,JG/LL/BG,Lowland,RM5,ACRU,50,3,20,,,,114400,114400,114400,114400,11:44:00,11:44:00,LGR3
210804,JG/LL/BG,Lowland,RM5,ACRU,125,3,20,,,,115200,115200,115200,115200,11:52:00,11:52:00,LGR3
210804,JG/LL/BG,Lowland,RM5,ACRU,200,3,20,,,,115500,Check Time,NA,NA,NA,NA,LGR3
210804,JG/LL/BG,Lowland,RM501,ACRU,50,3,20.3,20.4,24,,141600,142100,141600,142100,14:16:00,14:21:00,LGR3
210804,JG/LL/BG,Lowland,RM501,ACRU,125,3,20.4,20.4,23,,142300,143300,142300,143300,14:23:00,14:33:00,LGR3
210804,JG/LL/BG,Lowland,RM501,ACRU,200,3,20.4,20.4,21,,143400,144400,143400,144400,14:34:00,14:44:00,LGR3
210804,JG/LL/BG,Lowland,AB501,FAGR,50,6,20.1,20.2,33,,145200,150200,145200,150200,14:52:00,15:02:00,LGR3
210804,JG/LL/BG,Lowland,AB501,FAGR,125,6,20.4,20.2,27.5,,150400,151400,150400,151400,15:04:00,15:14:00,LGR3
210804,JG/LL/BG,Lowland,AB501,FAGR,200,6,20.2,20.2,26.5,,151600,152300,151600,152300,15:16:00,15:23:00,LGR3
210804,JG/LL/BG,Lowland,RM502,ACRU,50,3,20.5,20,30.5,,152600,132600,152600,132600,15:26:00,13:26:00,LGR3
210804,JG/LL/BG,Lowland,RM502,ACRU,125,3,20.5,20,25,,154200,155200,154200,155200,15:42:00,15:52:00,LGR3
210804,JG/LL/BG,Lowland,RM502,ACRU,200,3,20.5,20,23,,155300,160300,155300,160300,15:53:00,16:03:00,LGR3
210804,JG/LL/BG,Lowland,RM503,ACRU,50,6,20,20.1,44,,160900,161900,160900,161900,16:09:00,16:19:00,LGR3
210804,JG/LL/BG,Lowland,RM503,ACRU,125,6,20.4,20.1,42,,162200,163000,162200,163000,16:22:00,16:30:00,LGR3
210804,JG/LL/BG,Lowland,RM503,ACRU,200,6,20,20.1,42,,163200,163200,163200,163200,16:32:00,16:32:00,LGR3
210804,JG/LL/BG,Lowland,OB501,BEPA,50,6,20,19.3,35,,170500,171600,1705,171600,17:05:05,17:16:00,LGR3
210804,JG/LL/BG,Lowland,OB501,BEPA,125,6,19.9,19.3,34.5,,171700,172700,171700,172700,17:17:00,17:27:00,LGR3
210804,JG/LL/BG,Lowland,OB501,BEPA,200,6,20.1,19.3,32,,173000,174000,173000,174000,17:30:00,17:40:00,LGR3
210803,JG/LL/AP,Ridge,AB9,FAGR,50,4,19.9,21,23,,123900,124400,123900,124400,12:39:00,12:44:00,LGR3
210803,JG/LL/AP,Ridge,AB9,FAGR,125,4,20.1,21,21,,124800,130100,124800,130100,12:48:00,13:01:00,LGR3
210803,JG/LL/AP,Ridge,AB9,FAGR,200,4,20,21,20,,130300,131300,130300,131300,13:03:00,13:13:00,LGR3
210803,JG/LL/AP,Ridge,WP401,PIST,50,6,19,17.6,52,,90800,91400,90800,91400,9:08:00,9:14:00,LGR3
210803,JG/LL/AP,Ridge,WP401,PIST,125,6,19,17.7,48,,91700,92200,91700,92200,9:17:00,9:22:00,LGR3
210803,JG/LL/AP,Ridge,WP401,PIST,200,6,18.8,17.8,46,,92300,92800,92300,92800,9:23:00,9:28:00,LGR3
210803,JG/LL/AP,Ridge,AB11,FAGR,50,6,18.3,18.5,31.5,,93500,94500,93500,94500,9:35:00,9:45:00,LGR3
210803,JG/LL/AP,Ridge,AB11,FAGR,125,6,17.9,18.6,26,,94800,95600,94800,95600,9:48:00,9:56:00,LGR3
210803,JG/LL/AP,Ridge,AB11,FAGR,200,6,18.3,18.7,25,,95700,100700,95700,100700,9:57:00,10:07:00,LGR3
210803,JG/LL/AP,Ridge,WP402,PIST,50,6,19.1,19.6,49,,102200,103200,102200,103200,10:22:00,10:32:00,LGR3
210803,JG/LL/AP,Ridge,WP402,PIST,125,6,19.6,19.7,47,,103400,103900,103400,103900,10:34:00,10:39:00,LGR3
210803,JG/LL/AP,Ridge,WP402,PIST,200,6,19.5,19.8,44.5,,104100,105000,104100,105000,10:41:00,10:50:00,LGR3
210803,JG/LL/AP,Ridge,WB403,PIST,50,6,20.3,20.5,59,,111400,112100,111400,112100,11:14:00,11:21:00,LGR3
210803,JG/LL/AP,Ridge,WB403,PIST,125,6,20.1,20.5,54.5,,112500,112900,112500,112900,11:25:00,11:29:00,LGR3
210803,JG/LL/AP,Ridge,WB403,PIST,200,6,20.1,20.5,54,,113100,114100,113100,114100,11:31:00,11:41:00,LGR3
210803,JG/LL/AP,Ridge,AB10,FAGR,50,3,19.5,20.4,,,121200,121700,121200,121700,12:12:00,12:17:00,LGR3
210803,JG/LL/AP,Ridge,AB10,FAGR,125,3,19.5,20.4,,,121500,122200,121500,122200,12:15:00,12:22:00,LGR3
210803,JG/LL/AP,Ridge,AB10,FAGR,200,3,19.5,20.4,,,122500,123500,122500,123500,12:25:00,12:35:00,LGR3
210803,JG/LL/AP,Lowland,RM1,ACRU,50,6,18.8,20,42,,141000,141500,141000,141500,14:10:00,14:15:00,LGR3
210803,JG/LL/AP,Lowland,RM1,ACRU,125,6,20.3,20,38.5,,141900,142500,141900,142500,14:19:00,14:25:00,LGR3
210803,JG/LL/AP,Lowland,RM1,ACRU,200,6,20,20,36.5,,142900,123400,142900,123400,14:29:00,12:34:00,LGR3
210803,JG/LL/AP,Lowland,RM2,ACRU,50,6,19.6,20.1,41,,144100,144600,144100,144600,14:41:00,14:46:00,LGR3
210803,JG/LL/AP,Lowland,RM2,ACRU,125,6,20.3,20.1,37,,145100,145600,145100,145600,14:51:00,14:56:00,LGR3
210803,JG/LL/AP,Lowland,RM2,ACRU,200,6,20.4,20.1,36.5,,145900,,145900,150100,14:59:00,15:01:00,LGR3
210803,JG/LL/AP,Lowland,YB15,BEAL,50,6,19.5,20,27,,153500,153800,153600,153800,15:36:00,15:38:00,LGR3
210803,JG/LL/AP,Lowland,YB15,BEAL,125,6,20.5,20,24.5,,153900,154600,153900,154600,15:39:00,15:46:00,LGR3
210803,JG/LL/AP,Lowland,YB15,BEAL,200,6,20.6,20,23.5,,154800,155800,154800,155800,15:48:00,15:58:00,LGR3
210803,JG/LL/AP,Lowland,YB14,BEAL,50,3,19.4,20.2,25,,161700,162700,161700,162700,16:17:00,16:27:00,LGR3
210803,JG/LL/AP,Lowland,YB14,BEAL,125,3,20.5,20.2,22,,163300,163900,163300,163900,16:33:00,16:39:00,LGR3
210803,JG/LL/AP,Lowland,YB14,BEAL,200,3,20.9,20.2,20.5,,164100,165100,164100,165100,16:41:00,16:51:00,LGR3
210803,JG/LL/AP,Lowland,YB11,BEAL,50,3,20.5,20.3,24,,171300,171800,171300,171800,17:13:00,17:18:00,LGR3
210803,JG/LL/AP,Lowland,YB11,BEAL,125,3,20.8,20.3,21,,171900,172400,171900,172400,17:19:00,17:24:00,LGR3
210803,JG/LL/AP,Lowland,YB11,BEAL,200,3,20.9,20.3,21,,172500,173000,172500,173000,17:25:00,17:30:00,LGR3
210803,JG/LL/AP,Lowland,YB11prime,BEAL,50,3,19.6,20,23,,174100,175400,174100,175400,17:41:00,17:54:00,LGR3
210803,JG/LL/AP,Lowland,YB11prime,BEAL,125,3,20.1,20,21,,175900,180400,175900,180400,17:59:00,18:04:00,LGR3
210803,JG/LL/AP,Lowland,YB11prime,BEAL,200,3,20.1,20,20.5,,180600,180900,180600,180900,18:06:00,18:09:00,LGR3
210803,JG/LL/AP,Lowland,YB12,BEAL,50,3,19.2,19.6,Fused,,181900,182200,181900,182200,18:19:00,18:22:00,LGR3
210803,JG/LL/AP,Lowland,YB12,BEAL,125,3,20.5,19.6,25,,181000,181500,181000,181500,18:10:00,18:15:00,LGR3
210803,JG/LL/AP,Lowland,YB12,BEAL,200,3,20.3,19.6,23.5,,182300,182700,182300,182700,18:23:00,18:27:00,LGR3
210803,JG/LL/AP,Lowland,YB13,BEAL,50,3,19.6,19.3,Fused,,182800,183200,182800,183200,18:28:00,18:32:00,LGR3
210803,JG/LL/AP,Lowland,YB13,BEAL,125,3,20.1,19.3,23,,183400,183800,183400,183800,18:34:00,18:38:00,LGR3
210803,JG/LL/AP,Lowland,YB13,BEAL,200,3,20.1,19.3,22.5,,184100,184500,184100,184500,18:41:00,18:45:00,LGR3
210802,JG/LL/TM,Ridge,RM301,ACRU,50,3,20.7,21.6,22.25,,133500,134500,133500,134500,13:35:00,13:45:00,LGR3
210802,JG/LL/TM,Ridge,RM301,ACRU,125,3,21.2,21.6,21.75,,134700,135700,134700,135700,13:47:00,13:57:00,LGR3
210802,JG/LL/TM,Ridge,RM301,ACRU,200,3,21.7,21.6,21,,135800,140800,135800,140800,13:58:00,14:08:00,LGR3
210802,JG/LL/TM,Ridge,RM302,ACRU,50,6,24.9,22.2,32,,141700,142700,141700,142700,14:17:00,14:27:00,LGR3
210802,JG/LL/TM,Ridge,RM302,ACRU,125,6,24.5,22.2,28.75,,142900,143400,142900,143400,14:29:00,14:34:00,LGR3
210802,JG/LL/TM,Ridge,RM302,ACRU,200,6,23.1,22.2,27.2,,143600,144300,143600,144300,14:36:00,14:43:00,LGR3
210802,JG/LL/TM,Ridge,MLGP,KALA,50,,21.5,22.5,7.25,,144500,Check Time,NA,NA,NA,NA,LGR3
210802,JG/LL/TM,Ridge,MLGP,KALA,125,,22.4,,6.5,,145000,Check Time,NA,NA,NA,NA,LGR3
210802,JG/LL/TM,Ridge,MLGP,KALA,200,,,,,,145500,Check Time,NA,NA,NA,NA,LGR3
210802,JG/LL/TM,Ridge,RM303,ACRU,50,3,23,23,26,,154300,155300,154300,155300,15:43:00,15:53:00,LGR3
210802,JG/LL/TM,Ridge,RM303,ACRU,125,3,23,23,24.5,,155600,160600,155600,160600,15:56:00,16:06:00,LGR3
210802,JG/LL/TM,Ridge,RM303,ACRU,200,3,23,23,23.5,,161300,162300,161300,162300,16:13:00,16:23:00,LGR3
210802,JG/LL/TM,Ridge,RM304,ACRU,50,3,23.3,22.9,22.1,,163400,163900,163400,163900,16:34:00,16:39:00,LGR3
210802,JG/LL/TM,Ridge,RM304,ACRU,125,3,23.2,22.9,22.6,,164300,164800,164300,164800,16:43:00,16:48:00,LGR3
210802,JG/LL/TM,Ridge,RM304,ACRU,200,3,23.1,22.9,22.6,,165000,165600,165000,165600,16:50:00,16:56:00,LGR3
210802,JG/LL/TM,Ridge,H301,TSCA,50,6,21.4,22.6,34,,170400,171000,170400,171000,17:04:00,17:10:00,LGR3
210802,JG/LL/TM,Ridge,H301,TSCA,125,6,21.6,22.6,32,,171300,172000,171300,172000,17:13:00,17:20:00,LGR3
210802,JG/LL/TM,Ridge,H301,TSCA,200,6,21.3,22.6,31,,172200,,172200,172400,17:22:00,17:24:00,LGR3
210721,JG/BG/JR,Ridge,BB9,BELE,50,6,21.1,22.1,,41.0d,152600,153600,152600,153600,15:26:00,15:36:00,LGR3
210721,JG/BG/JR,Ridge,BB9,BELE,125,6,21.3,22.1,,35.0d,154900,154900,154900,154900,15:49:00,15:49:00,LGR3
210721,JG/BG/JR,Ridge,BB9,BELE,200,6,21.4,22.1,,32.5d,155600,160600,155600,160600,15:56:00,16:06:00,LGR3
210721,JG/BG/JR,Ridge,BB10,BELE,50,6,21.1,21.6,,31.0d,163000,164000,163000,164000,16:30:00,16:40:00,LGR3
210721,JG/BG/JR,Ridge,BB10,BELE,125,6,21.2,21.6,,28.0d,164100,165100,164100,165100,16:41:00,16:51:00,LGR3
210721,JG/BG/JR,Ridge,BB10,BELE,200,6,21.6,21.6,,28.0d,165700,170700,165700,170700,16:57:00,17:07:00,LGR3
210721,JG/BG/JR,Ridge,BB10prime,BELE,50,6,20.6,22.3,,32.9d,170930,171930,170930,171930,17:09:30,17:19:30,LGR3
210721,JG/BG/JR,Ridge,BB10prime,BELE,125,6,21.8,22.3,,29.0d,172045,173045,172045,173045,17:20:45,17:30:45,LGR3
210721,JG/BG/JR,Ridge,BB10prime,BELE,200,6,21.7,22.3,,27.5d,173300,,173300,173500,17:33:00,17:35:00,LGR3
210722,JG/WA/TM,Ridge,BB16prime,BELE,50,6,21,21.4,,,143200,144200,143200,144200,14:32:00,14:42:00,LGR3
210722,JG/WA/TM,Ridge,BB16prime,BELE,125,6,21.1,22.3,,,144500,145500,144500,145500,14:45:00,14:55:00,LGR3
210722,JG/WA/TM,Ridge,BB16prime,BELE,200,6,21.2,22.3,,,150100,151100,150100,151100,15:01:00,15:11:00,LGR3
210722,JG/WA/TM,Ridge,WP101,PIST,50,6,22.1,22.3,37.5,,154000,155000,154000,155000,15:40:00,15:50:00,LGR3
210722,JG/WA/TM,Ridge,WP101,PIST,125,6,22.2,22.4,35,,155400,160400,155400,160400,15:54:00,16:04:00,LGR3
210722,JG/WA/TM,Ridge,WP101,PIST,200,6,22.2,22,33,,160800,161800,160800,161800,16:08:00,16:18:00,LGR3
210722,JG/WA/TM,Ridge,WP102,PIST,50,6,22.1,21.8,24,,163300,164300,163300,164300,16:33:00,16:43:00,LGR3
210722,JG/WA/TM,Ridge,WP102,PIST,125,6,22,21.7,23.5,,164400,165400,164400,165400,16:44:00,16:54:00,LGR3
210722,JG/WA/TM,Ridge,WP102,PIST,200,6,22,21.6,22.5,,170300,171300,170300,171300,17:03:00,17:13:00,LGR3
210722,JG/WA/TM,Ridge,WP103,PIST,50,6,21.5,21.5,50,,172300,173300,172300,173300,17:23:00,17:33:00,LGR3
210722,JG/WA/TM,Ridge,WP103,PIST,125,6,21.5,22.1,46,,173800,174800,173800,174800,17:38:00,17:48:00,LGR3
210722,JG/WA/TM,Ridge,WP103,PIST,200,6,21.5,22.1,44,,175100,,175100,175300,17:51:00,17:53:00,LGR3
210722,JG/WA/TM,Ridge,BB11,BELE,50,6,18.6,19.3,,34,94000,95000,94000,95000,9:40:00,9:50:00,LGR3
210722,JG/WA/TM,Ridge,BB11,BELE,125,6,18.9,19.3,,32,95300,100300,95300,100300,9:53:00,10:03:00,LGR3
210722,JG/WA/TM,Ridge,BB11,BELE,200,6,19.1,19.3,,29.5,101700,102700,101700,102700,10:17:00,10:27:00,LGR3
210722,JG/WA/TM,Ridge,BB12,BELE,50,6,19.8,19.3,,29,105000,110000,105000,110000,10:50:00,11:00:00,LGR3
210722,JG/WA/TM,Ridge,BB12,BELE,125,6,20.1,20.5,,26.5,110800,111800,110800,111800,11:08:00,11:18:00,LGR3
210722,JG/WA/TM,Ridge,BB12,BELE,200,6,20.1,20.4,,25.5,112200,113200,112200,113200,11:22:00,11:32:00,LGR3
210722,JG/WA/TM,Ridge,BB13,BELE,50,6,19.8,20.8,,38.5,113800,114800,113800,114800,11:38:00,11:48:00,LGR3
210722,JG/WA/TM,Ridge,BB13,BELE,125,6,20.1,20.8,,30,115100,120100,115100,120100,11:51:00,12:01:00,LGR3
210722,JG/WA/TM,Ridge,BB13,BELE,200,6,20.4,21.8,,29,120500,121500,120500,121500,12:05:00,12:15:00,LGR3
210722,JG/WA/TM,Ridge,BB14,BELE,50,,21.2,22.6,,25,122200,123200,122200,123200,12:22:00,12:32:00,LGR3
210722,JG/WA/TM,Ridge,BB14,BELE,125,,21.4,22.9,,24,123600,124600,123600,124600,12:36:00,12:46:00,LGR3
210722,JG/WA/TM,Ridge,BB14,BELE,200,,21.3,22.4,,23,125600,130600,125600,130600,12:56:00,13:06:00,LGR3
210722,JG/WA/TM,Ridge,BB16,BELE,50,,21.3,23.3,,33.5,135200,140200,135200,140200,13:52:00,14:02:00,LGR3
210722,JG/WA/TM,Ridge,BB16,BELE,125,,21.3,22.9,,32.5,140600,141600,140600,141600,14:06:00,14:16:00,LGR3
210722,JG/WA/TM,Ridge,BB16,BELE,200,,22.1,23,,28,141900,142900,141900,142900,14:19:00,14:29:00,LGR3
210723,JG/WA/TM,Ridge,RM105,QURU,50,6,21.7,23.3,49,,133700,134700,133700,134700,13:37:00,13:47:00,LGR3
210723,JG/WA/TM,Ridge,RM105,QURU,125,6,22.8,23.9,42.5,,135000,140000,135000,140000,13:50:00,14:00:00,LGR3
210723,JG/WA/TM,Ridge,RM105,QURU,200,6,22.2,23.4,41,,140200,141200,140200,141200,14:02:00,14:12:00,LGR3
210723,JG/WA/TM,Ridge,H104,TSCA,50,3,21.9,23.4,25,,143700,,143700,143900,14:37:00,14:39:00,LGR3
210723,JG/WA/TM,Ridge,H104,TSCA,125,3,23,23.5,24,,143100,143600,143100,143600,14:31:00,14:36:00,LGR3
210723,JG/WA/TM,Ridge,H104,TSCA,200,3,23.2,23.8,22.5,,145300,150300,145300,150300,14:53:00,15:03:00,LGR3
210723,JG/WA/TM,Ridge,H102,TSCA,50,3,22.6,24,32,,150730,151500,150730,151500,15:07:30,15:15:00,LGR3
210723,JG/WA/TM,Ridge,H102,TSCA,125,3,24.2,24,29,,151600,152400,151600,152400,15:16:00,15:24:00,LGR3
210723,JG/WA/TM,Ridge,H102,TSCA,200,3,24.5,23.9,28,,152500,153500,152500,153500,15:25:00,15:35:00,LGR3
210723,JG/WA/TM,Ridge,RO104,QURU,50,3,22.2,25,28.5,,155300,160300,155300,160300,15:53:00,16:03:00,LGR3
210723,JG/WA/TM,Ridge,RO104,QURU,125,3,23.1,24.5,27,,161000,162000,161000,162000,16:10:00,16:20:00,LGR3
210723,JG/WA/TM,Ridge,RO104,QURU,200,3,23.2,24.3,26.5,,162200,,162200,162400,16:22:00,16:24:00,LGR3
210723,JG/WA/TM,Ridge,RO103,QURU,50,6,21,22.4,38,,164945,,164945,165145,16:49:45,16:51:45,LGR3
210723,JG/WA/TM,Ridge,RO103,QURU,125,6,21.6,22.4,35,,170500,,170500,170700,17:05:00,17:07:00,LGR3
210723,JG/WA/TM,Ridge,RO103,QURU,200,6,21.8,22.4,34,,171700,,171700,171900,17:17:00,17:19:00,LGR3
210723,JG/WA/TM,Ridge,RO101,QURU,50,6,19.7,20.2,48,,90000,90500,90000,90500,9:00:00,9:05:00,LGR3
210723,JG/WA/TM,Ridge,RO101,QURU,125,6,20,20.5,42,,90630,91130,90630,91130,9:06:30,9:11:30,LGR3
210723,JG/WA/TM,Ridge,RO101,QURU,200,6,20.2,20.8,39,,91300,91800,91300,91800,9:13:00,9:18:00,LGR3
210723,JG/WA/TM,Ridge,H103,TSCA,50,6,19.3,20.2,77.5,,92800,93300,92800,93300,9:28:00,9:33:00,LGR3
210723,JG/WA/TM,Ridge,H103,TSCA,125,6,19.5,20.2,76.5,,93400,94300,93400,94300,9:34:00,9:43:00,LGR3
210723,JG/WA/TM,Ridge,H103,TSCA,200,6,19.7,20.2,65,,95300,95300,95300,95300,9:53:00,9:53:00,LGR3
210723,JG/WA/TM,Ridge,H101,TSCA,50,3,20.8,21.6,26,,102300,103200,102300,103200,10:23:00,10:32:00,LGR3
