,✴✴✴TARGET MASS FOR WOOD: 100 mg✴✴✴,,,,,,,,,,,,
"ACSA_SM9
Wood_Outer
Lab ID: 30a",101.7,7/23/2022,Qespi,,x,,Plate 3,30,F4,,8/8/2022,Cade,8/8/2022
"ACSA _SM4
Wood_Outer
Lab ID: 31a",110.2,7/22/2022,Qespi,,x,,Plate 3,31,G4,,8/8/2022,Cade,8/8/2022
"BEAL_CUL8R
Wood_Outer
Lab ID: 32a",106,7/21/2022,Qespi,,x,,Plate 3,32,H4,,8/8/2022,Cade,8/8/2022
"BEAL_YB10
Wood_Outer
Lab ID: 33a",108,7/21/2022,Qespi,,x,,Plate 3,33,A5,,8/8/2022,Cade,8/8/2022
"BEAL_YB11
Wood_Outer
Lab ID: 34a",100.3,7/25/2022,Qespi,,x,,Plate 3,34,B5,,8/8/2022,Cade,8/8/2022
"BEAL_YB11'
Wood_Outer
Lab ID: 35a",100.8,7/22/2022,Qespi,,x,,Plate 3,35,C5,,8/8/2022,Cade,8/8/2022
"BEAL_YB12
Wood_Outer
Lab ID: 36a",101.7,7/22/2022,Qespi,,x,,Plate 3,36,D5,,8/8/2022,Cade,8/8/2022
"BEAL_YB13
Wood_Outer
Lab ID: 37a",104.7,7/22/2022,Qespi,,x,,Plate 3,37,E5,,8/8/2022,Cade,8/8/2022
"BEAL_YB14
Wood_Outer
Lab ID: 38a",100.2,7/22/2022,Qespi,,x,,Plate 3,38,F5,,8/8/2022,Cade,8/8/2022
"BEAL_YB15
Wood_Outer
Lab ID: 39a",101.3,7/21/2022,Qespi,,x,,Plate 3,39,G5,,8/8/2022,Cade,8/8/2022
"BEAL_YB2
Wood_Outer
Lab ID: 40a",108.2,7/21/2022,Qespi,,x,,Plate 3,40,H5,,8/8/2022,Cade,8/8/2022
"BEAL_YB3
Wood_Outer
Lab ID: 41a",104.3,8/10/2022,Qespi,,x,,Plate 6,41,A6,,8/8/2022,Cade,8/8/2022
"BEAL_YB4
Wood_Outer
Lab ID: 42a",105.8,8/10/2022,Qespi,,x,,Plate 6,42,B6,,8/8/2022,Cade,8/8/2022
"BEAL_YB5
Wood_Outer
Lab ID: 43a",99,8/10/2022,Qespi,,x,,Plate 6,43,C6,,8/8/2022,Cade,8/8/2022
"BEAL_YB9
Wood_Outer
Lab ID: 44a",100.4,8/10/2022,Qespi,,x,,Plate 6,44,D6,,8/8/2022,Cade,8/8/2022
"BEAL_YB9
Wood_Outer
Lab ID: 45a",,,,,x,"This sample is not counting, because we accidentally sectioned  44a  twice.",Plate 6,45,E6,Yes,8/8/2022,Cade,8/8/2022
"BEAL_YBYB
Wood_Outer
Lab ID: 46a",102.7,8/10/2022,Qespi,,x,,Plate 6,46,F6,,8/8/2022,Cade,8/8/2022
"BELE_BB1
Wood_Outer
Lab ID: 47a",101,8/10/2022,Qespi,,x,,Plate 6,47,G6,,8/8/2022,Cade,8/8/2022
"BELE_BB10
Wood_Outer
Lab ID: 48a",99.9,8/10/2022,Qespi,,x,,Plate 6,48,H6,,8/8/2022,Cade,8/8/2022
"BELE_BB10'
Wood_Outer
Lab ID: 49a",102.6,8/10/2022,Qespi,,x,,Plate 6,49,A7,,8/8/2022,Cade,8/8/2022
"BELE_BB11
Wood_Outer
Lab ID: 50a",100,8/10/2022,Qespi,,x,,Plate 6,50,B7,,8/8/2022,Cade,8/8/2022
"BELE_BB12
Wood_Outer
Lab ID: 51a",102.5,8/10/2022,Qespi,,x,,Plate 6,51,C7,,8/8/2022,Cade,8/8/2022
"BELE_BB13
Wood_Outer
Lab ID: 52a",100,8/10/2022,Qespi,,x,,Plate 6,52,D7,,8/8/2022,Cade,8/8/2022
"BELE_BB14
Wood_Outer
Lab ID: 53a",101.2,8/10/2022,Qespi,,x,,Plate 6,53,E7,,8/8/2022,Cade,8/8/2022
"BELE_BB16
Wood_Outer
Lab ID: 54a",100.5,8/10/2022,Qespi,,x,,Plate 6,54,F7,,8/8/2022,Cade,8/8/2022
"BELE_BB16'
Wood_Outer
Lab ID: 55a",99.5,8/10/2022,Qespi,,x,,Plate 6,55,G7,,8/8/2022,Cade,8/8/2022
"BELE_BB3
Wood_Outer
Lab ID: 56a",100,8/10/2022,Qespi,,x,,Plate 6,56,H7,,8/8/2022,Cade,8/8/2022
"BELE_BB5
Wood_Outer
Lab ID: 57a",101.6,7/25/2022,Qespi,,x,,Plate 3,57,A8,,8/8/2022,Cade,8/8/2022
"BELE_BB6
Wood_Outer
Lab ID: 58a",106.3,7/25/2022,Qespi,,x,,Plate 3,58,B8,,8/8/2022,Cade,8/8/2022
"BELE_BB7
Wood_Outer
Lab ID: 59a",102.6,7/25/2022,Qespi,,x,,Plate 3,59,C8,,8/8/2022,Cade,8/8/2022
"BELE_BB8
Wood_Outer
Lab ID: 60a",100.7,7/25/2022,Qespi,,x,,Plate 3,60,D8,,8/8/2022,Cade,8/8/2022
"BELE_BB9
Wood_Outer
Lab ID: 61a",101,7/27/2022,Qespi + Jon,,x,,Plate 3,61,E8,,8/8/2022,Cade,8/8/2022
"BELE_BBGT1
Wood_Outer
Lab ID: 62a",100,7/25/2022,Qespi,,x,,Plate 3,62,F8,,8/8/2022,Cade,8/8/2022
"BELE_BBX1
Wood_Outer
Lab ID: 63a",101.8,7/25/2022,Qespi,,x,,Plate 3,63,G8,,8/8/2022,Cade,8/8/2022
"BELE_BBX6
Wood_Outer
Lab ID: 64a",101.7,7/25/2022,Qespi,,x,,Plate 3,64,H8,,8/8/2022,Cade,8/8/2022
"BELE_BBX7
Wood_Outer
Lab ID: 65a",100.4,7/27/2022,Qespi + Jon,,x,,Plate 3,65,A9,,8/8/2022,Cade,8/8/2022
"BEPA_PB1
Wood_Outer
Lab ID: 66a",100.8,7/26/2022,Qespi,,x,,Plate 3,66,B9,,8/8/2022,Cade,8/8/2022
"BEPA_PB2
Wood_Outer
Lab ID: 67a",104.8,7/26/2022,Qespi,,x,,Plate 3,67,C9,,8/8/2022,Cade,8/8/2022
"BEPA_PB3
Wood_Outer
Lab ID: 68a",100.4,7/26/2022,Qespi ,,x,,Plate 3,68,D9,,8/8/2022,Cade,8/8/2022
"BEPA_PB4
Wood_Outer
Lab ID: 69a",102.2,7/26/2022,Qespi ,,x,,Plate 3,69,E9,,8/8/2022,Cade,8/8/2022
"BEPA_PB5
Wood_Outer
Lab ID: 70a",107.2,7/26/2022,Qespi,,x,,Plate 3,70,F9,,8/8/2022,Cade,8/8/2022
"BEPA_PB501
Wood_Outer
Lab ID: 71a",104.6,7/25/2022,Qespi,,x,,Plate 3,71,G9,,8/8/2022,Cade,8/8/2022
"CAOV_SH1
Wood_Outer
Lab ID: 72a",100,7/22/2022,Qespi,,x,,Plate 3,72,H9,,8/8/2022,Cade,8/8/2022
"FAGR_AB1
Wood_Outer
Lab ID: 73a",104.6,7/20/2022,Qespi,,x,,Plate 3,73,A10,,8/8/2022,Cade,8/8/2022
"FAGR_AB10
Wood_Outer
Lab ID: 74a",108,7/20/2022,Qespi,,x,,Plate 3,74,B10,,8/8/2022,Cade,8/8/2022
"FAGR_AB11
Wood_Outer
Lab ID: 75a",102.1,7/20/2022,Qespi,,x,,Plate 3,75,C10,,8/8/2022,Cade,8/8/2022
"FAGR_AB2
Wood_Outer
Lab ID: 76a",102.3,7/20/2022,Qespi,,x,,Plate 3,76,D10,,8/8/2022,Cade,8/8/2022
"FAGR_AB3
Wood_Outer
Lab ID: 77a",106.8,7/20/2022,Qespi,,x,,Plate 3,77,E10,,8/8/2022,Cade,8/8/2022
"FAGR_AB3/5
Wood_Outer
Lab ID: 78a",114,7/20/2022,Qespi,,x,,Plate 3,78,F10,,8/8/2022,Cade,8/8/2022
"FAGR_AB4
Wood_Outer
Lab ID: 79a",106.3,7/20/2022,Qespi,,x,,Plate 3,79,G10,,8/8/2022,Cade,8/8/2022
"FAGR_AB4/6
Wood_Outer
Lab ID: 80a",118.9,7/20/2022,Qespi,,x,,Plate 3,80,H10,,8/8/2022,Cade,8/8/2022
"FAGR_AB5
Wood_Outer
Lab ID: 81a",105.2,7/20/2022,Qespi,,x,,Plate 3,81,A11,,8/8/2022,Cade,8/8/2022
"FAGR_AB501
Wood_Outer
Lab ID: 82a",103.6,7/20/2022,Qespi,,x,,Plate 3,82,B11,,8/8/2022,Cade,8/8/2022
"FAGR_AB6
Wood_Outer
Lab ID: 83a",111.8,7/20/2022,Qespi,,x,,Plate 3,83,C11,,8/8/2022,Cade,8/8/2022
"FAGR_AB6'
Wood_Outer
Lab ID: 84a",101,7/20/2022,Qespi,,x,,Plate 3,84,D11,,8/8/2022,Cade,8/8/2022
"FAGR_AB9
Wood_Outer
Lab ID: 85a",103.9,7/20/2022,Qespi,,x,,Plate 3,85,E11,,8/8/2022,Cade,8/8/2022
"FAGR_ABT14P
Wood_Outer
Lab ID: 86a",122.9,7/20/2022,Qespi,,x,,Plate 3,86,F11,,8/8/2022,Cade,8/8/2022
"FRAM_WA1
Wood_Outer
Lab ID: 87a",119.9,7/21/2022,Cade,,x,,Plate 3,87,G11,,8/8/2022,Cade,8/8/2022
"FRAM_WA10
Wood_Outer
Lab ID: 88a",104.9,7/20/2022,Qespi,,x,,Plate 3,88,H11,,8/8/2022,Cade,8/8/2022
"FRAM_WA101
Wood_Outer
Lab ID: 89a",100.3,7/21/2022,cade,,x,,Plate 3,89,A12,,8/8/2022,Cade,8/8/2022
"FRAM_WA102
Wood_Outer
Lab ID: 90a",100,7/20/2022,Qespi,,x,,Plate 3,90,B12,,8/8/2022,Cade,8/8/2022
"FRAM_WA102
Wood_Outer
Lab ID: 91a",106.2,7/27/2022,Qespi + Jon,Reweighed because sample sat on counter for multiple days,x,,Plate 3,91,C12,,8/8/2022,Cade,8/8/2022
"FRAM_WA103
Wood_Outer
Lab ID: 92a",102.2,7/20/2022,Qespi,,x,,Plate 3,92,D12,,8/8/2022,Cade,8/8/2022
"FRAM_WA103*
Wood_Outer
Lab ID: 93a",101.3,7/20/2022,Qespi,,x,,Plate 3,93,E12,,8/8/2022,Cade,8/8/2022
"FRAM_WA104
Wood_Outer
Lab ID: 94a",100.3,7/20/2022,Qespi,,x,,Plate 3,94,F12,,8/8/2022,Cade,8/8/2022
"FRAM_WA12
Wood_Outer
Lab ID: 95a",101.3,7/20/2022,Qespi,,x,,Plate 3,95,G12,,8/8/2022,Cade,8/8/2022
"FRAM_WA14
Wood_Outer
Lab ID: 96a",105.1,7/21/2022,Cade,100.5,x,Sample duplicated-- what's going on here?,Plate 3,96,H12,,8/8/2022,Cade,8/8/2022
"FRAM_WA14
Wood_Outer
Lab ID: 97a",106,7/21/2022,Cade,,x,,Plate 4,1,A1,,,,
"FRAM_WA15
Wood_Outer
Lab ID: 98a",102.5,7/21/2022,Cade,,x,,Plate 4,2,B1,,,,
"FRAM_WA5
Wood_Outer
Lab ID: 99a",104.4,7/21/2022,Cade,,x,,Plate 4,3,C1,,,,
"FRAM_WAX1
Wood_Outer
Lab ID: 100a",111.2,7/22/2022,Qespi,,x,,Plate 4,4,D1,,,,
"KALA_ML2
Wood_Outer
Lab ID: 101a",100.1,7/26/2022,Qespi,,x,,Plate 4,5,E1,,,,
"KALA_MLGP
Wood_Outer
Lab ID: 102a",100.2,7/26/2022,Qespi,,x,,Plate 4,6,F1,,,,
"PIST_WP101
Wood_Outer
Lab ID: 103a",101.1,7/21/2022,Qespi,,x,,Plate 4,7,G1,,,,
"PIST_WP102
Wood_Outer
Lab ID: 104a",100,7/21/2022,Qespi,,x,,Plate 4,8,H1,,,,
"PIST_WP103
Wood_Outer
Lab ID: 105a",102.3,7/21/2022,Qespi,,x,,Plate 4,9,A2,,,,
"PIST_WP2
Wood_Outer
Lab ID: 106a",100.2,7/21/2022,Qespi,,x,,Plate 4,10,B2,,,,
"PIST_WP3
Wood_Outer
Lab ID: 107a",100.7,7/21/2022,Qespi,,x,,Plate 4,11,C2,,,,
"PIST_WP4
Wood_Outer
Lab ID: 108a",101.7,7/21/2022,Qespi,,x,,Plate 4,12,D2,,,,
"PIST_WP401
Wood_Outer
Lab ID: 109a",104.2,7/21/2022,Qespi,,x,,Plate 4,13,E2,,,,
"PIST_WP402
Wood_Outer
Lab ID: 110a",105.9,7/21/2022,Qespi,,x,,Plate 4,14,F2,,,,
"PIST_WP403
Wood_Outer
Lab ID: 111a",101.1,7/21/2022,Qespi,,x,,Plate 4,15,G2,,,,
"PIST_WP5
Wood_Outer
Lab ID: 112a",109.7,7/21/2022,Qespi,,x,,Plate 4,16,H2,,,,
"PIST_WP6
Wood_Outer
Lab ID: 113a",102.4,7/21/2022,Qespi,,x,,Plate 4,17,A3,,,,
"PIST_WP7
Wood_Outer
Lab ID: 114a",100.9,7/21/2022,Qespi,,x,,Plate 4,18,B3,,,,
"PIST_WP8
Wood_Outer
Lab ID: 115a",103.7,7/21/2022,Qespi,,x,,Plate 4,19,C3,,,,
"PIST_WP9
Wood_Outer
Lab ID: 116a",100.2,7/21/2022,Qespi,,x,,Plate 4,20,D3,,,,
"PIST_WPBERENICE
Wood_Outer
Lab ID: 117a",100.3,7/21/2022,Qespi,,x,,Plate 4,21,E3,,,,
"PIST_WPX2
Wood_Outer
Lab ID: 118a",,,,,,Sample missing,Plate 4,22,F3,Yes,,,
"PIST_WPX22
Wood_Outer
Lab ID: 119a",108,7/21/2022,Qespi,,x,,Plate 4,23,G3,,,,
"PIST_WPX5
Wood_Outer
Lab ID: 120a",100.5,7/21/2022,Qespi,,x,,Plate 4,24,H3,,,,
"PIST_WPX7
Wood_Outer
Lab ID: 121a",104.7,7/21/2022,Qespi,,x,,Plate 4,25,A4,,,,
"PRSE_BC1
Wood_Outer
Lab ID: 122a",103.4,7/22/2022,Qespi,,x,,Plate 4,26,B4,,,,
"PRSE_BC2
Wood_Outer
Lab ID: 123a",102.8,7/22/2022,Qespi,,x,,Plate 4,27,C4,,,,
"PRSE_BC4
Wood_Outer
Lab ID: 124a",100.4,7/22/2022,Qespi,,x,,Plate 4,28,D4,,,,
"QUAL_WO1
Wood_Outer
Lab ID: 125a",103.7,7/26/2022,Qespi,,x,,Plate 4,29,E4,,,,
"QURU_BOWSER
Wood_Outer
Lab ID: 126a",104,7/26/2022,Qespi,,x,,Plate 4,30,F4,,,,
"QURU_RO1
Wood_Outer
Lab ID: 127a",104.3,7/27/2022,Qespi + Jon,,x,,Plate 4,31,G4,,,,
"QURU_RO10
Wood_Outer
Lab ID: 128a",100,7/22/2022,Qespi,,x,,Plate 4,32,H4,,,,
"QURU_RO101
Wood_Outer
Lab ID: 129a",101.8,7/22/2022,Qespi,,x,,Plate 4,33,A5,,,,
"QURU_RO102
Wood_Outer
Lab ID: 130a",103.3,7/22/2022,Qespi,,x,,Plate 4,34,B5,,,,
"QURU_RO103
Wood_Outer
Lab ID: 131a",100.7,7/22/2022,Qespi,,x,,Plate 4,35,C5,,,,
"QURU_RO104
Wood_Outer
Lab ID: 132a",100.5,7/22/2022,Qespi,,x,,Plate 4,36,D5,,,,
"QURU_RO105
Wood_Outer
Lab ID: 133a",101.1,7/22/2022,Qespi,,x,,Plate 4,37,E5,,,,
"QURU_RO11
Wood_Outer
Lab ID: 134a",100,7/22/2022,Qespi,,x,,Plate 4,38,F5,,,,
"QURU_RO13
Wood_Outer
Lab ID: 135a",100,7/22/2022,Qespi,,x,,Plate 4,39,G5,,,,
"QURU_RO2
Wood_Outer
Lab ID: 136a",101.1,7/22/2022,Qespi,,x,,Plate 4,40,H5,,,,
"QURU_RO3
Wood_Outer
Lab ID: 137a",100.4,7/27/2022,Qespi,,x,,Plate 4,41,A6,,,,
"QURU_RO7
Wood_Outer
Lab ID: 138a",102.4,7/22/2022,Qespi,,x,,Plate 4,42,B6,,,,
"QURU_RO8
Wood_Outer
Lab ID: 139a",107.9,7/22/2022,Qespi,,x,,Plate 4,43,C6,,,,
"QURU_RO9
Wood_Outer
Lab ID: 140a",101.4,7/22/2022,Qespi,,x,,Plate 4,44,D6,,,,
"QUVE_BO1
Wood_Outer
Lab ID: 141a",100.4,7/27/2022,Qespi,,x,,Plate 4,45,E6,,,,
"SAAL_SA1
Wood_Outer
Lab ID: 142a",103.5,7/27/2022,Qespi,,x,,Plate 4,46,F6,,,,
"TSCA_H101
Wood_Outer
Lab ID: 143a",101.9,7/21/2022,Qespi,,x,,Plate 4,47,G6,,,,
"TSCA_H102
Wood_Outer
Lab ID: 144a",100.8,7/21/2022,Qespi,,x,  ,Plate 4,48,H6,,,,
"TSCA_H103
Wood_Outer
Lab ID: 145a",100.2,7/21/2022,Cade ,,x,,Plate 4,49,A7,,,,
"TSCA_H104
Wood_Outer
Lab ID: 146a",103.6,7/22/2022,Cade ,,x,,Plate 4,50,B7,,,,
"TSCA_H2
Wood_Outer
Lab ID: 147a",110.8,7/21/2022,Cade,,x,,Plate 4,51,C7,,,,
"TSCA_H3
Wood_Outer
Lab ID: 148a",107.2,7/21/2022,Cade,,x,,Plate 4,52,D7,,,,
"TSCA_H301
Wood_Outer
Lab ID: 149a",100.3,7/21/2022,Cade,,x,,Plate 4,53,E7,,,,
"TSCA_H4
Wood_Outer
Lab ID: 150a",104.7,7/21/2022,Cade,,x,,Plate 4,54,F7,,,,
"TSCA_H5
Wood_Outer
Lab ID: 151a",104.3,7/21/2022,Qespi,,x,,Plate 4,55,G7,,,,
"TSCA_H8
Wood_Outer
Lab ID: 152a",106.2,7/21/2022,Cade,,x,,Plate 4,56,H7,,,,
"TSCA_H9
Wood_Outer
Lab ID: 153a",105.5,7/21/2022,Cade,,x,,Plate 4,57,A8,,,,
"TSCA_HX2
Wood_Outer
Lab ID: 154a",101,7/21/2022,Qespi,,x,,Plate 4,58,B8,,,,
"TSCA_HX3
Wood_Outer
Lab ID: 155a",103.2,7/21/2022,Qespi,,x,,Plate 4,59,C8,,,,
"TSCA_HX4
Wood_Outer
Lab ID: 156a",100.4,7/21/2022,Cade,,x,,Plate 4,60,D8,,,,
"TSCA_HX5
Wood_Outer
Lab ID: 157a",101.7,7/21/2022,Qespi,,x,,Plate 4,61,E8,,,,
"TSCA_HZ1
Wood_Outer
Lab ID: 158a",101.6,7/21/2022,Cade,,x,,Plate 4,62,F8,,,,
