,???TARGET MASS FOR WOOD: 100 mg???,,,,,,,,,,,,
"ACRU_RM5
Wood_Inner
Lab ID: 12c",103.2,7/25/2022,Qespi,,x,,Plate 4,74,B10,,8/9/2022,Cade,8/9/2022
"ACRU_RM501
Wood_Inner
Lab ID: 13c",102.9,7/27/2022,Jon + Qespi,,,,Plate 4,75,C10,,8/9/2022,Cade,8/9/2022
"ACRU_RM502
Wood_Inner
Lab ID: 14c",100.4,7/22/2022,Qespi,,x,,Plate 4,76,D10,,8/9/2022,Cade,8/9/2022
"ACRU_RM503
Wood_Inner
Lab ID: 15c",100,7/25/2022,Qespi,,x,,Plate 4,77,E10,,8/9/2022,Cade,8/9/2022
"ACRU_RMS1
Wood_Inner
Lab ID: 16c",,,,,,Sample missing; needs to be weighed,Plate 4,78,F10,Yes,8/9/2022,Cade,8/9/2022
"ACSA_SM1
Wood_Inner
Lab ID: 17c",108.2,7/22/2022,Qespi,,x,,Plate 4,79,G10,,8/9/2022,Cade,8/9/2022
"ACSA_SM10
Wood_Inner
Lab ID: 18c",100,7/22/2022,Qespi,,x,,Plate 4,80,H10,,8/9/2022,Cade,8/9/2022
"ACSA_SM11
Wood_Inner
Lab ID: 19c",102.5,7/22/2022,Qespi,,x,,Plate 4,81,A11,,8/9/2022,Cade,8/9/2022
"ACSA_SM12
Wood_Inner
Lab ID: 20c",102.5,7/23/2022,Qespi,,x,,Plate 4,82,B11,,8/9/2022,Cade,8/9/2022
"ACSA_SM13
Wood_Inner
Lab ID: 21c",108.6,7/22/2022,Qespi,,x,,Plate 4,83,C11,,8/9/2022,Cade,8/9/2022
"ACSA_SM14
Wood_Inner
Lab ID: 22c",104.2,7/23/2022,Qespi,,x,,Plate 4,84,D11,,8/9/2022,Cade,8/9/2022
"ACSA_SM15
Wood_Inner
Lab ID: 23c",110.8,7/24/2022,Qespi,,x,,Plate 4,85,E11,,8/9/2022,Cade,8/9/2022
"ACSA_SM2
Wood_Inner
Lab ID: 24c",104.4,7/25/2022,Qespi,,x,,Plate 4,86,F11,,8/9/2022,Cade,8/9/2022
"ACSA_SM3
Wood_Inner
Lab ID: 25c",102.4,7/26/2022,Qespi,,x,,Plate 4,87,G11,,8/9/2022,Cade,8/9/2022
"ACSA_SM5
Wood_Inner
Lab ID: 26c",100.2,7/27/2022,Qespi,,x,,Plate 4,88,H11,,8/9/2022,Cade,8/9/2022
"ACSA_SM6
Wood_Inner
Lab ID: 27c",105.5,7/28/2022,Qespi,,x,,Plate 4,89,A12,,8/9/2022,Cade,8/9/2022
"ACSA_SM7
Wood_Inner
Lab ID: 28c",103.5,7/29/2022,Qespi,,x,,Plate 4,90,B12,,8/9/2022,Cade,8/9/2022
"ACSA_SM8
Wood_Inner
Lab ID: 29c",100.9,7/30/2022,Qespi,,x,,Plate 4,91,C12,,8/9/2022,Cade,8/9/2022
"ACSA_SM9
Wood_Inner
Lab ID: 30c",102.4,7/23/2022,Qespi ,,x,,Plate 4,92,D12,,8/9/2022,Cade,8/9/2022
"ACSA _SM4
Wood_Inner
Lab ID: 31c",108.5,7/24/2022,Qespi ,,x,,Plate 4,93,E12,,8/9/2022,Cade,8/9/2022
"BEAL_CUL8R
Wood_Inner
Lab ID: 32c",101.8,7/21/2022,Qespi ,,x,,Plate 4,94,F12,,8/9/2022,Cade,8/9/2022
"BEAL_YB10
Wood_Inner
Lab ID: 33c",,,,,,Sample missing,Plate 4,95,G12,Yes,8/9/2022,Cade,8/9/2022
"BEAL_YB11
Wood_Inner
Lab ID: 34c",102.1,7/27/2022,Jon + Qespi,Reweighed 7/27 because unclear which of the two YB11s was initially weighed,,11' not marked; unclear which is which,Plate 4,96,H12,,8/9/2022,Cade,8/9/2022
"BEAL_YB11'
Wood_Inner
Lab ID: 35c",100.1,7/27/2022,Jon + Qespi,,,11' not marked; unclear which is which,Plate 5,1,A1,,8/10/2022,Cade,8/10/2022
"BEAL_YB12
Wood_Inner
Lab ID: 36c",100,7/23/2022,Qespi,,x,,Plate 5,2,B1,,8/10/2022,Cade,8/10/2022
"BEAL_YB13
Wood_Inner
Lab ID: 37c",100.9,7/21/2022,Qespi,,x,,Plate 5,3,C1,,8/10/2022,Cade,8/10/2022
"BEAL_YB14
Wood_Inner
Lab ID: 38c",,,,,,Sample missing;,Plate 5,4,D1,Yes,8/10/2022,Cade,8/10/2022
"BEAL_YB15
Wood_Inner
Lab ID: 39c",,,,,x,,Plate 5,5,E1,Yes,8/10/2022,Cade,8/10/2022
"BEAL_YB2
Wood_Inner
Lab ID: 40c", ,,,,,Sample missing;,Plate 5,6,F1,,8/10/2022,Cade,8/10/2022
"BEAL_YB3
Wood_Inner
Lab ID: 41c",102.1,7/21/2022,Qespi,,x,,Plate 5,7,G1,,8/10/2022,Cade,8/10/2022
"BEAL_YB4
Wood_Inner
Lab ID: 42c",102.2,7/21/2022,Qespi,,x,,Plate 5,8,H1,,8/10/2022,Cade,8/10/2022
"BEAL_YB5
Wood_Inner
Lab ID: 43c",106,7/21/2022,Qespi,,x,,Plate 5,9,A2,,8/10/2022,Cade,8/10/2022
"BEAL_YB9
Wood_Inner
Lab ID: 44c",102.1,7/26/2022,Qespi,,x, ,Plate 5,10,B2,,8/10/2022,Cade,8/10/2022
"BEAL_YB9
Wood_Inner
Lab ID: 45c",111.1,7/23/2022,Qespi,,x,,Plate 5,11,C2,,8/10/2022,Cade,8/10/2022
"BEAL_YBYB
Wood_Inner
Lab ID: 46c",100,7/24/2022,Qespi,,x,,Plate 5,12,D2,,8/10/2022,Cade,8/10/2022
"BELE_BB1
Wood_Inner
Lab ID: 47c",103.3,7/25/2022,Qespi,,x,,Plate 5,13,E2,,8/10/2022,Cade,8/10/2022
"BELE_BB10
Wood_Inner
Lab ID: 48c",100,7/25/2022,Qespi,,x,,Plate 5,14,F2,,8/10/2022,Cade,8/10/2022
"BELE_BB10'
Wood_Inner
Lab ID: 49c",101,7/25/2022,Qespi,,x,,Plate 5,15,G2,,8/10/2022,Cade,8/10/2022
"BELE_BB11
Wood_Inner
Lab ID: 50c",102.6,7/25/2022,Qespi,,x,,Plate 5,16,H2,,8/10/2022,Cade,8/10/2022
"BELE_BB12
Wood_Inner
Lab ID: 51c",100.3,7/25/2022,Qespi,,x,,Plate 5,17,A3,,8/10/2022,Cade,8/10/2022
"BELE_BB13
Wood_Inner
Lab ID: 52c",100.8,7/25/2022,Qespi,,x,,Plate 5,18,B3,,8/10/2022,Cade,8/10/2022
"BELE_BB14
Wood_Inner
Lab ID: 53c",107.5,7/25/2022,Qespi,,x,,Plate 5,19,C3,,8/10/2022,Cade,8/10/2022
"BELE_BB16
Wood_Inner
Lab ID: 54c",104.7,7/25/2022,Qespi,,x,,Plate 5,20,D3,,8/10/2022,Cade,8/10/2022
"BELE_BB16'
Wood_Inner
Lab ID: 55c",102.9,7/25/2022,Qespi,,x,,Plate 5,21,E3,,8/10/2022,Cade,8/10/2022
"BELE_BB3
Wood_Inner
Lab ID: 56c",100.7,7/25/2022,Qespi ,,x,,Plate 5,22,F3,,8/10/2022,Cade,8/10/2022
"BELE_BB5
Wood_Inner
Lab ID: 57c",100.9,7/25/2022,Qespi ,,x,,Plate 5,23,G3,,8/10/2022,Cade,8/10/2022
"BELE_BB6
Wood_Inner
Lab ID: 58c",101.5,7/25/2022,Qespi ,,x,,Plate 5,24,H3,,8/10/2022,Cade,8/10/2022
"BELE_BB7
Wood_Inner
Lab ID: 59c",100.8,7/25/2022,Qespi ,,x,,Plate 5,25,A4,,8/10/2022,Cade,8/10/2022
"BELE_BB8
Wood_Inner
Lab ID: 60c",105.3,7/25/2022,Qespi ,,x,,Plate 5,26,B4,,8/10/2022,Cade,8/10/2022
"BELE_BB9
Wood_Inner
Lab ID: 61c",103.9,7/25/2022,Qespi ,,x,,Plate 5,27,C4,,8/10/2022,Cade,8/10/2022
"BELE_BBGT1
Wood_Inner
Lab ID: 62c",100.1,7/25/2022,Qespi ,,x,,Plate 5,28,D4,,8/10/2022,Cade,8/10/2022
"BELE_BBX1
Wood_Inner
Lab ID: 63c",103,7/25/2022,Qespi ,,x,,Plate 5,29,E4,,8/10/2022,Cade,8/10/2022
"BELE_BBX6
Wood_Inner
Lab ID: 64c",100,7/25/2022,Qespi ,,x,,Plate 5,30,F4,,8/10/2022,Cade,8/10/2022
"BELE_BBX7
Wood_Inner
Lab ID: 65c",100.3,7/25/2022,Qespi ,,x,,Plate 5,31,G4,,8/10/2022,Cade,8/10/2022
"BEPA_PB1
Wood_Inner
Lab ID: 66c",101.1,7/26/2022,Qespi,,x,,Plate 5,32,H4,,8/10/2022,Cade,8/10/2022
"BEPA_PB2
Wood_Inner
Lab ID: 67c",101.6,7/26/2022,Qespi,,x,,Plate 5,33,A5,,8/10/2022,Cade,8/10/2022
"BEPA_PB3
Wood_Inner
Lab ID: 68c",101.4,7/26/2022,Qespi,,x,,Plate 5,34,B5,,8/10/2022,Cade,8/10/2022
"BEPA_PB4
Wood_Inner
Lab ID: 69c",101.2,7/26/2022,Qespi,,x,,Plate 5,35,C5,,8/10/2022,Cade,8/10/2022
"BEPA_PB5
Wood_Inner
Lab ID: 70c",100.7,7/26/2022,Qespi,,x,,Plate 5,36,D5,,8/10/2022,Cade,8/10/2022
"BEPA_PB501
Wood_Inner
Lab ID: 71c",101.3,7/26/2022,Qespi,,x,,Plate 5,37,E5,,8/10/2022,Cade,8/10/2022
"CAOV_SH1
Wood_Inner
Lab ID: 72c",101.6,7/22/2022,Qespi,,x,,Plate 5,38,F5,,8/10/2022,Cade,8/10/2022
"FAGR_AB1
Wood_Inner
Lab ID: 73c",107,7/20/2022,Qespi,,x,,Plate 5,39,G5,,8/10/2022,Cade,8/10/2022
"FAGR_AB10
Wood_Inner
Lab ID: 74c",105.7,7/20/2022,Qespi,,x,,Plate 5,40,H5,,8/10/2022,Cade,8/10/2022
"FAGR_AB11
Wood_Inner
Lab ID: 75c",101.1,7/20/2022,Qespi,,x,,Plate 5,41,A6,,8/10/2022,Cade,8/10/2022
"FAGR_AB2
Wood_Inner
Lab ID: 76c",109.8,7/20/2022,Qespi,,x,,Plate 5,42,B6,,8/10/2022,Cade,8/10/2022
"FAGR_AB3
Wood_Inner
Lab ID: 77c",104.5,7/20/2022,Qespi,,x,,Plate 5,43,C6,,8/10/2022,Cade,8/10/2022
"FAGR_AB3/5
Wood_Inner
Lab ID: 78c",117.6,7/20/2022,Qespi,,x,,Plate 5,44,D6,,8/10/2022,Cade,8/10/2022
"FAGR_AB4
Wood_Inner
Lab ID: 79c",100.3,7/20/2022,Qespi,,x,,Plate 5,45,E6,,8/10/2022,Cade,8/10/2022
"FAGR_AB4/6
Wood_Inner
Lab ID: 80c",102.7,7/20/2022,Qespi,,x,,Plate 5,46,F6,,8/10/2022,Cade,8/10/2022
"FAGR_AB5
Wood_Inner
Lab ID: 81c",106.6,7/20/2022,Qespi,,x,,Plate 5,47,G6,,8/10/2022,Cade,8/10/2022
"FAGR_AB501
Wood_Inner
Lab ID: 82c",105.4,7/20/2022,Qespi,,x,,Plate 5,48,H6,,8/10/2022,Cade,8/10/2022
"FAGR_AB6
Wood_Inner
Lab ID: 83c",112.4,7/20/2022,Qespi,,x,,Plate 5,49,A7,,8/10/2022,Cade,8/10/2022
"FAGR_AB6'
Wood_Inner
Lab ID: 84c",102.4,7/20/2022,Qespi,,x,,Plate 5,50,B7,,8/10/2022,Cade,8/10/2022
"FAGR_AB9
Wood_Inner
Lab ID: 85c",101,7/20/2022,Qespi,,x,,Plate 5,51,C7,,8/10/2022,Cade,8/10/2022
"FAGR_ABT14P
Wood_Inner
Lab ID: 86c",103,7/20/2022,Qespi,,x,,Plate 5,52,D7,,8/10/2022,Cade,8/10/2022
"FRAM_WA1
Wood_Inner
Lab ID: 87c",106.6,7/21/2022,Cade,,x,,Plate 5,53,E7,,8/10/2022,Cade,8/10/2022
"FRAM_WA10
Wood_Inner
Lab ID: 88c",103,7/20/2022,Qespi,,x,,Plate 5,54,F7,,8/10/2022,Cade,8/10/2022
"FRAM_WA101
Wood_Inner
Lab ID: 89c",105.5,7/21/2022,Cade,,x,,Plate 5,55,G7,,8/10/2022,Cade,8/10/2022
"FRAM_WA102
Wood_Inner
Lab ID: 90c",,7/21/2022,Cade,Insufficient mass,x,,Plate 5,56,H7,Yes,8/10/2022,Cade,8/10/2022
"FRAM_WA102
Wood_Inner
Lab ID: 91c",101.2,7/27/2022,Jon + Qespi,Reweighed because sample sat on counter for multiple days,x,,Plate 5,57,A8,,8/10/2022,Cade,8/10/2022
"FRAM_WA103
Wood_Inner
Lab ID: 92c",109.2,7/21/2022,Cade,Thers confucion 100.9 mg ,x,"Possibly off by ~10%, per the possible mistake with 109mg vs. 100.9mg. Check whether sample data looks off.",Plate 5,58,B8,,8/10/2022,Cade,8/10/2022
"FRAM_WA103*
Wood_Inner
Lab ID: 93c",101,7/26/2022,Qespi, ,x,,Plate 5,59,C8,,8/10/2022,Cade,8/10/2022
"FRAM_WA104
Wood_Inner
Lab ID: 94c",,,,,,Sample missing?; Needs weighing,Plate 5,60,D8,Yes,8/10/2022,Cade,8/10/2022
"FRAM_WA12
Wood_Inner
Lab ID: 95c",102.5,7/21/2022,Cade,,x,,Plate 5,61,E8,,8/10/2022,Cade,8/10/2022
"FRAM_WA14
Wood_Inner
Lab ID: 96c",106.7,7/20/2022,Qespi,,x,,Plate 5,62,F8,,8/10/2022,Cade,8/10/2022
"FRAM_WA14
Wood_Inner
Lab ID: 97c",101.4,7/26/2022,Qespi,,x,,Plate 5,63,G8,,8/10/2022,Cade,8/10/2022
"FRAM_WA15
Wood_Inner
Lab ID: 98c",105.2,7/21/2022,Cade,,x,,Plate 5,64,H8,,8/10/2022,Cade,8/10/2022
"FRAM_WA5
Wood_Inner
Lab ID: 99c",104.2,7/20/2022,Qespi,,x,,Plate 5,65,A9,,8/10/2022,Cade,8/10/2022
"FRAM_WAX1
Wood_Inner
Lab ID: 100c",101.4,7/21/2022,Cade,,x,,Plate 5,66,B9,,8/10/2022,Cade,8/10/2022
"KALA_ML2
Wood_Inner
Lab ID: 101c",100.5,7/27/2022,Jon + Qespi,,x,,Plate 5,67,C9,,8/10/2022,Cade,8/10/2022
"KALA_MLGP
Wood_Inner
Lab ID: 102c",101.2,7/27/2022,Jon + Qespi,,x,,Plate 5,68,D9,,8/10/2022,Cade,8/10/2022
"PIST_WP101
Wood_Inner
Lab ID: 103c",105.5,7/21/2022,Qespi,,x,,Plate 5,69,E9,,8/10/2022,Cade,8/10/2022
"PIST_WP102
Wood_Inner
Lab ID: 104c",105.7,7/21/2022,Qespi,,x,,Plate 5,70,F9,,8/10/2022,Cade,8/10/2022
"PIST_WP103
Wood_Inner
Lab ID: 105c",101.8,7/21/2022,Qespi,,x,,Plate 5,71,G9,,8/10/2022,Cade,8/10/2022
"PIST_WP2
Wood_Inner
Lab ID: 106c",100.8,7/21/2022,Qespi,,x,,Plate 5,72,H9,,8/10/2022,Cade,8/10/2022
"PIST_WP3
Wood_Inner
Lab ID: 107c",105,7/21/2022,Qespi,,x,,Plate 5,73,A10,,8/10/2022,Cade,8/10/2022
"PIST_WP4
Wood_Inner
Lab ID: 108c",101.6,7/21/2022,Qespi,,x,,Plate 5,74,B10,,8/10/2022,Cade,8/10/2022
"PIST_WP401
Wood_Inner
Lab ID: 109c",104.3,7/21/2022,Qespi,,x,,Plate 5,75,C10,,8/10/2022,Cade,8/10/2022
"PIST_WP402
Wood_Inner
Lab ID: 110c",103,7/21/2022,Qespi,,x,,Plate 5,76,D10,,8/10/2022,Cade,8/10/2022
"PIST_WP403
Wood_Inner
Lab ID: 111c",101.7,7/21/2022,Qespi,,x,,Plate 5,77,E10,,8/10/2022,Cade,8/10/2022
"PIST_WP5
Wood_Inner
Lab ID: 112c",104.2,7/21/2022,Qespi,,x,,Plate 5,78,F10,,8/10/2022,Cade,8/10/2022
"PIST_WP6
Wood_Inner
Lab ID: 113c",100.1,7/21/2022,Qespi,,x,,Plate 5,79,G10,,8/10/2022,Cade,8/10/2022
"PIST_WP7
Wood_Inner
Lab ID: 114c",103.5,7/21/2022,Qespi,,x,,Plate 5,80,H10,,8/10/2022,Cade,8/10/2022
"PIST_WP8
Wood_Inner
Lab ID: 115c",101.9,7/21/2022,Qespi,,x,,Plate 5,81,A11,,8/10/2022,Cade,8/10/2022
"PIST_WP9
Wood_Inner
Lab ID: 116c",102,7/21/2022,Qespi,,x,,Plate 5,82,B11,,8/10/2022,Cade,8/10/2022
"PIST_WPBERENICE
Wood_Inner
Lab ID: 117c",102.9,7/21/2022,Qespi,,x,,Plate 5,83,C11,,8/10/2022,Cade,8/10/2022
"PIST_WPX2
Wood_Inner
Lab ID: 118c",103.4,7/21/2022,Qespi,,x,,Plate 5,84,D11,,8/10/2022,Cade,8/10/2022
"PIST_WPX22
Wood_Inner
Lab ID: 119c",102.2,7/21/2022,Qespi,,x,,Plate 5,85,E11,,8/10/2022,Cade,8/10/2022
"PIST_WPX5
Wood_Inner
Lab ID: 120c",103.7,7/21/2022,Qespi,,x,,Plate 5,86,F11,,8/10/2022,Cade,8/10/2022
"PIST_WPX7
Wood_Inner
Lab ID: 121c",103.2,7/21/2022,Qespi,,x,,Plate 5,87,G11,,8/10/2022,Cade,8/10/2022
"PRSE_BC1
Wood_Inner
Lab ID: 122c",,,,,,Sample missing; Needs weighing,Plate 5,88,H11,Yes,8/10/2022,Cade,8/10/2022
"PRSE_BC2
Wood_Inner
Lab ID: 123c",106.7,7/22/2022,Qespi,,x,,Plate 5,89,A12,,8/10/2022,Cade,8/10/2022
"PRSE_BC4
Wood_Inner
Lab ID: 124c",100.6,7/22/2022,Qespi,,x,,Plate 5,90,B12,,8/10/2022,Cade,8/10/2022
"QUAL_WO1
Wood_Inner
Lab ID: 125c",101.6,7/22/2022,Qespi,,x,,Plate 5,91,C12,,8/10/2022,Cade,8/10/2022
"QURU_BOWSER
Wood_Inner
Lab ID: 126c",109.4,7/26/2022,Qespi,,x,,Plate 5,92,D12,,8/10/2022,Cade,8/10/2022
"QURU_RO1
Wood_Inner
Lab ID: 127c",101.5,7/22/2022,Qespi,,x,,Plate 5,93,E12,,8/10/2022,Cade,8/10/2022
"QURU_RO10
Wood_Inner
Lab ID: 128c",102.5,7/22/2022,Qespi,,x,,Plate 5,94,F12,,8/10/2022,Cade,8/10/2022
"QURU_RO101
Wood_Inner
Lab ID: 129c",100.6,7/22/2022,Qespi,,x,,Plate 5,95,G12,,8/10/2022,Cade,8/10/2022
"QURU_RO102
Wood_Inner
Lab ID: 130c",101.28,7/22/2022,Qespi,,x,,Plate 5,96,H12,,8/10/2022,Cade,8/10/2022
"QURU_RO103
Wood_Inner
Lab ID: 131c",100.5,7/22/2022,Qespi,,x,,Plate 6,1,A1,,8/11/2022,Cade,8/11/2022
"QURU_RO104
Wood_Inner
Lab ID: 132c",102.6,7/22/2022,Qespi,,,Sample missing; but we have RO4 inner?,Plate 6,2,B1,,8/11/2022,Cade,8/11/2022
"QURU_RO105
Wood_Inner
Lab ID: 133c",100.4,7/22/2022,Qespi,,x,,Plate 6,3,C1,,8/11/2022,Cade,8/11/2022
"QURU_RO11
Wood_Inner
Lab ID: 134c",101.8,7/22/2022,Qespi,,x,,Plate 6,4,D1,,8/11/2022,Cade,8/11/2022
"QURU_RO13
Wood_Inner
Lab ID: 135c",100,7/22/2022,Qespi,,x,,Plate 6,5,E1,,8/11/2022,Cade,8/11/2022
"QURU_RO2
Wood_Inner
Lab ID: 136c",103.2,7/22/2022,Qespi, ,x,,Plate 6,6,F1,,8/11/2022,Cade,8/11/2022
"QURU_RO3
Wood_Inner
Lab ID: 137c",102,7/22/2022,Qespi,,x,,Plate 6,7,G1,,8/11/2022,Cade,8/11/2022
"QURU_RO7
Wood_Inner
Lab ID: 138c",100.5,7/22/2022,Qespi,,x,,Plate 6,8,H1,,8/11/2022,Cade,8/11/2022
"QURU_RO8
Wood_Inner
Lab ID: 139c",102.2,7/22/2022,Qespi,,x,,Plate 6,9,A2,,8/11/2022,Cade,8/11/2022
"QURU_RO9
Wood_Inner
Lab ID: 140c",105.3,7/22/2022,Qespi,,x,,Plate 6,10,B2,,8/11/2022,Cade,8/11/2022
"QUVE_BO1
Wood_Inner
Lab ID: 141c",102.1,7/27/2022,Qespi,,x,,Plate 6,11,C2,,8/11/2022,Cade,8/11/2022
"SAAL_SA1
Wood_Inner
Lab ID: 142c",102.1,7/27/2022,Jon + Qespi,,x,,Plate 6,12,D2,,8/11/2022,Cade,8/11/2022
"TSCA_H101
Wood_Inner
Lab ID: 143c",104.9,7/21/2022,Qespi,,x,,Plate 6,13,E2,,8/11/2022,Cade,8/11/2022
"TSCA_H102
Wood_Inner
Lab ID: 144c",108.1,7/21/2022,Qespi,,x,,Plate 6,14,F2,,8/11/2022,Cade,8/11/2022
"TSCA_H103
Wood_Inner
Lab ID: 145c",100.3,7/21/2022,Cade,,x,,Plate 6,15,G2,,8/11/2022,Cade,8/11/2022
"TSCA_H104
Wood_Inner
Lab ID: 146c",102,7/21/2022,Qespi,,x,,Plate 6,16,H2,,8/11/2022,Cade,8/11/2022
"TSCA_H2
Wood_Inner
Lab ID: 147c",102.2,7/21/2022,Cade,,x,,Plate 6,17,A3,,8/11/2022,Cade,8/11/2022
"TSCA_H3
Wood_Inner
Lab ID: 148c",100.2,7/21/2022,Cade,,x,,Plate 6,18,B3,,8/11/2022,Cade,8/11/2022
"TSCA_H301
Wood_Inner
Lab ID: 149c",100.5,7/21/2022,Cade,,x,,Plate 6,19,C3,,8/11/2022,Cade,8/11/2022
"TSCA_H4
Wood_Inner
Lab ID: 150c",115.3,7/22/2022,Cade,,x,,Plate 6,20,D3,,8/11/2022,Cade,8/11/2022
"TSCA_H5
Wood_Inner
Lab ID: 151c",102.7,7/21/2022,Cade,,x,,Plate 6,21,E3,,8/11/2022,Cade,8/11/2022
"TSCA_H8
Wood_Inner
Lab ID: 152c",100.9,7/21/2022,Cade,,x,,Plate 6,22,F3,,8/11/2022,Cade,8/11/2022
"TSCA_H9
Wood_Inner
Lab ID: 153c",100.3,7/21/2022,Qespi,,x,,Plate 6,23,G3,,8/11/2022,Cade,8/11/2022
"TSCA_HX2
Wood_Inner
Lab ID: 154c",102.5,7/21/2022,Cade,,x,,Plate 6,24,H3,,8/11/2022,Cade,8/11/2022
"TSCA_HX3
Wood_Inner
Lab ID: 155c",102.4,7/21/2022,Qespi,,x,,Plate 6,25,A4,,8/11/2022,Cade,8/11/2022
"TSCA_HX4
Wood_Inner
Lab ID: 156c",107.8,7/21/2022,Cade,,x,,Plate 6,26,B4,,8/11/2022,Cade,8/11/2022
"TSCA_HX5
Wood_Inner
Lab ID: 157c",103.1,7/21/2022,Qespi,,x,,Plate 6,27,C4,,8/11/2022,Cade,8/11/2022
"TSCA_HZ1
Wood_Inner
Lab ID: 158c",104.3,7/21/2022,Cade,,x,,Plate 6,28,D4,,8/11/2022,Cade,8/11/2022
