Date,Name,Tree Core Species Code,Tree Core ID,Pith Visible,Sapwood Depth (cm),Heartwood Depth (cm),Tree Core Notes,Outer Section Length (cm),Outer Section Mass Empty Tube (g),Outer Section Mass Tube + Core Segment (g),OUTER SECTION FRESH MASS (g),Date Placed in Freeze Dryer,Date Removed from Freeze Dryer,Post-Freeze Dry OUTER SECTION Sample Mass (g),OUTER SECTION Ground Sample ID,Percent_Change_Outer,OUTER SECTION Processing Issues/Notes,Inner Section Length (cm),Inner Section Mass Empty Tube (g),Inner Section Mass Tube + Core Segment (g),INNER SECTION FRESH MASS (g),Date Placed in Freeze Dryer,Date Removed from Freeze Dryer,Post-Freeze Dry INNER SECTION Sample Mass (g),INNER SECTION Ground Sample ID,Percent_Change_Inner,INNER SECTION Processing Issues/Notes,Middle Section Length (mm),Middle Section Mass Empty Tube (g),Middle Section Mass Tube + Core Segment (g),MIDDLE SECTION FRESH MASS (g),Date Placed in Freeze Dryer,Date Removed from Freeze Dryer,Post-Freeze Dry MIDDLE SECTION Sample Mass (g),Ground Sample ID,MIDDLE SECTION Processing Issues/Notes,Bark Length (mm),Bark Fresh Mass (g),Bark Empty Tube Mass (g),Bark Mass + Tube (g),Post-Freeze Dry Sample Mass (g),SAMPLE FLAG
6/9/22,Qespi,TSCA,H5,No,,,,5,5.361,6.1129,0.7519,6/10/22,6/13/22,0.435,H5 Outer,0.42146562,,5,5.3456,6.246,0.9004,6/10/22,6/13/22,0.314,H5 Inner,0.651266104,,118.6,5.3679,7.8524,2.4845,6/10/22,6/13/22,1.008,H5 Middle,,,,,,,
6/9/22,Qespi,TSCA,H101,Yes,,,,5,5.514,6.3698,0.8558,6/10/22,6/13/22,0.348,H101 Outer,0.593362935,,5,5.3371,6.1453,0.8082,6/10/22,6/13/22,0.423,H101 Inner,0.476614699,,16.7,5.5305,5.753,0.2225,6/10/22,6/13/22,0.126,H101 Middle,,,,,,,
6/9/22,Qespi,TSCA,H4,Yes,,,,4.712,5.3177,6.1575,0.8398,6/10/22,6/13/22,0.429,H4 Outer,0.489164087,,5,5.3484,6.0783,0.7299,6/10/22,6/13/22,0.422,H4 Inner,0.421838608,,0,0,0,0,6/10/22,6/13/22,,H4 Middle,,,,,,,
6/9/22,Qespi,TSCA,H8,Yes,,,,5,5.3828,6.4242,1.0414,6/10/22,6/13/22,0.335,H8 Outer,0.678317649,,5,5.4945,6.387,0.8925,6/10/22,6/13/22,0.327,H8 Inner,0.633613445,,22.29,5.3421,5.8178,0.4757,6/10/22,6/13/22,0.154,H8 Middle,,,,,,,
6/9/22,Qespi,TSCA,HZ1,Yes,,,,5,5.341,6.1406,0.7996,6/10/22,6/13/22,0.327,HZ1 Outer,0.591045523,,5,5.3515,6.5073,1.1558,6/10/22,6/13/22,0.477,HZ1 Inner,0.587298841,,181.03,5.3467,8.0665,2.7198,6/10/22,6/13/22,1.242,HZ1 Middle,,,,,,,
6/9/22,Qespi,TSCA,H3,Yes,,,Middle section dropped on floor ,5,5.3598,6.1939,0.8341,6/10/22,6/13/22,0.473,H3 Outer,0.432921712,,5,5.3196,6.3907,1.0711,6/10/22,6/13/22,0.42,H3 Inner,0.60787975,,34.9,5.358,6.099,0.741,6/10/22,6/13/22,0.347,H3 Middle,,,,,,,
6/9/22,Qespi,TSCA,HX5,Yes,,,,5,5.3634,6.1601,0.7967,6/10/22,6/13/22,0.364,HX5 Outer,0.543115351,,5,5.5172,6.0932,0.576,6/10/22,6/13/22,0.313,HX5 Inner,0.456597222,,88.54,5.3209,6.4606,1.1397,6/10/22,6/13/22,0.626,HX5 Middle,,,,,,,
6/10/22,Qespi,ACRU,RM303,Yes,,,,5,5.3242,6.1913,0.8671,6/10/22,6/13/22,0.58,RM303 Outer,0.331103679,,5,5.3033,6.1492,0.8459,6/10/22,6/13/22,0.578,RM303 Inner,0.316704102,,15.7,5.3468,5.623,0.2762,6/10/22,6/13/22,0.181,RM303 Middle,,,,,,,
6/10/22,Qespi,ACRU,RM2,Yes,,,,5,5.3653,6.2711,0.9058,6/10/22,6/13/22,0.585,RM2 Outer,0.354162067,,5,5.3265,6.3129,0.9864,6/10/22,6/13/22,0.556,RM2 Inner,0.436334144,,63.4,5.335,6.6078,1.2728,6/10/22,6/13/22,0.77,RM2 Middle,,,,,,,
6/10/22,Qespi,ACRU,RM304,Yes,,,,5,5.5303,6.3965,0.8662,6/10/22,6/13/22,0.55,RM304 Outer,0.365042715,,5,5.3472,6.1901,0.8429,6/10/22,6/13/22,0.57,RM304 Inner,0.323763198,,24.2,5.338,5.7839,0.4459,6/10/22,6/13/22,0.283,RM304 Middle,,,,,,,
6/10/22,Qespi,ACRU,RM3,Yes,,,,5,5.5267,6.3541,0.8274,6/10/22,6/13/22,0.517,RM3 Outer,0.375151076,,5,5.3713,6.2464,0.8751,6/10/22,6/13/22,0.513,RM3 Inner,0.413781282,,13.3,5.3616,5.5773,0.2157,6/10/22,6/13/22,0.136,RM3 Middle,,,,,,,
6/10/22,Qespi,ACRU,RM10,No,,,Very broken sample. Spongy fractured pieces for the inner piece,5,5.5084,6.36,0.8516,6/10/22,6/13/22,0.5,RM10 Outer,0.412869892,,5,5.3418,6.0005,0.6587,6/10/22,6/13/22,0.402,RM10 Inner,0.389706999,,61.4,5.3629,6.3372,0.9743,6/10/22,6/13/22,0.585,RM10 Middle,,,,,,,
6/10/22,Jon,ACRU,RM301a,Yes,,,  Sample contains the whole trunk.Sectioning: a and b ,5,5.5413,6.2779,0.7366,6/10/22,6/13/22,0.474,RM301a Outer,0.356502851,,5,5.3308,6.0161,0.6853,6/10/22,6/13/22,0.465,RM301a Inner,0.321465052,,16.84,5.3521,5.6004,0.2483,6/10/22,6/13/22,0.17,RM301a Middle,,,,,,,
6/10/22,Jon,ACRU,RM301b,Yes,,,,5,5.3899,6.2028,0.8129,6/10/22,6/13/22,0.485,RM301b Outer,0.403370648,,3.273,5.3249,6.0541,0.7292,6/10/22,6/13/22,0.315,RM301b Inner,0.568019748,,8.52,5.4181,5.7345,0.3164,6/10/22,6/13/22,,RM301b Middle,,,,,,0.061,
6/10/22,Jon,ACRU,RM502,Yes,,,Inner section (eating away) ,5,5.3641,6.0951,0.731,6/10/22,6/13/22,0.482,RM502 Outer,0.340629275,,5,5.3275,6.0488,0.7213,6/10/22,6/13/22,0.374,RM502 Inner,0.481491751,,41.27,5.3515,5.9777,0.6262,6/10/22,6/13/22,0.316,RM502 Middle,,,,,,,
6/10/22,Jon,ACRU,RM5,No,,,,5,5.5166,6.4019,0.8853,6/10/22,6/13/22,0.588,RM5 Outer,0.335818367,,5,5.3494,6.3354,0.986,6/10/22,6/13/22,0.559,RM5 Inner,0.43306288,,16.03,5.3846,5.6597,0.2751,6/10/22,6/13/22,0.176,RM5 Middle,,,,,,,
6/10/22,Jon,ACRU,RM1,Yes,,,,5,5.3654,6.3053,0.9399,6/10/22,6/13/22,0.602,RM1 Outer,0.35950633,,5,5.3048,6.3555,1.0507,6/10/22,6/13/22,0.555,RM1 Inner,0.471780718,,105.93,5.3403,6.4097,1.0694,6/10/22,6/13/22,1.27,RM1 Middle,,,,,,,
6/10/22,Jon,ACRU,RM501,No,,,Sample not long enough for sectioning,5.28,5.5095,6.486,0.9765,6/10/22,6/13/22,0.539,RM501 Outer,0.448028674,,0,0,0,0,6/10/22,6/13/22,,RM501 Inner,#DIV/0!,,0,0,0,0,6/10/22,6/13/22,,RM501 Middle,,,,,,,
6/10/22,Jon,ACRU,RM4,Yes,,,,5,5.3498,6.2891,0.9393,6/10/22,6/13/22,0.613,RM4 Outer,0.347386352,,4.015,5.3611,6.0916,0.7305,6/10/22,6/13/22,0.47,RM4 Inner,0.356605065,,0,0,0,0,6/10/22,6/13/22,,RM4 Middle,,,,,,,
6/10/22,Jon,ACRU,RM14,No,,,Sample rotten(inner secction),5,5.3489,6.2594,0.9105,6/10/22,6/13/22,0.608,RM14 Outer,0.332235036,,3.849,5.3795,6.2613,0.8818,6/10/22,6/13/22,0.511,RM14 Inner,0.420503516,,0,0,0,0,6/10/22,6/13/22,,RM14 Middle,,,,,,,
6/10/22,Jon,ACRU,RM302,Yes,,,,5,5.5168,6.3568,0.84,6/10/22,6/13/22,0.532,RM302 Outer,0.366666667,,5,5.3271,6.059,0.7319,6/10/22,6/13/22,0.443,RM302 Inner,0.394726055,,36.52,5.3618,5.9666,0.6048,6/10/22,6/13/22,0.39,RM302 Middle,,,,,,,
6/15/22,Jon,PIST,WPX7,Yes,,,,5,,,0.8847,6/17/22,6/21/22,0.3616,WPX7 Outer,0.591273878,,5,,,1.0668,6/17/22,6/21/22,0.2942,WPX7 Inner,0.724221972,POSSIBLY SWITCHED/MISLABELED,65.06,,,1.3407,6/17/22,6/21/22,,WPX7 Middle,POSSIBLY SWITCHED/MISLABELED,,,,,,POSSIBLY SWITCHED/MISLABELEDPOSSIBLY SWITCHED/MISLABELED
6/15/22,Jon,PIST,WPX22,YES,,,,5,,,0.9206,6/17/22,6/21/22,0.2889,WPX22 Outer,0.686182924,POSSIBLY SWITCHED/MISLABELED,5,,,0.9724,6/17/22,6/21/22,0.2893,WPX22 Inner,0.702488688,,19.93,,,0.3745,6/17/22,6/21/22,,WPX22 Middle,POSSIBLY SWITCHED/MISLABELED,,,,,,POSSIBLY SWITCHED/MISLABELEDPOSSIBLY SWITCHED/MISLABELED
6/15/22,Jon,PIST,wp7,yes,,,,5,,,0.9185,6/17/22,6/21/22,0.3561,wp7 Outer,0.612302667,POSSIBLY SWITCHED/MISLABELED. definitely incorrect.,5,,,1.1266,6/17/22,6/21/22,0.5751,wp7 Inner,0.489526007,POSSIBLY SWITCHED/MISLABELED,127.63,,,2.5907,6/17/22,6/21/22,,wp7 Middle,POSSIBLY SWITCHED/MISLABELED,,,,,,POSSIBLY SWITCHED/MISLABELED. definitely incorrect.POSSIBLY SWITCHED/MISLABELEDPOSSIBLY SWITCHED/MISLABELED
6/15/22,Jon,PIST,wp403,?,,,,5,,,0.89895,6/17/22,6/21/22,0.4142,wp403 Outer,0.539240225,POSSIBLY SWITCHED/MISLABELED,5,,,0.9707,6/17/22,6/21/22,,wp403 Inner,1,,123.44,,,2.1608,6/17/22,6/21/22,1.0338,wp403 Middle,,,,,,,POSSIBLY SWITCHED/MISLABELED
6/15/22,Jon,PIST,wp401,No,,,chewed up/fragmented,5,,,0.7484,6/17/22,6/21/22,0.3665,wp401 Outer,0.510288616,POSSIBLY SWITCHED/MISLABELED,5,,,0.9415,6/17/22,6/21/22,,wp401 Inner,1,POSSIBLY SWITCHED/MISLABELED,128.57,,,2.4651,6/17/22,6/21/22,,wp401 Middle,,,,,,,POSSIBLY SWITCHED/MISLABELEDPOSSIBLY SWITCHED/MISLABELED
6/15/22,Jon,PIST,WPBerenice,yes,,,,5,,,0.7928,6/17/22,6/21/22,0.3897,WPBerenice Outer,0.50845106,POSSIBLY SWITCHED/MISLABELED,5,,,0.7106,6/17/22,6/21/22,0.3507,WPBerenice Inner,0.506473403,POSSIBLY SWITCHED/MISLABELED,149.48,,,2.66,6/17/22,6/21/22,1.0172,WPBerenice Middle,,,,,,,POSSIBLY SWITCHED/MISLABELEDPOSSIBLY SWITCHED/MISLABELED
6/15/22,Jon,PIST,wpx5,yes,,,,5,,,1.0327,6/17/22,6/21/22,,wpx5 Outer,1,POSSIBLY SWITCHED/MISLABELED,5,,,0.6682,6/17/22,6/21/22,0.602,wpx5 Inner,0.099072134,POSSIBLY SWITCHED/MISLABELED,102.1,,,1.5283,6/17/22,6/21/22,,wpx5 Middle,POSSIBLY SWITCHED/MISLABELED,,,,,,POSSIBLY SWITCHED/MISLABELEDPOSSIBLY SWITCHED/MISLABELEDPOSSIBLY SWITCHED/MISLABELED
6/15/22,Jon,PIST,wp103,yes,,,,5,,,0.852,6/17/22,6/21/22,0.4055,wp103 Outer,0.524061033,POSSIBLY SWITCHED/MISLABELED,5,,,0.979,6/17/22,6/21/22,0.2956,wp103 Inner,0.698059244,POSSIBLY SWITCHED/MISLABELED,156.24,,,3.0493,6/17/22,6/21/22,,wp103 Middle,POSSIBLY SWITCHED/MISLABELED,,,,,,POSSIBLY SWITCHED/MISLABELEDPOSSIBLY SWITCHED/MISLABELEDPOSSIBLY SWITCHED/MISLABELED
6/15/22,Jon,PIST,wp102,yes,,,,5,,,0.9055,6/17/22,6/21/22,0.4074,wp102 Outer,0.550082827,,5.2,,,0.8677,6/17/22,6/21/22,0.3312,wp102 Inner,0.618301256,,0,,,0,6/17/22,6/21/22,,wp102 Middle,,,,,,,
6/15/22,Jon,PIST,  wp4,?,,,,5,,,0.9009,6/17/22,6/21/22,0.3891,  wp4 Outer,0.568098568,,5,,,1.1193,6/17/22,6/21/22,0.3345,  wp4 Inner,0.701152506,,228.166,,,5.1102,6/17/22,6/21/22,1.8,  wp4 Middle,,,,,,,
6/15/22,Jon,PIST,wp8,yes,,,,5,,,0.8333,6/17/22,6/21/22,0.3986,wp8 Outer,0.521660866,,5,,,1.051,6/17/22,6/21/22,0.3052,wp8 Inner,0.709609895,,67.74,,,1.2838,6/17/22,6/21/22,0.4979,wp8 Middle,,,,,,,
6/15/22,Jon,PIST,WPX2,yes,,,,5,,,0.7459,6/17/22,6/21/22,,WPX2 Outer,1,,5,,,0.5386,6/17/22,6/21/22,0.2546,WPX2 Inner,0.527292982,,29.09,,,0.5859,6/17/22,6/21/22,0.1618,WPX2 Middle,,,,,,,
6/15/22,Jon,PIST,wp6,yes,,,,5,,,0.8507,6/17/22,6/21/22,0.3561,wp6 Outer,0.58140355,,5,,,1.0729,6/17/22,6/21/22,0.2991,wp6 Inner,0.721222854,,89.11,,,1.6333,6/17/22,6/21/22,0.6441,wp6 Middle,,,,,,,
6/15/22,Jon,PIST,wp5,?,,,One pice of the core ist lost in the hud ,5,,,0.8466,6/17/22,6/23/22,0.3761,wp5 Outer,0.555752421,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,5,,,1.048,6/17/22,6/23/22,0.2718,wp5 Inner,0.740648855,,143.12,,,2.4673,6/17/22,6/21/22,1.1842,wp5 Middle,,,,,,,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis
6/15/22,Jon,PIST,wp9,?,,,chewed up,5,,,0.8323,6/17/22,6/21/22,0.3847,wp9 Outer,0.537786856,,5,,,0.7699,6/17/22,6/21/22,0.3996,wp9 Inner,0.480971555,,109.3,,,1.8233,6/17/22,6/21/22,0.8093,wp9 Middle,,,,,,,
6/15/22,Jon,PIST,wp101,yes,,,,5,,,1.0138,6/17/22,6/21/22,0.4285,wp101 Outer,0.577332807,,5,,,1.0097,6/17/22,6/23/22,0.2956,wp101 Inner,0.707239774,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,65.27,,,1.3887,6/17/22,6/23/22,0.5131,wp101 Middle,,,,,,,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis
6/15/22,Jon,PIST,wp2,no,,,black rot near center,5,,,0.8897,6/17/22,6/21/22,0.4496,wp2 Outer,0.494661122,,5,,,0.9281,6/17/22,6/21/22,0.4456,wp2 Inner,0.519879323,,74.95,,,1.4101,6/17/22,6/23/22,0.591,wp2 Middle,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,,,,,,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis
6/15/22,Jon,PIST,wp402,yes,,,,5,,,0.9099,6/17/22,6/21/22,0.3792,wp402 Outer,0.583250907,,5,,,0.51185,6/17/22,6/21/22,0.2546,wp402 Inner,0.502588649,,122.09,,,2.5866,6/17/22,6/21/22,0.9753,wp402 Middle,,,,,,,
6/15/22,Jon,PIST,wp3,yes,,,,5,,,1.1564,6/17/22,6/23/22,0.4392,wp3 Outer,0.620200623,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,5,,,1.2319,6/17/22,6/21/22,0.3182,wp3 Inner,0.741699813,,224.12,,,4.5438,6/17/22,6/21/22,1.998,wp3 Middle,,,,,,,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis
6/17/22,Jon,QURU,ro9,?,,,,5,,,1.1384,6/17/22,6/21/22,0.5647,ro9 Outer,0.503952916,,5,,,1.28,6/17/22,6/23/22,0.6477,ro9 Inner,0.493984375,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,86.89,,,2.1576,6/17/22,6/23/22,1.0476,ro9 Middle,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,,,,,,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysisfreeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis
6/17/22,Jon,QURU,ro3,no,,,chewed up rotted interior,5,,,1.1679,6/17/22,6/23/22,0.5907,ro3 Outer,0.494220396,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,5,,,1.1273,6/17/22,6/23/22,0.468,ro3 Inner,0.584848754,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,80.37,,,2.076,6/17/22,6/21/22,0.9289,ro3 Middle,,,,,,,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysisfreeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis
6/17/22,Jon,QURU,ro11,?,,,,5,,,1.1909,6/17/22,6/23/22,0.5829,ro11 Outer,0.510538248,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,5,,,1.2196,6/17/22,6/23/22,0.5998,ro11 Inner,0.50819941,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,92.57,,,2.1068,6/17/22,6/21/22,1.0308,ro11 Middle,,,,,,,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysisfreeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis
6/17/22,Jon,QURU,ro105,yes,,,,5,,,1.093,6/17/22,6/23/22,0.5808,ro105 Outer,0.468618481,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,5,,,1.1815,6/17/22,6/23/22,0.6184,ro105 Inner,0.476597545,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,105.63,,,2.4183,6/17/22,6/23/22,1.2604,ro105 Middle,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,,,,,,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysisfreeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysisfreeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis
6/17/22,Jon,QURU,ro101,yes,,,,5,,,1.1036,6/17/22,6/21/22,0.6085,ro101 Outer,0.448622689,,5,,,1.2105,6/17/22,6/23/22,0.6379,ro101 Inner,0.473027675,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,86.66,,,1.968,6/17/22,6/23/22,1.0238,ro101 Middle,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,,,,,,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysisfreeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis
6/17/22,Jon,QURU,ro102,yes,,,,5,,,1.0783,6/17/22,6/23/22,0.5323,ro102 Outer,0.506352592,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,5,,,1.1795,6/17/22,6/21/22,0.6155,ro102 Inner,0.478168716,,130.62,,,2.9799,6/17/22,6/23/22,1.4725,ro102 Middle,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,,,,,,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysisfreeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis
6/17/22,Jon,QURU,ro13,yes,,,,5,,,1.0567,6/17/22,6/21/22,0.526,ro13 Outer,0.502223905,,5,,,1.1426,6/17/22,6/21/22,0.5945,ro13 Inner,0.479695431,,101.67,,,2.2754,6/17/22,6/23/22,1.1345,ro13 Middle,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,,,,,,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis
6/17/22,Jon,QURU,ro7,yes,,,,5,,,1.0711,6/17/22,6/21/22,0.5474,ro7 Outer,0.488936607,,5,,,1.1813,6/17/22,6/23/22,0.5894,ro7 Inner,0.501058156,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,88.96,,,2.1153,6/17/22,6/21/22,1.1233,ro7 Middle,,,,,,,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis
6/17/22,Jon,QURU,ro2,?,,,,5,,,1.0335,6/17/22,6/21/22,0.5043,ro2 Outer,0.512046444,,5,,,1.1267,6/17/22,6/21/22,0.5771,ro2 Inner,0.487796219,,58.23,,,1.2701,6/17/22,6/23/22,0.635,ro2 Middle,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,,,,,,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis
6/17/22,Jon,QURU,ro8,yes,,,,5,,,1.0118,6/17/22,6/23/22,0.5065,ro8 Outer,0.499406997,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,5,,,1.2111,6/17/22,6/23/22,0.628,ro8 Inner,0.481463133,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis,120.29,,,2.829,6/17/22,6/21/22,1.5189,ro8 Middle,,,,,,,freeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysisfreeze dryer initially not connected; sample thawed before drying. may not be suitable for RNA analysis
6/17/22,Jon,QURU,ro104,yes,,,,5,,,0.9623,6/17/22,6/21/22,0.4482,ro104 Outer,0.534240881,,5,,,1.1437,6/17/22,6/21/22,,ro104 Inner,1,,29.36,,,0.6444,6/17/22,6/21/22,,ro104 Middle,,,,,,,
6/22/22,Jon,QURU,ro1,yes,,,,5,,,1.0227,6/27/22,7/1/22,0.4772,ro1 Outer,0.533392002,,5,,,1.1225,27-Jun,7/1/22,0.5743,ro1 Inner,0.488374165,,59.73,,,1.5148,6/17/22,6/21/22,0.7524,ro1 Middle,,,,,,,
6/22/22,Jon,QURU,ro10,Yes,,,,5,,,1.1231,6/27/22,7/1/22,0.5515,ro10 Outer,0.508948446,,5,,,1.1919,27-Jun,7/1/22,0.6068,ro10 Inner,0.490896887,,57.3,,,1.3854,27-Jun,7/1/22,0.7168,ro10 Middle,,,,,,,
6/22/22,Jon,QURU,ro103,Yes,,,,5,,,1.1001,6/17/22,6/21/22,0.5944,ro103 Outer,0.459685483,,5,,,1.1354,27-Jun,7/1/22,0.6135,ro103 Inner,0.459661793,,148.7,,,3.0721,6/17/22,6/21/22,1.586,ro103 Middle,,,,,,,
6/22/22,Jon,ACRU,rms1,Yes,,,,5,,,0.8542,6/23/22,6/27/22,0.5763,rms1 Outer,0.325333646,,5,,,0.8778,23-Jun,6/27/22,0.5609,rms1 Inner,0.361016177,,1.12,,,0.0777,23-Jun,6/27/22,0.0095,rms1 Middle,"zero recovery from grinding, so effectively a lost sample",,,,,,"zero recovery from grinding, so effectively a lost sample"
