tree_id,dbh,species_id,CO2_concentration,CH4_concentration,N2O_concentration,O2_concentration,CO2_best.flux_75cm,CO2_best.flux_RootCrowncm,CO2_best.flux_125cm,CO2_best.flux_200cm,CO2_best.flux_50cm,CH4_best.flux_75cm,CH4_best.flux_RootCrowncm,CH4_best.flux_125cm,CH4_best.flux_200cm,CH4_best.flux_50cm,Temp_Air_75cm,Temp_Air_RootCrowncm,Temp_Air_125cm,Temp_Air_200cm,Temp_Air_50cm,VWC_mean,ORP_mean,SoilTemp_mean,OrganicDepth_mean,MineralDepth_mean,outer_moisture_fresh_percent,inner_moisture_fresh_percent,middle_moisture_fresh_percent,outer_moisture_dry_percent,inner_moisture_dry_percent,middle_moisture_dry_percent,outer_density_final,inner_density_final,middle_density_final,ddpcr_mcra_Inner_loose,ddpcr_mcra_Inner_strict,ddpcr_mcra_Outer_loose,ddpcr_mcra_Outer_strict,ddpcr_mcra_probe_Inner_loose,ddpcr_mcra_probe_Inner_strict,ddpcr_mcra_probe_Mineral_loose,ddpcr_mcra_probe_Organic_loose,ddpcr_mcra_probe_Organic_strict,ddpcr_mcra_probe_Outer_loose,ddpcr_mcra_probe_Outer_strict,ddpcr_mmox_Inner_loose,ddpcr_mmox_Inner_strict,ddpcr_mmox_Mineral_loose,ddpcr_mmox_Mineral_strict,ddpcr_mmox_Organic_loose,ddpcr_mmox_Organic_strict,ddpcr_mmox_Outer_loose,ddpcr_mmox_Outer_strict,ddpcr_pmoa_Inner_loose,ddpcr_pmoa_Inner_strict,ddpcr_pmoa_Mineral_loose,ddpcr_pmoa_Mineral_strict,ddpcr_pmoa_Organic_loose,ddpcr_pmoa_Organic_strict,ddpcr_pmoa_Outer_loose,ddpcr_pmoa_Outer_strict,ddpcr_16s_arc_Outer_loose,ddpcr_16s_arc_Outer_strict,ddpcr_16s_bact_Outer_loose,ddpcr_16s_bact_Outer_strict,ddpcr_mcra_probe_Mineral_strict,ddpcr_16s_arc_Inner_loose,ddpcr_16s_arc_Inner_strict,ddpcr_16s_bact_Inner_loose,ddpcr_16s_bact_Inner_strict,plot,species
ab4,36,FAGR,16009.0418979604,1689.04870677313,0.718980611632827,182457.360236866,NA,NA,2.125710829502194,1.814952200715906,2.1250178296058873,NA,NA,0.09051960484804908,0.05328695018806736,0.09800477065715252,NA,NA,20,20,20,11.983333333333334,278,17.65,10,19,42.86570144782826,34.96897264996553,39.169562505568926,75.02621461027613,53.772751369499915,64.39138713929987,0.5493808407936357,0.5433320828471135,0.5594692172541944,0.774673342704773,0.129076808691025,2.05091094970703,0,0.629446566104889,0.139847904443741,0,0.120275072753429,0,0.0629414767026901,0,1.18803656101227,0,3.91670608520508,0.782298743724823,1.46267879009247,0.254248321056366,0.648818731307983,0,0.409306824207306,0,346.295959472656,57.9123802185059,210.093704223633,44.6027221679688,0.394272804260254,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,FAGR
ab5,36.5,FAGR,20684.884306959,600.229718913169,0.793796927504801,176004.374172842,NA,NA,4.251626527412619,4.061806736188291,0.5910610872351545,NA,NA,0.04367667059645302,0.0652126919522954,0.04258261510757062,NA,NA,26.1,26.1,26.1,18.941666666666663,330.75,18.2,4.875,12.5,49.65966690803765,40.23908318514128,41.79910044977511,98.64787111622556,67.3334435443875,71.81865018031942,0.667475638797161,0.5807767748970118,0.600229811812087,0.704093992710114,0.0703904405236244,0.289468079805374,0,0.626689672470093,0.0696156993508339,0.278900146,0.188572213053703,0.0628540441393852,0.0654776990413666,0,1.71971333026886,0.14944052696228,2.57380223274231,0.347482234239578,1.16364002227783,0.306109488010406,2.47687101364136,0,0.516146779060364,0.0860087424516678,200.476821899414,49.4818153381348,157.318923950195,41.770866394043,0.300560891628265,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,FAGR
ab501,26.5,FAGR,3399.9256668122,306.70607502813,0.417343230178649,205137.012612034,NA,NA,3.0527487208147597,2.3419136028560623,2.8827648415415505,NA,NA,0.08045139974500033,0.12298489746885696,0.04071264773573442,NA,NA,20.2,20.2,20.2,10.258333333333333,315.75,17.325,5.75,19.875,43.68941545089593,40.42861579873693,38.838454376163874,77.58650669448795,67.8658324643726,63.50142721217888,0.5521651896896537,0.5524532257823452,0.5666478238596753,338.601287841797,281.2919921875,0.222332149744034,0,761.704711914063,6.67219877243042,0.064707011,0,0,0.122753605246544,0,2.4142324924469,0.856096088886261,2.37650322914124,0.203512281179428,2.55924558639526,0.426154524087906,1.57232391834259,0,1.26761209964752,0.337896317243576,181.624374389648,38.8986930847168,363.20068359375,86.38525390625,0.580614686012268,0.0725611746311188,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,FAGR
ab6,42.5,FAGR,49000.9830457899,12970.5694001484,1.02115021757507,127857.955181093,NA,NA,3.132949315429035,3.518363218960248,0.9262451187446834,NA,NA,0.10137586727964666,0.1348353682561318,0.01754791357115699,NA,NA,25.5,25.5,26,15.008333333333333,364.25,18.5,4.75,18.625,36.78593848085374,43.57268274651142,41.005203144027455,58.19265143992056,77.21912872584343,69.50647401013322,0.5801046906807316,0.5862494606581509,0.5992599117487069,10.5674161911011,0.323739856481552,0.296582996845245,0.0741387382149696,0.354234129190445,0.118066191673279,0.302531809,0.0644517838954926,0,0.540919840335846,0,2.57505917549133,0,2.40931987762451,0.275101274251938,0.54813039302825906,0.182681769132614,0.84824025630950906,0.077087476849556,0.328944683074951,0,129.788696289063,33.1191215515137,99.3320617675781,27.104700088501,2.66347169876099,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,FAGR
ab6',31,FAGR,10481.6428658776,0,0.618259903871507,198402.606247762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.991666666666667,352,17.775,6.5,19.375,38.813964610234336,36.975296244225746,36.41073951954781,63.43598561825856,58.667941363926055,57.25925925925927,0.565510861984361,0.6025715059106707,0.6295717977034502,4.97797679901123,0.188652843236923,0.283367395401001,0,0.463926255702972,0,0.131090373,0,0,0.0587897226214409,0.0587897226214409,0.98885452747345,0,2.20972418785095,0.414007246494293,1.78909146785736,0.214547380805016,3.03260207176208,0,2.35059142112732,0.234847918152809,158.178527832031,39.2146492004395,253.99430847168,54.470027923584,0.502014338970184,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,FAGR
ab8,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,NA
ab9,20,FAGR,11837.9324913561,0,0.636811612212289,199280.032532826,NA,NA,1.8617245478267417,1.964762815833172,1.8638641309517947,NA,NA,0.1870678481866868,0.12790477045643944,0.26312623419436226,NA,NA,21,21,21,8.566666666666666,169.66666666666666,16.7,3.1666666666666665,18.166666666666668,40.05089058524174,35.85651314789482,NA,66.80814940577251,55.90047393364931,NA,0.565510861984361,0.5851686458493337,NA,0.690582811832428,0.251074135303497,0.223997190594673,0.074660986661911,0.518337488174438,0.103649228811264,0.064451784,0,0,0.191685631871223,0,1.43799698352814,0,4.56625366210938,0.660678744316101,0.920247435569763,0.197135284543037,1.05808699131012,0,0.217040970921516,0,303.658111572266,71.0160827636719,172.343414306641,35.7603378295898,0.381710708141327,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,FAGR
abt 14p,25,FAGR,6814.40028161555,72.3245100851613,0.521980215726348,190581.258640693,NA,NA,3.536476317047492,2.92554091896632,2.2043911643717786,NA,NA,0.06833452944703404,0.12422401854256036,0.04699247311747177,NA,NA,23.2,23.2,23.2,10.25,322.25,17.7,4.5,17.875,37.18629594918255,38.17552961521834,42.34527687296416,59.20092838196288,61.74825174825177,73.4463276836158,0.5791445703717598,0.5491888167318413,0.5221659892648042,1.67171692848206,0.208834752440453,0.306672036647797,0.0766605138778687,0.715505957603455,0.0894144475460052,0.134208366,0.131478607654572,0,0.120533846318722,0,0.990006685256958,0,2.69765591621399,0.351517528295517,3.42898440361023,0.658644378185272,0.989115655422211,0,0.640527248382568,0.0711524784564972,217.106369018555,40.840934753418,385.580108642578,68.0184783935547,0.225644066929817,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,FAGR
bb1,27,BELE,59176.434740265,0,1.17890121998695,132418.064658931,NA,NA,1.5170651340328374,1.0939432988387232,1.5165240417029076,NA,NA,0.00290843533390316,0.06304092954409911,0.09391884364842425,NA,NA,19.1,19.1,19.1,7.458333333333334,295.25,17.55,11.25,20.25,34.17693417693418,30.664521717609205,35.75645134086692,51.92242833052278,44.22630733535606,55.65765292727749,0.569351343220248,0.5379554091168718,0.5509337536717984,2.19518160820007,0.0731067582964897,0.632647157,0.063249409,0.756113529205322,0.16798323392868,0.13345477,0.0685568898916245,0,1.0461585521698,0.13071896135807,1.21867752075195,0,2.22953081130981,0.196553438901901,1.40744471549988,0.122319668531418,1.294284701,0.136173457,6.51146602630615,0.411051541566849,114.459930419922,23.4362926483154,306.056335449219,45.8180122375488,6.1921763420105,0.481338113546371,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,BELE
bb10,28.5,BELE,10899.6475748342,0,0.612926398401787,193111.376781233,NA,NA,1.5103435344899503,1.2975294945402704,1.658525397081525,NA,NA,0.02846794295135537,0.01044767052450438,0.01050251111867776,NA,NA,21.6,21.6,21.6,20.75,430.25,17.5,9.75,0,32.99372112308968,44.36337478162573,40.10309278350515,49.23974540311173,79.73771702992242,66.95352839931151,0.5430440467544221,0.5198091352773057,0.5213363546846609,0.584617972373962,0,0.659308791,0,0.243248343467712,0.0810771957039833,NA,0.0670449137687683,0,1.06657755374908,0.284326165914536,1.3031439781189,0,NA,NA,0.946502149105072,0.0630764588713646,1.728223324,0,12.6753597259521,0.478856474161148,NA,NA,507.465698242188,54.6552047729492,11.2126998901367,0.591377019882202,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,BELE
bb10',29,BELE,492.669917327783,0,0.310372834517956,214172.118979666,NA,NA,1.3360486677861678,1.3744573281897186,1.094474369494951,NA,NA,0.01672641971899745,0.02095677668363757,0.03133189355371616,NA,NA,22.3,22.3,22.3,46.475,395.5,13.925,10.75,14.75,38.332308953083384,37.15080690038954,43.04101221640488,62.1594684385382,59.11103240658757,75.56491765607046,0.5779924260009938,0.5421799384763475,0.5821816364898377,0.571622490882874,0.0714376270771027,0.137864962,0,1.24296951293945,0.331330150365829,0,0.0685289427638054,0,0.491703391075134,0,1.30809795856476,0,3.19148468971252,0.73572838306427,1.43887829780579,0.125050023198128,1.457019925,0.145620808,1.41800403594971,0.0787331759929657,195.297760009766,31.7833862304688,266.347747802734,52.7036972045898,0.451793611049652,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,BELE
bb11,31.5,BELE,1069.70335039501,0,0.320592591449359,183815.514620703,NA,NA,1.8768058585245344,1.5871536395092145,1.683195296916794,NA,NA,0.00906221926803266,-0.0209250609395718,0.00176418522139733,NA,NA,19.3,19.3,19.3,17,372.75,14.8,8.5,7.166666666666667,37.38767650834403,44.870370370370374,35.80342210214846,59.712967708867225,81.39066174000672,55.77154308617235,0.5619584168411655,0.5716556319617803,0.5501837783381989,0.605024755001068,0.0864130556583405,0.372300833,0,16.3322467803955,0.173482358455658,0.061693832,0.0711524784564972,0,0.593161821365356,0,0.894790530204773,0,3.4443941116333,0.561661660671234,3.26670575141907,0.261002898216248,1.292413831,0,13.0919570922852,0,513.616455078125,67.5335998535156,512.204467773438,131.537139892578,0.437051802873611,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,BELE
bb12,26.5,BELE,3194.88174009835,0,0.402419660102655,214820.970171208,NA,NA,1.1150462260102314,1.2525456219981548,1.3554146769361468,NA,NA,-0.002268627053581,4.922439090822501e-4,0.00387121335722509,NA,NA,20.5,20.4,19.3,12.3,423.25,17.925,5.875,4.625,36.91121300541892,46.349931475559615,37.54789272030652,58.506772381896255,86.39305177111716,60.122699386503086,0.5812568350514978,0.5637826454282119,0.5902129013270169,1.34284973144531,0.201329782605171,0.386065602,0,1.85291838645935,0.529107511043549,0.067274943,0.0874276831746101,0,0.551169157028198,0,2.4857132434845,0,2.64755630493164,0.440845847129822,2.66099095344543,0.156362384557724,1.309776902,0,17.2490520477295,0.811806976795197,462.993743896484,64.6417388916016,180.425979614258,37.6995086669922,0.557286024093628,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,BELE
bb13,31,BELE,14076.5151561267,1862.56100150169,0.632428564943841,182996.705192437,NA,NA,1.0719706984334345,0.6550402314842328,1.6726054874535328,NA,NA,0.01704255161996727,0.02676174850516504,0.03251057416599537,NA,NA,20.8,21.8,20.8,18.4,360.25,18.225,6.5,9.0625,36.77672441974501,39.64733881436608,43.38552687261954,58.169596690796254,65.69277648324073,76.63327851696813,0.5570618032654097,0.5356511203753396,0.5316427770456986,0.683557391166687,0.0683378726243973,0.723516405,0,0.218857899308205,0,0,0,0,0.998096525669098,0.14253339171409601,1.25381541252136,0,3.43388652801514,0.364831030368805,1.40390300750732,0.155906513333321,1.282676339,0.064100616,8.50962352752686,0.323050916194916,668.066528320313,113.104919433594,399.563629150391,99.1224060058594,0.981794774532318,0.140206232666969,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,BELE
bb14,24.5,BELE,1079.27235809318,0,0.317765721835691,187307.235340235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.575,379.5,17.325,1.625,13.125,35.65076798706548,44.40973208368834,36.16628175519631,55.40201005025125,79.8876021798365,56.65701881331405,0.6114046127532108,0.5637826454282119,0.5769070726082431,1.84377586841583,0,3.600186586,0.063066311,0.416179656982422,0.0693530589342117,0.066289373,0,0,1.10557568073273,0.069068044424057,0.544032633304596,0.0777035430073738,1.68387997150421,0.21035324037075,1.4729996919632,0.0701010301709175,3.092924833,0.128709659,14.1908445358276,0.475565820932388,254.057830810547,34.1728096008301,291.426940917969,62.6778678894043,2.70652556419373,0.624030351638794,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,BELE
bb16,33.5,BELE,7408.57625260165,68.5676147219959,0.538915340328104,179661.094950356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.125,367.5,17.025,3.875,13,33.30510268896887,52.93378790597524,34.655658477648004,49.93650793650794,112.46664125047658,53.03543913713404,0.6048757946522028,0.5036791140865803,0.6049690102161807,1.15598404407501,0.0641915500164032,0.892424643,0,1.20285844802856,0.0751426294445992,0.066770941,0,0,0.833171784877777,0.1281418800354,1.60610342025757,0,1.62481331825256,0.35302942991256703,1.14715087413788,0,1.001944542,0,18.1838340759277,0.470807939767838,298.387023925781,64.7673034667969,493.492980957031,158.109161376953,5.46750783920288,0.354262560606003,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,BELE
bb16',25,BELE,5596.62607249925,0,0.479037778641216,167843.326260457,NA,NA,1.356183818177609,1.69916116230797,1.615158308711767,NA,NA,1.7369375055023594e-4,0.01195150586567658,-0.00361778342098211,NA,NA,22.3,22.3,21.4,16.325,411.5,17.2,4.25,7.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3249053955078,26.6957778930664,6.138175964,0,195.441665649414,0.212199702858925,0,NA,NA,1.10447287559509,0.345036387443542,1.73288404941559,0.0787121132016182,3.26679229736328,0.425589293241501,2.63881373405457,0.439391434192657,0.87178266,0,47.5575332641602,0.859108209609985,412.504455566406,82.9128112792969,713.090148925781,151.883682250977,7.3097186088562,0.636905491352081,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,BELE
bb2,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,NA
bb3,31,BELE,8533.2702994423,0,0.564704599113915,174915.500017333,NA,NA,2.6380777242118065,2.3035484321754676,3.5362930418979444,NA,NA,0.02910386307057134,0.03121311979196346,0.02334897756150951,NA,NA,19.8,19.8,19.8,13.85,269.5,19,5.5,22.125,38.58632676709154,45.21712723959915,36.428927680798,62.8301886792453,82.53880266075387,57.30425231445159,0.5597501401305305,0.5196171112155114,0.5258548237432938,1.36269354820251,0.0716813802719116,0.825303793,0,0.60031670331955,0.150050446391106,0,0,0,1.24150347709656,0.292000651359558,1.01074695587158,0,2.85222840309143,0.365284115076065,1.09279870986938,0.0728216767311096,1.400030136,0,13.1921215057373,0.395199924707413,202.378265380859,39.0642700195313,139.081359863281,20.8461723327637,1.33374762535095,0.140323311090469,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,BELE
bb4,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,NA
