pathway,p_value_all,t_stat_all,FDR_all,description,mean_counts_per_million,p_value_no_mcra,t_stat_no_mcra,FDR_no_mcra,mean_percent_from_mcra
PWY-6163,2.520378411585e-9,6.22751651012447,3.66355004826819e-8,chorismate biosynthesis from 3-dehydroquinate,5737.93050053239,8.07337456864377e-7,5.07830050096492,1.26379363439924e-5,0.0305304390537873
PWY-7187,2.8188839494514404e-9,6.16371189077954,3.95615781871288e-8,pyrimidine deoxyribonucleotides de novo biosynthesis II,3355.44080464546,5.23428735073469e-5,4.0903086269398,3.9451017624981e-4,0.0526770300919619
P105-PWY,4.826624717568421e-9,-6.07230231608487,6.54812086683449e-8,TCA cycle IV (2-oxoglutarate decarboxylase),5132.64201909006,1.54157909931217e-9,-6.28560882359174,3.69072172600031e-8,0.013749713174001
PWY-5686,7.009189518622311e-9,6.01291965936357,9.202387529288e-8,UMP biosynthesis,6096.14339888354,5.52710963536702e-5,4.09070718647303,4.0900611301715e-4,0.0328911353404128
PWY0-162,7.085516603709e-8,5.5652731723897,9.01189143034238e-7,superpathway of pyrimidine ribonucleotides de novo biosynthesis,5848.33965659437,5.2305875056342e-4,3.49872417283047,0.00299837903491989,0.0324591838557159
ARGSYNBSUB-PWY,1.13616974974928e-7,5.45449023617323,1.40127602469078e-6,L-arginine biosynthesis II (acetyl cycle),5986.69741471231,1.1741531441057e-4,3.89309757340851,7.8341037647708e-4,0.0318040823418016
PWY-7400,1.69424218288981e-7,5.37963497005624,2.02810755422398e-6,L-arginine biosynthesis IV (archaebacteria),5549.7006771816305,1.5761116992289e-4,3.82076912351665,0.00101821819299392,0.0326731934072674
PWY-7229,1.81839239571237e-7,5.38308154165945,2.11453058587125e-6,superpathway of adenosine nucleotides de novo biosynthesis I,6610.06852166747,8.17652340033007e-6,4.55723609557728,8.69384642949308e-5,0.0303651070285312
PWY-7208,1.88327055852493e-7,5.3667265051371,2.12914199255458e-6,superpathway of pyrimidine nucleobases salvage,6347.86071441705,1.19099184602758e-5,4.4625000373669,1.1822772715444e-4,0.0297393045655736
PWY-6126,2.26748210965375e-7,5.33570694732301,2.49423032061912e-6,superpathway of adenosine nucleotides de novo biosynthesis II,6322.82660175068,9.762133763065e-6,4.514566405145,9.93297110391864e-5,0.0303725718517359
SALVADEHYPOX-PWY,3.3969123124395e-7,-5.23129328274048,3.56660166819928e-6,adenosine nucleotides degradation II,4328.38899488195,1.82058089133568e-6,-4.87459305807345,2.55509111301248e-5,0.0032041950176215
CALVIN-PWY,3.41762813414673e-7,5.23293703855881,3.56660166819928e-6,Calvin-Benson-Bassham cycle,5815.52017402696,5.5282879625956305e-9,6.04974921695872,1.18421747409285e-7,0.0262698078997144
DENOVOPURINE2-PWY,3.5475786779201e-7,5.21632137060573,3.6096613047837e-6,superpathway of purine nucleotides de novo biosynthesis II,4299.41184340225,8.33071279484595e-6,4.52826262223559,8.69384642949308e-5,0.0390568475752376
ARGSYN-PWY,4.3717064941752e-7,5.18570252555889,4.33971839787636e-6,L-arginine biosynthesis I (via L-ornithine),5589.01490785407,1.8149074250583e-4,3.78494271945363,0.00113641126461344,0.0322219375117444
PWY-7197,5.5297166172477e-7,5.12960236997167,5.35855872195194e-6,pyrimidine deoxyribonucleotide phosphorylation,4758.67635775886,0.341406140146178,0.943102224962426,0.430192876283264,0.0438248353892984
PWY-7184,5.66321039142987e-7,5.11701127751506,5.36029448677199e-6,pyrimidine deoxyribonucleotides de novo biosynthesis I,4316.6117879819,9.8768604317042e-4,3.30624201479284,0.00502485274462954,0.0358444430933021
PWY-6608,5.88358370974886e-7,-5.11449142340061,5.4423149315177e-6,guanosine nucleotides degradation III,3806.82865336962,1.74927446746227e-5,-4.35922515505932,1.5821215739047e-4,0.00549775966532051
PWY-6121,1.83735529000957e-6,4.88000795505709,1.66178578451976e-5,5-aminoimidazole ribonucleotide biosynthesis I,6181.8832586963,0.00439757321821352,2.85567647802732,0.0150404394942261,0.0336306241818424
PWY-3781,2.20788215523612e-6,-4.82489297637082,1.95349573300239e-5,aerobic respiration I (cytochrome c),14822.5243284477,1.0553673519799e-4,-3.91364987006091,7.1589085375974e-4,0.00539673910631246
PWY-6353,3.75750089593091e-6,-4.7072379364103,3.25383588222102e-5,purine nucleotides degradation II (aerobic),3549.11882414994,1.90710645467112e-5,-4.33407461918276,1.651473036279e-4,0.00841384097248363
PWY-5345,5.24596706679724e-6,-4.63350444431364,4.35340954965419e-5,superpathway of L-methionine biosynthesis (by sulfhydrylation),4566.86870031895,1.25420700857241e-6,-4.94910490650734,1.89060093514433e-5,0.0143485554363001
PWY-6122,5.34816897991915e-6,4.63666370540876,4.35340954965419e-5,5-aminoimidazole ribonucleotide biosynthesis II,6244.1439321685,0.0614826991121425,1.86133390157625,0.110103710538912,0.037580040538545
PWY-6277,5.34816897991915e-6,4.63666370540876,4.35340954965419e-5,superpathway of 5-aminoimidazole ribonucleotide biosynthesis,6244.1439321685,0.0614826991121425,1.86133390157625,0.110103710538912,0.037580040538545
HISTSYN-PWY,6.70238632056042e-6,4.59588650537235,5.34876712248645e-5,L-histidine biosynthesis,5242.62019997531,0.00255965935553301,3.03198938518275,0.00964612368242534,0.0327266718765436
SULFATE-CYS-PWY,7.37701032889294e-6,-4.55588939689373,5.7739292381912e-5,superpathway of sulfate assimilation and cysteine biosynthesis,5489.95161774194,2.14405529605922e-5,-4.30703300645582,1.7110402068551e-4,0.00789271849489503
PWY-7539,8.17984104745537e-6,-4.53411173114487,6.28150057795158e-5,6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),4844.76096082343,0.0402980632749312,-2.04145833299612,0.0860097214500573,0
PWY-7456,9.15746714419667e-6,4.51362580425119,6.90201690312601e-5,mannan degradation,500.175462355865,1.49709518374463e-5,4.39919916887026,1.3848130449637e-4,0.0595774924241049
GLUCONEO-PWY,9.85440653828349e-6,4.51391684706533,7.29226083832978e-5,gluconeogenesis I,5305.21873690058,1.6221874540088e-4,3.82286890248509,0.00103160983403377,0.027907447290835
PWY-5918,1.07919944283771e-5,-4.4689294128927,7.84346737919553e-5,superpathay of heme biosynthesis from glutamate,4058.08353629066,2.30211232775689e-7,-5.30544172207777,4.25890780635025e-6,0.0237350090379192
GLUTORN-PWY,1.31993451136127e-5,4.44284793686385,9.29846106335709e-5,L-ornithine biosynthesis,5397.91451074163,0.00663520039326645,2.72581314385037,0.0201547787186466,0.0331330713457641
PWY0-1479,1.32508781738258e-5,-4.42504114428218,9.29846106335709e-5,tRNA processing,2887.12705744097,2.73079168891835e-6,-4.78406224297423,3.70477405796589e-5,0.0166698057836942
PWY-5097,1.35030066456897e-5,4.44191201415557,9.31478594033173e-5,L-lysine biosynthesis VI,6152.59859263503,0.0180433293607932,2.36931682453841,0.0458977190615178,0.0310525317915564
FASYN-ELONG-PWY,1.40471695838602e-5,-4.40605771944919,9.52866336771853e-5,fatty acid elongation -- saturated,7271.60286563152,0.0019662814510426,-3.10154036472173,0.00782426794760892,1.09425649499225e-5
COA-PWY,2.21670409993668e-5,4.3143265499359,1.4652758339536e-4,coenzyme A biosynthesis I,5227.15382106443,6.38973578686795e-7,5.1108315908693696,1.0402489861021e-5,0.0231088578123746
PWY-5973,2.23211552101041e-5,-4.29672340473518,1.4652758339536e-4,cis-vaccenate biosynthesis,7753.63605063943,0.0223894963022284,-2.2751265729557,0.053289619853842,9.69469146283707e-6
HEME-BIOSYNTHESIS-II,2.76323923627505e-5,-4.25374629335087,1.7851402685142e-4,heme biosynthesis I (aerobic),3174.2083970539,5.71201087181927e-6,-4.6201212153984,6.64225264237269e-5,0.0198014281556736
PENTOSE-P-PWY,3.05260322835628e-5,-4.22161461923486,1.9412648655328e-4,pentose phosphate pathway,5596.04717857909,0.0878364993780864,-1.69560549011745,0.146075064545854,0.00802860906330369
PWY-7328,4.15912709062465e-5,-4.15706964726566,2.6042534244372e-4,superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,2263.4394144066,1.9029262020428e-5,-4.34633490604801,1.651473036279e-4,0.0146682498951503
COLANSYN-PWY,4.47904067983186e-5,-4.12853277151778,2.7620750858963e-4,colanic acid building blocks biosynthesis,3393.43221229634,1.37733752523587e-5,-4.41106459616009,1.3036659831883e-4,0.016744828924993
PWY-5920,4.9699275192835e-5,-4.10282345137038,3.019045522908e-4,superpathway of heme biosynthesis from glycine,2456.10545114535,1.97490232414647e-5,-4.3259535667884,1.6528098618209e-4,0.0144913741847152
TEICHOICACID-PWY,7.9791618169112e-5,3.98656589615756,4.7757630286512e-4,teichoic acid (poly-glycerol) biosynthesis,487.122475337261,1.22446942755485e-5,4.44029215984346,1.1865691833686e-4,0.0302097688388675
PWY-6125,8.23382255997168e-5,3.9840032683366,4.8567620027659e-4,superpathway of guanosine nucleotides de novo biosynthesis II,5706.61685329483,0.00537416463868554,2.78764619709163,0.0174982800635601,0.0296377457508793
PWY-7663,8.85991665512694e-5,-3.9581308565627,5.1514086837666e-4,gondoate biosynthesis (anaerobic),7938.32890499049,0.0231942619511998,-2.26151336382215,0.0545668474805684,1.11332469781125e-5
DAPLYSINESYN-PWY,9.91528063004384e-5,3.93021930741144,5.6838298822927e-4,L-lysine biosynthesis I,5436.77311898717,0.00195462782243546,3.10402907685949,0.00782426794760892,0.0269613161087966
HSERMETANA-PWY,1.0852708109591e-4,3.9195304989157,6.1347947230604e-4,L-methionine biosynthesis III,4787.81322746209,8.6484685306226e-4,3.35443380485836,0.00451272652815824,0.0262045074488879
PWY-6467,1.5212366845744e-4,-3.81943501012162,8.4814154879697e-4,Kdo transfer to lipid IVA III (Chlamydia),2338.72990393762,4.5301567018164e-4,-3.52693608898786,0.00263396253948472,0
PWY-3001,1.7430325486502e-4,3.79571775288667,9.5866790175761e-4,superpathway of L-isoleucine biosynthesis I,6428.25440567482,0.0417382387945981,2.03123417542365,0.0875642432443372,0.0322110620512717
PWY-6147,1.7991995585828e-4,-3.77582636878993,9.7636562712429e-4,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,4597.91460155576,0.214152949572918,-1.23176012914781,0.307986750799214,0
THRESYN-PWY,1.9643465026766e-4,3.76319785158185,0.00105195924551235,superpathway of L-threonine biosynthesis,5638.59919672207,0.030759760276094,2.15629272829386,0.0687869364415948,0.0335530514634292
PWY-841,2.1344325417998e-4,3.74253638823343,0.0011282000578085,superpathway of purine nucleotides de novo biosynthesis I,5842.83666644616,0.0272254776518262,2.20526310122304,0.0622515135072656,0.0299539812004828
PWY-2942,2.5128268408415e-4,3.71135127096879,0.00131118015925963,L-lysine biosynthesis III,6581.03009971283,0.00766974261036567,2.67808215109112,0.022580286561125,0.0281204136248264
PWY0-1061,3.4331206985985e-4,-3.60581807115784,0.00176870901813872,superpathway of L-alanine biosynthesis,3881.74243363902,3.6273380371491e-4,-3.59078512451915,0.00217106850164662,0.0111280724697973
PWY-5103,3.5124440098507e-4,3.60810660455595,0.00177728175183918,L-isoleucine biosynthesis III,7315.74433553112,0.0451611572831077,1.99805876693658,0.0928312677486103,0.0308507091135176
COMPLETE-ARO-PWY,3.5370963611541e-4,3.61327240868347,0.00177728175183918,superpathway of aromatic amino acid biosynthesis,6137.32386780584,3.5273396513525e-4,3.61331005672471,0.00214272722104548,0.0241554086002245
PWY-5705,3.7900589999506e-4,-3.58486124010911,0.00188116343046332,allantoin degradation to glyoxylate III,894.24765905945,7.8109605750977e-4,-3.38255694630557,0.00412865058969454,0
ARO-PWY,4.0622263732952e-4,3.57751416074807,0.00197144444553298,chorismate biosynthesis I,5840.84864130273,3.20938647692211e-6,4.76919022327846,4.21361385841065e-5,0.02077390033799
ANAEROFRUCAT-PWY,4.0688288310754e-4,3.55681831773668,0.00197144444553298,homolactic fermentation,4744.28286366554,2.1205243863046e-5,4.30955399391421,1.7110402068551e-4,0.0221272786999006
OANTIGEN-PWY,4.2806439784079e-4,3.56998149284497,0.00204967305789653,O-antigen building blocks biosynthesis (E. coli),5239.94221621446,0.0265088522842821,2.22395042705004,0.0609553835011459,0.0305832514932829
PWY-6700,5.129632292892e-4,-3.49242470359941,0.00242762830605474,queuosine biosynthesis,3325.66020867628,0.0219642997367967,-2.28249824098123,0.0532111309099778,0
PWY0-1241,5.6461695009522e-4,-3.4661885715409,0.00264136895044548,ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,1546.6577056566,0.00110393003323487,-3.27431542006847,0.00539846639967518,0
PWY-7664,5.8951244199345e-4,-3.46406855038099,0.0027264950442197,oleate biosynthesis IV (anaerobic),3076.04574309513,0.00111417979747596,-3.28134689797971,0.00539846639967518,5.23406554730767e-6
PWYG-321,7.4514311422916e-4,-3.39892198046667,0.00337368321712183,mycolate biosynthesis,3201.53284305525,0.00134450974748989,-3.22709180508053,0.00621835758214076,1.9878616483368e-4
BRANCHED-CHAIN-AA-SYN-PWY,7.4602331582546e-4,3.39678245962644,0.00337368321712183,superpathway of branched amino acid biosynthesis,8031.44711509473,0.0604869318413686,1.87112498266447,0.109902594908201,0.0302752405022082
UDPNAGSYN-PWY,7.8676941158488e-4,3.38087633507184,0.00351884780785766,UDP-N-acetyl-D-glucosamine biosynthesis I,5514.02726170464,0.0401147155971946,2.04680243162391,0.0860097214500573,0.0319149699194103
PWY-5989,8.0776831862216e-4,-3.37626670010036,0.00357349680086109,stearate biosynthesis II (bacteria and plants),2943.14743015487,0.0012880852777876,-3.2403445743146,0.00616765538893594,9.4118649602111e-4
PWY0-862,8.273863473467e-4,-3.3626848449017,0.00357623124140726,(5Z)-dodec-5-enoate biosynthesis,2753.16291361247,0.00153179711248547,-3.18215862493729,0.00676462884280962,4.6833228266693e-6
PWY-6282,8.3020698298412e-4,-3.36777632453276,0.00357623124140726,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),2884.8104126581,0.00145385413613856,-3.20364400262351,0.00661273541888703,5.17808803938485e-6
PWY-6471,8.3474684995992e-4,3.3575279369925,0.00357623124140726,peptidoglycan biosynthesis IV (Enterococcus faecium),1431.19352928408,6.84941538669512e-6,4.57453276685465,7.74364461773587e-5,0.0156420078693197
PWY-7196,8.5746909307076e-4,3.34761204203749,0.00362758828401675,superpathway of pyrimidine ribonucleosides salvage,3864.77393459886,2.1679494740392e-4,3.72699105320985,0.00133690217565755,0.0270714285662001
PWY-7228,8.6456035270178e-4,3.34659958564919,0.00362758828401675,superpathway of guanosine nucleotides de novo biosynthesis I,5899.18071451643,0.105031871538665,1.6101864604895,0.172370853694502,0.0307759516242176
PWY-7374,9.6499067233348e-4,-3.31329048852647,0.00400766534326255,"1,4-dihydroxy-6-naphthoate biosynthesis I",669.155396083365,0.00183356029416249,-3.12303987242141,0.00777353166379308,0
PWY-7371,0.00102771814800601,-3.29583771575387,0.00422506349735804,"1,4-dihydroxy-6-naphthoate biosynthesis II",931.09132577952,0.0048703479005442,-2.81592820056592,0.016096472819106,0
PWY-7220,0.00109709666265158,3.28311961138983,0.00442097368019002,adenosine deoxyribonucleotides de novo biosynthesis II,6183.17584270836,0.00133012507249034,3.22626830998438,0.00621835758214076,0.0270227724374246
PWY-7222,0.00109709666265158,3.28311961138983,0.00442097368019002,guanosine deoxyribonucleotides de novo biosynthesis II,6183.17584270836,0.00133012507249034,3.22626830998438,0.00621835758214076,0.0270227724374246
PWY-7315,0.00112525205400963,-3.27778234979468,0.00448997633315608,dTDP-N-acetylthomosamine biosynthesis,1385.72051591901,0.00104036054646277,-3.30105994000844,0.00516374076110179,0.00999615963670038
PWY-6165,0.00135770844885489,3.21399583489955,0.00531379778563665,chorismate biosynthesis II (archaea),56.4777741216068,0.00554944541177419,2.77294770098392,0.0177844431700165,0.162954447315193
BIOTIN-BIOSYNTHESIS-PWY,0.00136746157725702,-3.2295483981043702,0.00531379778563665,biotin biosynthesis I,2256.1245120125,0.00219311671888656,-3.08664379248603,0.00850093813892218,2.3533109069969e-4
PPGPPMET-PWY,0.00137088149260896,-3.22475994751434,0.00531379778563665,ppGpp biosynthesis,1273.10181277499,0.00198009729386663,-3.11366486096493,0.00782426794760892,0.00261170467828343
TRPSYN-PWY,0.0014602117995589,3.20307468292746,0.00555463893139927,L-tryptophan biosynthesis,5381.83649012269,0.0602062279036701,1.87449765365182,0.109902594908201,0.0276168450648982
PWY-5910,0.00146031048073642,3.19196375297473,0.00555463893139927,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),284.294355369446,0.010592046091945,2.55142178156327,0.0289326359692727,0.0615242424296107
PWY-5180,0.0015071282427594,-3.1818322969831,0.00562753389727592,toluene degradation I (aerobic) (via o-cresol),1113.73172819831,0.00475508159083679,-2.82293578877126,0.0158632639956604,0
PWY-5182,0.0015071282427594,-3.1818322969831,0.00562753389727592,toluene degradation II (aerobic) (via 4-methylcatechol),1113.73172819831,0.00475508159083679,-2.82293578877126,0.0158632639956604,0
PWY-7221,0.00156464217918761,3.17153911843847,0.00578917606299417,guanosine ribonucleotides de novo biosynthesis,6081.40287303983,0.376120351939425,0.877109661759707,0.455598164402816,0.033725418413119
PWY-7003,0.00165066631772782,3.1569610904234,0.00604797551258195,glycerol degradation to butanol,961.459005418141,0.00490408508493648,2.81485676994295,0.016096472819106,0.0487634033713033
PANTO-PWY,0.00166430775776211,-3.15755523436637,0.00604797551258195,phosphopantothenate biosynthesis I,5121.69738139486,0.744046468519116,0.323834117006036,0.796650288597646,0.00313085673289488
PWY-6123,0.00171207671560477,3.15546372225675,0.00616650640045258,inosine-5'-phosphate biosynthesis I,5161.01417580729,0.00259593223106917,3.02813032624667,0.00969306805546011,0.0263049411971231
NAGLIPASYN-PWY,0.00177818097210318,-3.13210578923065,0.00634841803198241,lipid IVA biosynthesis,2148.74170757329,0.00377024077022151,-2.89807017658642,0.0134604209954399,0
HEMESYN2-PWY,0.00185989374020778,-3.11846639691175,0.00658240654143101,heme biosynthesis II (anaerobic),4276.54865769047,9.51640797262e-4,-3.31701194018532,0.00490275701880554,0.0215484332812069
DTDPRHAMSYN-PWY,0.00196753304797098,3.11945042497722,0.00667096357854376,dTDP-L-rhamnose biosynthesis I,5461.79585361749,0.123667902309671,1.5360937054485,0.19508851255828,0.0314653370282372
HISDEG-PWY,0.00198666561789932,-3.10079284524001,0.00667096357854376,L-histidine degradation I,2774.62847934169,0.0222304535436019,-2.27933545035427,0.0532223211308587,0
FASYN-INITIAL-PWY,0.0019948741545945,-3.10854274761081,0.00667096357854376,superpathway of fatty acid biosynthesis initiation (E. coli),2340.13555329128,0.00340542592190148,-2.94154746132692,0.0123750745554813,0
PWY-5855,0.00199965001617282,-3.1004978917617,0.00667096357854376,ubiquinol-7 biosynthesis (prokaryotic),2284.1742446462,0.00192001710344867,-3.11293131853306,0.00781446961103609,0.00547761180633742
PWY-5856,0.00199965001617282,-3.1004978917617,0.00667096357854376,ubiquinol-9 biosynthesis (prokaryotic),2284.1742446462,0.00192001710344867,-3.11293131853306,0.00781446961103609,0.00547761180633742
PWY-5857,0.00199965001617282,-3.1004978917617,0.00667096357854376,ubiquinol-10 biosynthesis (prokaryotic),2284.1742446462,0.00192001710344867,-3.11293131853306,0.00781446961103609,0.00547761180633742
PWY-6708,0.00199965001617282,-3.1004978917617,0.00667096357854376,ubiquinol-8 biosynthesis (prokaryotic),2284.1742446462,0.00192001710344867,-3.11293131853306,0.00781446961103609,0.00547761180633742
PWY0-1319,0.00228972245906058,-3.05527107144091,0.00751546000675552,CDP-diacylglycerol biosynthesis II,6657.14876165197,6.3392283632854e-4,3.44125127255279,0.0035343369093935,2.84354037474896e-6
PWY-5667,0.00228972245906065,-3.05527107144582,0.00751546000675552,CDP-diacylglycerol biosynthesis I,6657.14876165197,6.3392283632856e-4,3.44125127256422,0.0035343369093935,2.84354037474896e-6
GLYOXYLATE-BYPASS,0.00245129333700526,-3.04301749766969,0.00798141110528911,glyoxylate cycle,3455.57847706374,6.4962611727934e-4,-3.4371370623114,0.00357294364503639,0.0180548077677931
PWY-5531,0.00249151496330486,-3.04310153945125,0.00798461881941007,chlorophyllide a biosynthesis II (anaerobic),750.679596948105,0.00154572600093684,-3.18707919999152,0.00676462884280962,0.0211469725368818
PWY-7159,0.00249151496330486,-3.04310153945125,0.00798461881941007,"chlorophyllide a biosynthesis III (aerobic, light independent)",750.679596948105,0.00154572600093684,-3.18707919999152,0.00676462884280962,0.0211469725368818
GLUCARDEG-PWY,0.00255475141313446,-3.02750044406327,0.00804263060855982,D-glucarate degradation I,677.346003577531,0.00405896152140406,-2.88071830578418,0.0142413563725125,4.16568080324541e-5
UBISYN-PWY,0.00256862275235155,-3.02225944963471,0.00804263060855982,superpathway of ubiquinol-8 biosynthesis (prokaryotic),2220.94328425131,0.0023588207365426,-3.04872107077353,0.00905698150729091,0.00581075021745197
PWY-6519,0.0025688992115793,-3.03980329364482,0.00804263060855982,8-amino-7-oxononanoate biosynthesis I,2197.89206648578,0.00390691122672796,-2.9068451917958,0.0138270684285068,4.27775323388425e-6
ALL-CHORISMATE-PWY,0.00289526563090934,-2.99867876817353,0.00899521459374124,superpathway of chorismate metabolism,1689.06036874721,0.00321965718902286,-2.96496642371565,0.0118054096930838,0.00819274841250047
FAO-PWY,0.00313225372522706,-2.9640540985383,0.0096577823194501,fatty acid &beta;-oxidation I,5453.03000320172,0.00961727538239668,-2.59059197750688,0.0268098019221606,0.00196356422401299
FOLSYN-PWY,0.00328009486060703,-2.94251233652669,0.010037583520805,superpathway of tetrahydrofolate biosynthesis and salvage,3950.78641579781,0.430034243454576,-0.781429874916232,0.510273869055429,0.00463593899146135
SO4ASSIM-PWY,0.00333406787946662,-2.93947279997123,0.0101266091562904,sulfate reduction I (assimilatory),5709.30861320501,0.00663572567149542,-2.71387777011542,0.0201547787186466,0.00290216863529501
PWY490-3,0.00339693154657601,-2.9316491115242,0.0102411195515292,nitrate reduction VI (assimilatory),1164.31939763944,0.00452006867226644,-2.83962442521697,0.0153305662467703,0.00461702647712246
PWY-5484,0.00353077019898973,2.92833910266813,0.0105663490513884,glycolysis II (from fructose 6-phosphate),5239.12862185922,0.00321389147495439,2.95867411046752,0.0118054096930838,0.0250333652975309
