"plate_identifier","Inner.Core.Sample.ID","Sample.Mass.Added.to.Tube..mg.","Date.Weighed","Name.of.Weigher","Notes","Sample.Archived","Sample.Notes","Extraction.Plate.ID","Plate.Well.No.","Plate.Position","Blank.Well.","Sample.Added.to.Extraction.Plate","Name.of.Person.Adding.to.Plate","Date.Plate.Extracted","species","material","core_type","lab_id","Well","Sample.description.1","Sample.description.2","Sample.description.3","Sample.description.4","Target","Conc.copies.µL.","Molecular.Weight.pg.µL.","Status","Status.Reason","Experiment","SampleType","TargetType","Supermix","DyeName.s.","Copies.20µLWell","TotalConfMax","TotalConfMin","PoissonConfMax","PoissonConfMin","Accepted.Droplets","Positives","Negatives","analysis_type"
"1A11","FAGR_AB5
Soil_Mineral
Lab ID: 81e",251.1,"7/29/2022","Qespi","",NA,NA,"Plate 1",81,"A11","","8/4/2022","Cade","8/4/2022","FAGR","Soil","Mineral","81e","A11","Plate 1","",NA,NA,"mcra_probe","0.278900146",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM",5.57800293,NA,NA,0.657682657,0.084151156,16875,4,16871,"loose"
"1A11","FAGR_AB5
Soil_Mineral
Lab ID: 81e",251.1,"7/29/2022","Qespi","",NA,NA,"Plate 1",81,"A11","","8/4/2022","Cade","8/4/2022","FAGR","Soil","Mineral","81e","A11","Plate 1","",NA,NA,"pmoa","200.476821899414",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",4009.53637695313,NA,NA,208.427490234375,192.579513549805,15733,2465,13268,"loose"
"1A11","FAGR_AB5
Soil_Mineral
Lab ID: 81e",251.1,"7/29/2022","Qespi","",NA,NA,"Plate 1",81,"A11","","8/4/2022","Cade","8/4/2022","FAGR","Soil","Mineral","81e","A11","Plate 1","",NA,NA,"mmox","0.347482234239578",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",6.94964456558228,NA,NA,0.755209743976593,0.122163057327271,16931,5,16926,"strict"
"1A11","FAGR_AB5
Soil_Mineral
Lab ID: 81e",251.1,"7/29/2022","Qespi","",NA,NA,"Plate 1",81,"A11","","8/4/2022","Cade","8/4/2022","FAGR","Soil","Mineral","81e","A11","Plate 1","",NA,NA,"pmoa","49.4818153381348",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",989.636291503906,NA,NA,53.2981872558594,45.6777877807617,15733,648,15085,"strict"
"1A11","FAGR_AB5
Soil_Mineral
Lab ID: 81e",251.1,"7/29/2022","Qespi","",NA,NA,"Plate 1",81,"A11","","8/4/2022","Cade","8/4/2022","FAGR","Soil","Mineral","81e","A11","Plate 1","",NA,NA,"mmox","2.57380223274231",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",51.4760437011719,NA,NA,3.49819684028625,1.82897710800171,16931,37,16894,"loose"
"1A12","FRAM_WA101
Soil_Mineral
Lab ID: 89e",256.5,"8/1/2022","Qespi","",NA,NA,"Plate 1",89,"A12","","8/4/2022","Cade","8/4/2022","FRAM","Soil","Mineral","89e","A12","Plate 1","",NA,NA,"pmoa","578.945983886719",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",11578.919921875,NA,NA,593.987060546875,564.094848632813,15134,5882,9252,"loose"
"1A12","FRAM_WA101
Soil_Mineral
Lab ID: 89e",256.5,"8/1/2022","Qespi","",NA,NA,"Plate 1",89,"A12","","8/4/2022","Cade","8/4/2022","FRAM","Soil","Mineral","89e","A12","Plate 1","",NA,NA,"pmoa","36.1533660888672",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",723.067321777344,NA,NA,39.4692611694336,32.8467903137207,15134,458,14676,"strict"
"1A12","FRAM_WA101
Soil_Mineral
Lab ID: 89e",256.5,"8/1/2022","Qespi","",NA,NA,"Plate 1",89,"A12","","8/4/2022","Cade","8/4/2022","FRAM","Soil","Mineral","89e","A12","Plate 1","",NA,NA,"mcra_probe","0",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM",0,NA,NA,0.201084271,0,17530,0,17530,"loose"
"1A12","FRAM_WA101
Soil_Mineral
Lab ID: 89e",256.5,"8/1/2022","Qespi","",NA,NA,"Plate 1",89,"A12","","8/4/2022","Cade","8/4/2022","FRAM","Soil","Mineral","89e","A12","Plate 1","",NA,NA,"mmox","21.4804992675781",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",429.609985351563,NA,NA,24.0129108428955,18.9535293579102,15310,277,15033,"loose"
"1A12","FRAM_WA101
Soil_Mineral
Lab ID: 89e",256.5,"8/1/2022","Qespi","",NA,NA,"Plate 1",89,"A12","","8/4/2022","Cade","8/4/2022","FRAM","Soil","Mineral","89e","A12","Plate 1","",NA,NA,"mmox","7.16821813583374",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",143.364364624023,NA,NA,8.73275756835938,5.80381870269775,15310,93,15217,"strict"
"1A2","ACRU_RM303
Soil_Mineral
Lab ID: 9e",251,"7/28/2022","Qespi ","",NA,NA,"Plate 1",9,"A2","","8/4/2022","Cade","8/4/2022","ACRU","Soil","Mineral","9e","A2","Plate 1","",NA,NA,"mmox","7.08695363998413",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",141.739074707031,NA,NA,8.67046451568604,5.7101788520813,14819,89,14730,"loose"
"1A2","ACRU_RM303
Soil_Mineral
Lab ID: 9e",251,"7/28/2022","Qespi ","",NA,NA,"Plate 1",9,"A2","","8/4/2022","Cade","8/4/2022","ACRU","Soil","Mineral","9e","A2","Plate 1","",NA,NA,"mcra_probe","0",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM",0,NA,NA,0.186064109,0,18945,0,18945,"loose"
"1A2","ACRU_RM303
Soil_Mineral
Lab ID: 9e",251,"7/28/2022","Qespi ","",NA,NA,"Plate 1",9,"A2","","8/4/2022","Cade","8/4/2022","ACRU","Soil","Mineral","9e","A2","Plate 1","",NA,NA,"mmox","0.953058004379272",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",19.0611610412598,NA,NA,1.60420215129852,0.507804393768311,14819,12,14807,"strict"
"1A2","ACRU_RM303
Soil_Mineral
Lab ID: 9e",251,"7/28/2022","Qespi ","",NA,NA,"Plate 1",9,"A2","","8/4/2022","Cade","8/4/2022","ACRU","Soil","Mineral","9e","A2","Plate 1","",NA,NA,"pmoa","582.409301757813",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",11648.185546875,NA,NA,597.625,567.387878417969,14903,5819,9084,"loose"
"1A2","ACRU_RM303
Soil_Mineral
Lab ID: 9e",251,"7/28/2022","Qespi ","",NA,NA,"Plate 1",9,"A2","","8/4/2022","Cade","8/4/2022","ACRU","Soil","Mineral","9e","A2","Plate 1","",NA,NA,"pmoa","74.7126007080078",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",1494.251953125,NA,NA,79.5591430664063,69.8859329223633,14903,917,13986,"strict"
"1A3","ACSA_SM1
Soil_Mineral
Lab ID: 17e",280.1,"7/28/2022","Qespi ","",NA,NA,"Plate 1",17,"A3","","8/4/2022","Cade","8/4/2022","ACSA","Soil","Mineral","17e","A3","Plate 1","",NA,NA,"pmoa","30.2370376586914",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",604.74072265625,NA,NA,33.4275321960449,27.0551719665527,13636,346,13290,"strict"
"1A3","ACSA_SM1
Soil_Mineral
Lab ID: 17e",280.1,"7/28/2022","Qespi ","",NA,NA,"Plate 1",17,"A3","","8/4/2022","Cade","8/4/2022","ACSA","Soil","Mineral","17e","A3","Plate 1","",NA,NA,"pmoa","764.477172851563",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",15289.54296875,NA,NA,783.521057128906,745.736694335938,13636,6516,7120,"loose"
"1A3","ACSA_SM1
Soil_Mineral
Lab ID: 17e",280.1,"7/28/2022","Qespi ","",NA,NA,"Plate 1",17,"A3","","8/4/2022","Cade","8/4/2022","ACSA","Soil","Mineral","17e","A3","Plate 1","",NA,NA,"mcra_probe","0.202310726",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM",4.046214581,NA,NA,0.536266983,0.048011929,17447,3,17444,"loose"
"1A3","ACSA_SM1
Soil_Mineral
Lab ID: 17e",280.1,"7/28/2022","Qespi ","",NA,NA,"Plate 1",17,"A3","","8/4/2022","Cade","8/4/2022","ACSA","Soil","Mineral","17e","A3","Plate 1","",NA,NA,"mmox","1.35230612754822",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",27.0461235046387,NA,NA,2.05889916419983,0.829633414745331,16539,19,16520,"loose"
"1A3","ACSA_SM1
Soil_Mineral
Lab ID: 17e",280.1,"7/28/2022","Qespi ","",NA,NA,"Plate 1",17,"A3","","8/4/2022","Cade","8/4/2022","ACSA","Soil","Mineral","17e","A3","Plate 1","",NA,NA,"mmox","0",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",0,NA,NA,0.213134109973907,0,16539,0,16539,"strict"
"1A4","ACSA_SM3
Soil_Mineral
Lab ID: 25e",273.2,"7/28/2022","Qespi","",NA,NA,"Plate 1",25,"A4","","8/4/2022","Cade","8/4/2022","ACSA","Soil","Mineral","25e","A4","Plate 1","",NA,NA,"pmoa","41.2152862548828",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",824.305725097656,NA,NA,44.7396583557129,37.7014465332031,15308,527,14781,"strict"
"1A4","ACSA_SM3
Soil_Mineral
Lab ID: 25e",273.2,"7/28/2022","Qespi","",NA,NA,"Plate 1",25,"A4","","8/4/2022","Cade","8/4/2022","ACSA","Soil","Mineral","25e","A4","Plate 1","",NA,NA,"pmoa","470.961975097656",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",9419.2392578125,NA,NA,484.111724853516,457.957580566406,15308,5050,10258,"loose"
"1A4","ACSA_SM3
Soil_Mineral
Lab ID: 25e",273.2,"7/28/2022","Qespi","",NA,NA,"Plate 1",25,"A4","","8/4/2022","Cade","8/4/2022","ACSA","Soil","Mineral","25e","A4","Plate 1","",NA,NA,"mmox","5.96357583999634",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",119.271514892578,NA,NA,7.32842826843262,4.78052520751953,16811,85,16726,"strict"
"1A4","ACSA_SM3
Soil_Mineral
Lab ID: 25e",273.2,"7/28/2022","Qespi","",NA,NA,"Plate 1",25,"A4","","8/4/2022","Cade","8/4/2022","ACSA","Soil","Mineral","25e","A4","Plate 1","",NA,NA,"mcra_probe","0.126891077",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM",2.537821531,NA,NA,0.406480432,0.019223118,18544,2,18542,"loose"
"1A4","ACSA_SM3
Soil_Mineral
Lab ID: 25e",273.2,"7/28/2022","Qespi","",NA,NA,"Plate 1",25,"A4","","8/4/2022","Cade","8/4/2022","ACSA","Soil","Mineral","25e","A4","Plate 1","",NA,NA,"mmox","18.1243171691895",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",362.486328125,NA,NA,20.3423328399658,15.9104747772217,16811,257,16554,"loose"
"1A5","BEAL_YB10
Soil_Mineral
Lab ID: 33e",250.5,"7/29/2022","Qespi","",NA,NA,"Plate 1",33,"A5","","8/4/2022","Cade","8/4/2022","BEAL","Soil","Mineral","33e","A5","Plate 1","",NA,NA,"pmoa","31.6488342285156",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",632.976684570313,NA,NA,34.7315444946289,28.574182510376,15296,406,14890,"strict"
"1A5","BEAL_YB10
Soil_Mineral
Lab ID: 33e",250.5,"7/29/2022","Qespi","",NA,NA,"Plate 1",33,"A5","","8/4/2022","Cade","8/4/2022","BEAL","Soil","Mineral","33e","A5","Plate 1","",NA,NA,"mmox","5.19687843322754",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",103.937568664551,NA,NA,6.54810047149658,4.04646825790405,15201,67,15134,"loose"
"1A5","BEAL_YB10
Soil_Mineral
Lab ID: 33e",250.5,"7/29/2022","Qespi","",NA,NA,"Plate 1",33,"A5","","8/4/2022","Cade","8/4/2022","BEAL","Soil","Mineral","33e","A5","Plate 1","",NA,NA,"pmoa","151.483489990234",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",3029.669921875,NA,NA,158.415328979492,144.592239379883,15296,1848,13448,"loose"
"1A5","BEAL_YB10
Soil_Mineral
Lab ID: 33e",250.5,"7/29/2022","Qespi","",NA,NA,"Plate 1",33,"A5","","8/4/2022","Cade","8/4/2022","BEAL","Soil","Mineral","33e","A5","Plate 1","",NA,NA,"mcra_probe","350.2203674",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM",7004.407227,NA,NA,360.2597351,340.2660217,18449,4750,13699,"loose"
"1A5","BEAL_YB10
Soil_Mineral
Lab ID: 33e",250.5,"7/29/2022","Qespi","",NA,NA,"Plate 1",33,"A5","","8/4/2022","Cade","8/4/2022","BEAL","Soil","Mineral","33e","A5","Plate 1","",NA,NA,"mmox","2.86707925796509",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",57.3415832519531,NA,NA,3.89698076248169,2.0373101234436,15201,37,15164,"strict"
"1A6","BEAL_YB3
Soil_Mineral
Lab ID: 41e",265.4,"7/29/2022","Qespi ","",NA,NA,"Plate 1",41,"A6","","8/4/2022","Cade","8/4/2022","BEAL","Soil","Mineral","41e","A6","Plate 1","",NA,NA,"mmox","2.27400159835815",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",45.4800338745117,NA,NA,3.11617183685303,1.59952902793884,18125,35,18090,"loose"
"1A6","BEAL_YB3
Soil_Mineral
Lab ID: 41e",265.4,"7/29/2022","Qespi ","",NA,NA,"Plate 1",41,"A6","","8/4/2022","Cade","8/4/2022","BEAL","Soil","Mineral","41e","A6","Plate 1","",NA,NA,"mcra_probe","0",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM",0,NA,NA,0.187121034,0,18838,0,18838,"loose"
"1A6","BEAL_YB3
Soil_Mineral
Lab ID: 41e",265.4,"7/29/2022","Qespi ","",NA,NA,"Plate 1",41,"A6","","8/4/2022","Cade","8/4/2022","BEAL","Soil","Mineral","41e","A6","Plate 1","",NA,NA,"pmoa","234.712173461914",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",4694.24365234375,NA,NA,243.966293334961,225.530258178711,13817,2499,11318,"loose"
"1A6","BEAL_YB3
Soil_Mineral
Lab ID: 41e",265.4,"7/29/2022","Qespi ","",NA,NA,"Plate 1",41,"A6","","8/4/2022","Cade","8/4/2022","BEAL","Soil","Mineral","41e","A6","Plate 1","",NA,NA,"mmox","0.194742292165756",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",3.89484596252441,NA,NA,0.516202509403229,0.0462159179151058,18125,3,18122,"strict"
"1A6","BEAL_YB3
Soil_Mineral
Lab ID: 41e",265.4,"7/29/2022","Qespi ","",NA,NA,"Plate 1",41,"A6","","8/4/2022","Cade","8/4/2022","BEAL","Soil","Mineral","41e","A6","Plate 1","",NA,NA,"pmoa","53.8337059020996",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",1076.67407226563,NA,NA,58.0861511230469,49.5965728759766,13817,618,13199,"strict"
"1A7","BELE_BB10'
Soil_Mineral
Lab ID: 49e",258.2,"7/29/2022","Qespi","",NA,NA,"Plate 1",49,"A7","","8/4/2022","Cade","8/4/2022","BELE","Soil","Mineral","49e","A7","Plate 1","",NA,NA,"pmoa","31.7833862304688",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",635.667724609375,NA,NA,35.0221557617188,28.5535087585449,13919,371,13548,"strict"
"1A7","BELE_BB10'
Soil_Mineral
Lab ID: 49e",258.2,"7/29/2022","Qespi","",NA,NA,"Plate 1",49,"A7","","8/4/2022","Cade","8/4/2022","BELE","Soil","Mineral","49e","A7","Plate 1","",NA,NA,"pmoa","195.297760009766",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",3905.955078125,NA,NA,203.632675170898,187.021469116211,13919,2129,11790,"loose"
"1A7","BELE_BB10'
Soil_Mineral
Lab ID: 49e",258.2,"7/29/2022","Qespi","",NA,NA,"Plate 1",49,"A7","","8/4/2022","Cade","8/4/2022","BELE","Soil","Mineral","49e","A7","Plate 1","",NA,NA,"mmox","3.19148468971252",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",63.8296928405762,NA,NA,4.3053035736084,2.28913521766663,14396,39,14357,"loose"
"1A7","BELE_BB10'
Soil_Mineral
Lab ID: 49e",258.2,"7/29/2022","Qespi","",NA,NA,"Plate 1",49,"A7","","8/4/2022","Cade","8/4/2022","BELE","Soil","Mineral","49e","A7","Plate 1","",NA,NA,"mmox","0.73572838306427",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",14.7145671844482,NA,NA,1.33315145969391,0.350803285837173,14396,9,14387,"strict"
"1A7","BELE_BB10'
Soil_Mineral
Lab ID: 49e",258.2,"7/29/2022","Qespi","",NA,NA,"Plate 1",49,"A7","","8/4/2022","Cade","8/4/2022","BELE","Soil","Mineral","49e","A7","Plate 1","",NA,NA,"mcra_probe","0",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM",0,NA,NA,0.260154665,0,13550,0,13550,"loose"
"1A8","BELE_BB5
Soil_Mineral
Lab ID: 57e",257.8,"7/29/2022","Qespi","",NA,NA,"Plate 1",57,"A8","","8/4/2022","Cade","8/4/2022","BELE","Soil","Mineral","57e","A8","Plate 1","",NA,NA,"mmox","1.99160730838776",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",39.832145690918,NA,NA,2.82688045501709,1.3399806022644,16554,28,16526,"loose"
"1A8","BELE_BB5
Soil_Mineral
Lab ID: 57e",257.8,"7/29/2022","Qespi","",NA,NA,"Plate 1",57,"A8","","8/4/2022","Cade","8/4/2022","BELE","Soil","Mineral","57e","A8","Plate 1","",NA,NA,"pmoa","177.568603515625",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",3551.3720703125,NA,NA,185.314544677734,169.873321533203,14533,2036,12497,"loose"
"1A8","BELE_BB5
Soil_Mineral
Lab ID: 57e",257.8,"7/29/2022","Qespi","",NA,NA,"Plate 1",57,"A8","","8/4/2022","Cade","8/4/2022","BELE","Soil","Mineral","57e","A8","Plate 1","",NA,NA,"mmox","0.0710708051919937",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",1.42141604423523,NA,NA,0.339472889900208,0.00298488745465875,16554,1,16553,"strict"
"1A8","BELE_BB5
Soil_Mineral
Lab ID: 57e",257.8,"7/29/2022","Qespi","",NA,NA,"Plate 1",57,"A8","","8/4/2022","Cade","8/4/2022","BELE","Soil","Mineral","57e","A8","Plate 1","",NA,NA,"pmoa","38.5924530029297",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",771.849060058594,NA,NA,42.0905914306641,35.1046829223633,14533,469,14064,"strict"
"1A8","BELE_BB5
Soil_Mineral
Lab ID: 57e",257.8,"7/29/2022","Qespi","",NA,NA,"Plate 1",57,"A8","","8/4/2022","Cade","8/4/2022","BELE","Soil","Mineral","57e","A8","Plate 1","",NA,NA,"mcra_probe","0.179490507",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (No dUTP)","FAM",3.589810133,NA,NA,0.475769639,0.042596605,19665,3,19662,"loose"
"1A9","BELE_BBX7
Soil_Mineral
Lab ID: 65e",253.3,"7/29/2022","Qespi","",NA,NA,"Plate 1",65,"A9","","8/4/2022","Cade","8/4/2022","BELE","Soil","Mineral","65e","A9","Plate 1","",NA,NA,"mmox","14.1149482727051",NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR EvaGreen Supermix","EvaGreen",282.298950195313,NA,NA,16.1397876739502,12.0935859680176,15680,187,15493,"strict"
